id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,out,clearance,duel,ball_receipt,counterpress,interception,foul_won,dribble,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,off_camera,shot,foul_committed,ball_recovery,miscontrol,substitution,bad_behaviour,50_50,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_outcome_id,pass_outcome_name,goalkeeper,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,duel_type_id,duel_type_name,related_events_2,pass_aerial_won,duel_outcome_id,duel_outcome_name,related_events,carry_end_location_0,carry_end_location_1,pass_body_part_id,pass_body_part_name,dribble_outcome_id,dribble_outcome_name,foul_won_defensive,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_aerial_won,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,shot_freeze_frame_15_location_0,shot_freeze_frame_15_location_1,shot_freeze_frame_15_player_id,shot_freeze_frame_15_player_name,shot_freeze_frame_15_position_id,shot_freeze_frame_15_position_name,shot_freeze_frame_15_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,shot_end_location_2,shot_first_time
3413f34e-5c00-481d-8051-1ace5cb65b4a,1791,2,00:04:09.431,49,9,2,Ball Recovery,95,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,,24782,Jonhatan Montiel Caballero,3,Right Center Back,64.0,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96035303-6aa5-430c-a655-fbf2e2028078,1792,2,00:04:09.431,49,9,43,Carry,95,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,3.247314,,3413f34e-5c00-481d-8051-1ace5cb65b4a,24782,Jonhatan Montiel Caballero,3,Right Center Back,64.0,62.5,,,True,,,,,,,,,,,,,,,,,,,,,,,,,42def6e2-040b-4e29-ada5-dfdd3e7c4f80,,,,,,,,,,,,,,,,,,,,98f6dded-4034-430d-a9ff-88dab4831b97,,,,,62.2,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f6dded-4034-430d-a9ff-88dab4831b97,1793,2,00:04:10.133,49,10,17,Pressure,95,360,Rayo Vallecano,1,Regular Play,218,Real Betis,2.6542,,42def6e2-040b-4e29-ada5-dfdd3e7c4f80,6630,Jorge Molina Vidal,22,Right Center Forward,57.9,20.3,,,,,,,,True,,,,,,,,,,,,,,,,,,,,96035303-6aa5-430c-a655-fbf2e2028078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42def6e2-040b-4e29-ada5-dfdd3e7c4f80,1794,2,00:04:12.679,49,12,30,Pass,95,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.979226,,5a60e73f-5ef0-48e5-91ea-21ffd9b896bd,24782,Jonhatan Montiel Caballero,3,Right Center Back,62.2,52.5,,,True,,,,,,,,,,,,,,,,,,,,,,,,,98f6dded-4034-430d-a9ff-88dab4831b97,11539.0,Adrián Embarba Blázquez,17.181967,-0.94242793,1.0,Ground Pass,72.3,38.6,,,,,,,,,,,,,,,,,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a60e73f-5ef0-48e5-91ea-21ffd9b896bd,1795,2,00:04:13.658,49,13,42,Ball Receipt*,95,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,42def6e2-040b-4e29-ada5-dfdd3e7c4f80,11539,Adrián Embarba Blázquez,21,Left Wing,72.3,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76edb58f-4625-4483-b3e4-edabcc4582b5,1796,2,00:04:13.658,49,13,43,Carry,95,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,3.068752,,5a60e73f-5ef0-48e5-91ea-21ffd9b896bd,11539,Adrián Embarba Blázquez,21,Left Wing,72.3,38.6,,,True,,,,,,,,,,,,,,,,,,,,,,,,,7ae81513-fd4f-4e57-a120-655144f19d22,,,,,,,,,,,,,,,,,,,,7ec83185-d4e4-45d4-b4dc-5ad4c03d7260,,,,,76.6,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ec83185-d4e4-45d4-b4dc-5ad4c03d7260,1797,2,00:04:15.996,49,15,17,Pressure,95,360,Rayo Vallecano,1,Regular Play,218,Real Betis,0.61406,,76edb58f-4625-4483-b3e4-edabcc4582b5,6697,Daniel Ceballos Fernández,11,Left Defensive Midfield,40.7,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61982da7-51ac-4306-944f-3e54d652dac4,1798,2,00:04:16.727,49,16,39,Dribbled Past,95,360,Rayo Vallecano,1,Regular Play,218,Real Betis,0.0,,7ae81513-fd4f-4e57-a120-655144f19d22,6697,Daniel Ceballos Fernández,11,Left Defensive Midfield,43.5,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,a5db7c5d-ad2c-40ad-9680-d9b7d1243545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ae81513-fd4f-4e57-a120-655144f19d22,1799,2,00:04:16.727,49,16,14,Dribble,95,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,61982da7-51ac-4306-944f-3e54d652dac4,11539,Adrián Embarba Blázquez,21,Left Wing,76.6,43.1,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5db7c5d-ad2c-40ad-9680-d9b7d1243545,1800,2,00:04:16.727,49,16,43,Carry,95,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.446456,,61982da7-51ac-4306-944f-3e54d652dac4,11539,Adrián Embarba Blázquez,21,Left Wing,76.6,43.1,,,True,,,,,,,,,,,,,,,,,,,,,,,,,7ae81513-fd4f-4e57-a120-655144f19d22,,,,,,,,,,,,,,,,,,,,a906f746-808f-42a9-a856-57e44b1fe963,,,,,79.1,62.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
