id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,dribble,duel,ball_receipt,off_camera,counterpress,interception,out,clearance,foul_won,shot,goalkeeper,ball_recovery,foul_committed,substitution,bad_behaviour,pass,pass_outcome_id,pass_outcome_name,related_events_1,related_events_2,pass_aerial_won,carry_end_location_0,carry_end_location_1,dribble_outcome_id,dribble_outcome_name,related_events_3,pass_cross,pass_cut_back,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate
d37d141d-bce6-4179-aff6-ae41179250e4,2837,2,00:37:40.781,82,40,30,Pass,208,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,2.614955,,5a8a40c9-1239-4f53-8223-ae59683a18b4,26848,Roberto Trashorras Gayoso,10,Center Defensive Midfield,65.4,44.8,23761.0,Alhassane Bangoura,49.00867,-0.7695265,3.0,High Pass,100.6,10.7,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a8a40c9-1239-4f53-8223-ae59683a18b4,2838,2,00:37:43.396,82,43,42,Ball Receipt*,208,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,d37d141d-bce6-4179-aff6-ae41179250e4,23761,Alhassane Bangoura,8,Left Wing Back,100.6,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62e44fdb-6604-42af-ab45-342ab66e9bab,2839,2,00:37:43.396,82,43,43,Carry,208,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,3.565859,,5a8a40c9-1239-4f53-8223-ae59683a18b4,23761,Alhassane Bangoura,8,Left Wing Back,100.6,10.7,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,798e9dc2-4442-4eb0-a70b-75b6b0b06de8,d9db959f-61ea-4d78-8e01-9b681571b4f5,,111.0,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798e9dc2-4442-4eb0-a70b-75b6b0b06de8,2840,2,00:37:46.167,82,46,17,Pressure,208,360,Rayo Vallecano,1,Regular Play,221,Levante UD,0.8,,62e44fdb-6604-42af-ab45-342ab66e9bab,6787,Pedro López Muñoz,2,Right Back,11.6,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bd5d3818-aade-4dce-9e2f-ce33f44128c8,d9db959f-61ea-4d78-8e01-9b681571b4f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be655483-d5f3-44f6-bc76-d8143674158f,2841,2,00:37:46.962,82,46,39,Dribbled Past,208,360,Rayo Vallecano,1,Regular Play,221,Levante UD,0.0,,bd5d3818-aade-4dce-9e2f-ce33f44128c8,6787,Pedro López Muñoz,2,Right Back,9.1,63.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d9db959f-61ea-4d78-8e01-9b681571b4f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9db959f-61ea-4d78-8e01-9b681571b4f5,2842,2,00:37:46.962,82,46,14,Dribble,208,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,798e9dc2-4442-4eb0-a70b-75b6b0b06de8,23761,Alhassane Bangoura,8,Left Wing Back,111.0,16.2,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,be655483-d5f3-44f6-bc76-d8143674158f,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd5d3818-aade-4dce-9e2f-ce33f44128c8,2843,2,00:37:46.962,82,46,43,Carry,208,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.637475,,798e9dc2-4442-4eb0-a70b-75b6b0b06de8,23761,Alhassane Bangoura,8,Left Wing Back,111.0,16.2,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,be655483-d5f3-44f6-bc76-d8143674158f,bec5118f-a126-4032-bc1f-04ebeda90b8e,,117.4,13.9,,,d9db959f-61ea-4d78-8e01-9b681571b4f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bec5118f-a126-4032-bc1f-04ebeda90b8e,2844,2,00:37:48.600,82,48,30,Pass,208,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.333756,,1eaca14b-04c6-48ba-956f-50bb954977c4,23761,Alhassane Bangoura,8,Left Wing Back,117.4,13.9,4711.0,Pablo Hernández Domínguez,21.484879,2.0760865,1.0,Ground Pass,107.0,32.7,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,95322ec8-6fc2-44a3-8ef6-aeb0bef1acd0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd58c4f0-cc4f-40e6-8cc0-9d46af83245b,2845,2,00:37:49.921,82,49,17,Pressure,208,360,Rayo Vallecano,1,Regular Play,221,Levante UD,0.28,,1eaca14b-04c6-48ba-956f-50bb954977c4,6659,Víctor Camarasa Ferrando,19,Center Attacking Midfield,13.1,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2de51825-368a-4656-a2ba-f77b248aad5e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eaca14b-04c6-48ba-956f-50bb954977c4,2846,2,00:37:49.934,82,49,42,Ball Receipt*,208,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,bd58c4f0-cc4f-40e6-8cc0-9d46af83245b,4711,Pablo Hernández Domínguez,13,Right Center Midfield,107.0,32.7,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,bec5118f-a126-4032-bc1f-04ebeda90b8e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2de51825-368a-4656-a2ba-f77b248aad5e,2847,2,00:37:49.934,82,49,43,Carry,208,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.498206,,1eaca14b-04c6-48ba-956f-50bb954977c4,4711,Pablo Hernández Domínguez,13,Right Center Midfield,107.0,32.7,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,62c88ec2-dc63-4e03-b068-52978b0a19b5,9251d241-62d8-40af-802f-a5906ce3ef89,,109.1,32.3,,,bd58c4f0-cc4f-40e6-8cc0-9d46af83245b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62c88ec2-dc63-4e03-b068-52978b0a19b5,2848,2,00:37:50.432,82,50,39,Dribbled Past,208,360,Rayo Vallecano,1,Regular Play,221,Levante UD,0.0,,0c356512-81fa-45e2-a669-b09d02186e08,6659,Víctor Camarasa Ferrando,19,Center Attacking Midfield,11.0,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2de51825-368a-4656-a2ba-f77b248aad5e,9251d241-62d8-40af-802f-a5906ce3ef89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9251d241-62d8-40af-802f-a5906ce3ef89,2849,2,00:37:50.432,82,50,14,Dribble,208,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,62c88ec2-dc63-4e03-b068-52978b0a19b5,4711,Pablo Hernández Domínguez,13,Right Center Midfield,109.1,32.3,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c356512-81fa-45e2-a669-b09d02186e08,2850,2,00:37:50.432,82,50,43,Carry,208,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.498883,,62c88ec2-dc63-4e03-b068-52978b0a19b5,4711,Pablo Hernández Domínguez,13,Right Center Midfield,109.1,32.3,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,9251d241-62d8-40af-802f-a5906ce3ef89,95322ec8-6fc2-44a3-8ef6-aeb0bef1acd0,,107.6,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95322ec8-6fc2-44a3-8ef6-aeb0bef1acd0,2851,2,00:37:50.931,82,50,16,Shot,208,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.110836,,af20edc8-93ed-43bb-bb9e-70296ccae1ba,4711,Pablo Hernández Domínguez,13,Right Center Midfield,107.6,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059822995,120.0,41.2,0.3,bec5118f-a126-4032-bc1f-04ebeda90b8e,97.0,Goal,93.0,Normal,38.0,Left Foot,87.0,Open Play,112.3,40.7,11542.0,Javier Guerra Rodríguez,22.0,Right Center Forward,True,95.3,30.0,6852.0,Jozabed Sánchez Ruiz,15.0,Left Center Midfield,True,113.3,43.8,26690.0,Alberto Mateus Contreiras Gonçalves,24.0,Left Center Forward,True,105.4,40.5,26848.0,Roberto Trashorras Gayoso,10.0,Center Defensive Midfield,True,103.8,43.8,6668.0,José Luis Morales Nogales,21.0,Left Wing,False,110.5,44.0,6784.0,Antonio García Aranda,6.0,Left Back,False,110.9,39.6,6647.0,Zouhair Feddal,5.0,Left Center Back,False,109.5,31.9,26012.0,David Navarro Pedrós,3.0,Right Center Back,False,112.3,32.8,24149.0,José Antonio García Rabasco,11.0,Left Defensive Midfield,False,115.8,26.2,5678.0,Jefferson Andrés Lerma Solís,9.0,Right Defensive Midfield,False,105.9,17.8,25134.0,Deyverson Brum Silva Acosta,23.0,Center Forward,False,118.1,37.4,23843.0,Diego Mariño Villar,1.0,Goalkeeper,False,107.1,32.7,6659.0,Víctor Camarasa Ferrando,19.0,Center Attacking Midfield,False,97.9,22.2,27123.0,Jordi Xumetra Feliu,17.0,Right Wing,False
