id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,off_camera,dribble,shot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,counterpress,duel,clearance,out,interception,ball_recovery,miscontrol,foul_committed,foul_won,block,substitution,injury_stoppage,related_events_1,related_events_2,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_aerial_won,pass_type_id,pass_type_name,goalkeeper,carry_end_location_0,carry_end_location_1,pass_body_part_id,pass_body_part_name,pass_outcome_id,pass_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,related_events,related_events_3,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,pass_cross,foul_won_defensive,dribble_outcome_id,dribble_outcome_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,ball_recovery_recovery_failure,player,position,location
52465d25-a3c2-48a4-8a9b-0a3f27612406,3162,2,00:37:30.754,82,30,17,Pressure,210,360,Rayo Vallecano,1,Regular Play,222,Villarreal,0.575755,,90cdaddf-9cd2-4407-be8c-c5e27003d82d,6771.0,Manuel Trigueros Muñoz,9.0,Right Defensive Midfield,82.2,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,bead9536-bb19-44c7-855c-e19183998aea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90cdaddf-9cd2-4407-be8c-c5e27003d82d,3163,2,00:37:31.117,82,31,30,Pass,210,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.413183,,52465d25-a3c2-48a4-8a9b-0a3f27612406,6713.0,Diego Javier Llorente Ríos,9.0,Right Defensive Midfield,33.2,47.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,c825f29f-b9b3-4d41-bed0-39f42ca29b52,,24138.0,Joaquín José Marín Ruiz,13.685028,2.0409799,1.0,Ground Pass,27.0,59.2,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,
c825f29f-b9b3-4d41-bed0-39f42ca29b52,3164,2,00:37:32.531,82,32,42,Ball Receipt*,210,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,90cdaddf-9cd2-4407-be8c-c5e27003d82d,24138.0,Joaquín José Marín Ruiz,2.0,Right Back,27.0,59.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850d4531-0bb2-4df4-ad89-10598b148da4,3165,2,00:37:32.531,82,32,43,Carry,210,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.015175,,11cc2716-2a03-45dd-be11-67d94e59eb3f,24138.0,Joaquín José Marín Ruiz,2.0,Right Back,27.0,59.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,c825f29f-b9b3-4d41-bed0-39f42ca29b52,,,,,,,,,,,,,,27.7,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,
11cc2716-2a03-45dd-be11-67d94e59eb3f,3166,2,00:37:32.546,82,32,30,Pass,210,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,2.785623,,b3a01fb4-49b8-4d08-8ecc-3df5e1ea1140,24138.0,Joaquín José Marín Ruiz,2.0,Right Back,27.7,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.921192,-0.12746057,3.0,High Pass,79.2,54.7,,,,,,,40.0,Right Foot,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,
d492fd4d-5b68-4824-9d2a-dc6b9442088d,3167,2,00:37:35.331,82,35,4,Duel,210,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,b3a01fb4-49b8-4d08-8ecc-3df5e1ea1140,11542.0,Javier Guerra Rodríguez,22.0,Right Center Forward,79.2,54.7,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,
ee60713f-f89b-471d-a283-46d598906d6c,3188,2,00:38:32.872,83,32,30,Pass,212,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,1.626213,,b54e560e-1c36-47ea-95e6-2bfbd352a7ee,24255.0,Juan Carlos Martín Corral,1.0,Goalkeeper,6.0,44.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,6713.0,Diego Javier Llorente Ríos,28.537695,-1.0255692,1.0,Ground Pass,20.8,19.6,,63.0,Goal Kick,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,
b54e560e-1c36-47ea-95e6-2bfbd352a7ee,3189,2,00:38:34.498,83,34,42,Ball Receipt*,212,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,,,ee60713f-f89b-471d-a283-46d598906d6c,6713.0,Diego Javier Llorente Ríos,9.0,Right Defensive Midfield,20.8,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4030e549-264f-442f-bd28-0ee6c4b7c296,3190,2,00:38:37.555,83,37,30,Pass,212,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,2.639835,,1a0b3855-a7ad-4e39-8ebc-0a96847cc7ee,6713.0,Diego Javier Llorente Ríos,9.0,Right Defensive Midfield,22.7,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.60144,-0.0071941204,3.0,High Pass,78.3,16.4,,,,,,,38.0,Left Foot,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,
1a0b3855-a7ad-4e39-8ebc-0a96847cc7ee,3191,2,00:38:40.195,83,40,30,Pass,212,360,Rayo Vallecano,7,From Goal Kick,222,Villarreal,1.811896,,4030e549-264f-442f-bd28-0ee6c4b7c296,3324.0,Eric Bertrand Bailly,3.0,Right Center Back,41.8,63.7,,,True,,,,,,,,,,,,,,,,,,,,,,,,,6f32faf0-c5d5-47cd-b0b2-103226087c19,af8900ac-c4fc-4367-b029-414345d6f918,6862.0,Cédric Bakambu,11.706836,0.034174725,2.0,Low Pass,53.5,64.1,True,66.0,Recovery,,,,,,9.0,Incomplete,,,,,,bfae79ef-b4c8-44ac-ab59-e7eb9f259263,,,,,,,,,,,,,,,,
