id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,duel,counterpress,ball_receipt,foul_won,shot,block,goalkeeper,off_camera,out,clearance,interception,foul_committed,dribble,ball_recovery,substitution,miscontrol,pass,related_events_1,pass_outcome_id,pass_outcome_name,related_events,carry_end_location_0,carry_end_location_1,related_events_2,dribble_outcome_id,dribble_outcome_name,related_events_3,related_events_4,pass_cross,pass_switch,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,interception_outcome_id,interception_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_technique_id,pass_technique_name,pass_outswinging,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,pass_aerial_won,clearance_right_foot
0f200819-771b-4249-a600-7fb16fe68579,2639,2,00:25:01.412,70,1,43,Carry,171,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.473912,,4a06bb4d-1fa8-40fa-ae1d-a8a7fdd1b11a,6713,Diego Javier Llorente Ríos,3,Right Center Back,10.0,70.7,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,bedf9b82-2d3f-41d8-9605-0952b4577cff,,,,8.7,65.2,e180abdc-a2cc-489e-9e78-88ed5926562f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a06bb4d-1fa8-40fa-ae1d-a8a7fdd1b11a,2640,2,00:25:01.966,70,1,17,Pressure,171,360,Rayo Vallecano,1,Regular Play,222,Villarreal,1.049405,,0f200819-771b-4249-a600-7fb16fe68579,6829,Samuel Castillejo Azuaga,16,Left Midfield,109.8,12.4,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,e180abdc-a2cc-489e-9e78-88ed5926562f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e180abdc-a2cc-489e-9e78-88ed5926562f,2641,2,00:25:02.886,70,2,30,Pass,171,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.237489,,4a06bb4d-1fa8-40fa-ae1d-a8a7fdd1b11a,6713,Diego Javier Llorente Ríos,3,Right Center Back,8.7,65.2,26222.0,José Eduardo Rosa Vale de Castro,12.306502,-1.6033052,1.0,Ground Pass,8.3,52.9,40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,7fc9cf3f-74b3-4c4c-b748-421f3358e9ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7fc9cf3f-74b3-4c4c-b748-421f3358e9ca,2642,2,00:25:04.124,70,4,42,Ball Receipt*,171,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,e180abdc-a2cc-489e-9e78-88ed5926562f,26222,José Eduardo Rosa Vale de Castro,5,Left Center Back,8.3,52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b30b53d-93e9-4da6-b213-086f07289b39,2643,2,00:25:04.124,70,4,30,Pass,171,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,2.016246,,e224a307-8817-46af-871b-d61b323820ea,26222,José Eduardo Rosa Vale de Castro,5,Left Center Back,8.3,52.9,11542.0,Javier Guerra Rodríguez,41.84316,0.04542328,3.0,High Pass,50.1,54.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e224a307-8817-46af-871b-d61b323820ea,2644,2,00:25:06.140,70,6,42,Ball Receipt*,171,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,1b30b53d-93e9-4da6-b213-086f07289b39,11542,Javier Guerra Rodríguez,23,Center Forward,50.1,54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7306e3c8-033f-4796-b629-d6ac1f6bd44e,2645,2,00:25:06.140,70,6,43,Carry,171,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,3.020959,,0e771485-1b62-4a6d-a693-5fe4edb8e4f8,11542,Javier Guerra Rodríguez,23,Center Forward,50.1,54.8,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,ba4f1870-c871-4783-904c-e121ff840c7e,,,,46.7,59.9,e224a307-8817-46af-871b-d61b323820ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba4f1870-c871-4783-904c-e121ff840c7e,2646,2,00:25:07.687,70,7,17,Pressure,171,360,Rayo Vallecano,1,Regular Play,222,Villarreal,0.937689,,7306e3c8-033f-4796-b629-d6ac1f6bd44e,22819,Bruno Soriano Llido,11,Left Defensive Midfield,75.1,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e771485-1b62-4a6d-a693-5fe4edb8e4f8,2647,2,00:25:09.161,70,9,30,Pass,171,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,4.687502,,e08e4f5c-9089-455d-9321-00d90e675a20,11542,Javier Guerra Rodríguez,23,Center Forward,46.7,59.9,,,49.54069,-0.117344595,3.0,High Pass,95.9,54.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02cf2ada-45e7-430c-b66b-ee72655f7157,2687,2,00:26:23.226,71,23,2,Ball Recovery,174,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,,26607,José Raúl Baena Urdiales,11,Left Defensive Midfield,55.3,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
