id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry,under_pressure,out,ball_receipt,off_camera,duel,clearance,counterpress,dribble,foul_committed,foul_won,interception,shot,goalkeeper,block,ball_recovery,substitution,pass,pass_switch,related_events,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,pass_outcome_id,pass_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,duel_type_id,duel_type_name,interception_outcome_id,interception_outcome_name,foul_won_defensive,dribble_outcome_id,dribble_outcome_name,related_events_3,related_events_4,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,pass_deflected,ball_recovery_recovery_failure,pass_cross,dribble_overrun,duel_outcome_id,duel_outcome_name
fb2b2ff3-62a8-411c-a912-7489bc7b2138,2747,2,00:31:09.066,76,9,42,Ball Receipt*,156,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,44e505ea-7d45-4cab-a3fb-64bff633b632,27144,Antonio Amaya Carazo,3,Right Center Back,34.7,48.2,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,ec35db92-576b-4c54-bff4-2648a33789a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86e4efdd-3a2b-4864-9f93-57e9e5fcafd3,2748,2,00:31:09.066,76,9,43,Carry,156,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.212734,,ec35db92-576b-4c54-bff4-2648a33789a8,27144,Antonio Amaya Carazo,3,Right Center Back,34.7,48.2,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,f79e7316-b102-4c87-936f-32cbccbed9bc,35.5,51.2,fb2b2ff3-62a8-411c-a912-7489bc7b2138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f79e7316-b102-4c87-936f-32cbccbed9bc,2749,2,00:31:10.279,76,10,30,Pass,156,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.261143,,ec35db92-576b-4c54-bff4-2648a33789a8,27144,Antonio Amaya Carazo,3,Right Center Back,35.5,51.2,11539.0,Adrián Embarba Blázquez,37.700134,0.6461536,1.0,Ground Pass,65.6,73.9,,,40.0,Right Foot,,True,,,,,,,,,,,,,,,,,,,eca1f103-247c-4453-a58b-10176e7c7916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eca1f103-247c-4453-a58b-10176e7c7916,2750,2,00:31:11.540,76,11,42,Ball Receipt*,156,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,f79e7316-b102-4c87-936f-32cbccbed9bc,11539,Adrián Embarba Blázquez,13,Right Center Midfield,65.6,73.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5ad2aa3-a903-4ccf-a723-32291b616b9e,2751,2,00:31:11.540,76,11,43,Carry,156,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,3.002757,,168f6100-5642-4867-9ee6-f2a54b03d31b,11539,Adrián Embarba Blázquez,13,Right Center Midfield,65.6,73.9,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,4e152e29-56df-4fa8-8298-3399bcfa25da,73.3,79.1,eca1f103-247c-4453-a58b-10176e7c7916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4e152e29-56df-4fa8-8298-3399bcfa25da,2752,2,00:31:13.607,76,13,17,Pressure,156,360,Rayo Vallecano,1,Regular Play,217,Barcelona,0.584836,,e5ad2aa3-a903-4ccf-a723-32291b616b9e,10609,Jérémy Mathieu,6,Left Back,46.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168f6100-5642-4867-9ee6-f2a54b03d31b,2753,2,00:31:14.543,76,14,38,Miscontrol,156,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,,11539,Adrián Embarba Blázquez,13,Right Center Midfield,73.3,79.1,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02efdbd5-6798-4033-99dc-fc9be0293390,2754,2,00:31:45.966,76,45,19,Substitution,156,360,Rayo Vallecano,1,Regular Play,217,Barcelona,0.0,,,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,Tactical,6332.0,Thomas Vermaelen,,,,,,,,,,,,,,,,,,
59e830c0-4e19-4c64-be22-9e30cf8f5439,2776,2,00:32:50.715,77,50,30,Pass,158,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.044986,,3ee79aea-5079-4bb6-8fd5-38a36acfee17,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,79.0,8.5,24782.0,Jonhatan Montiel Caballero,20.507803,-0.102579854,1.0,Ground Pass,99.4,6.4,62.0,Free Kick,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,76.0,Pass Offside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ee79aea-5079-4bb6-8fd5-38a36acfee17,2777,2,00:32:51.760,77,51,42,Ball Receipt*,158,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,59e830c0-4e19-4c64-be22-9e30cf8f5439,24782,Jonhatan Montiel Caballero,19,Center Attacking Midfield,99.4,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,
