id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry,duel,out,counterpress,ball_receipt,clearance,shot,goalkeeper,foul_committed,foul_won,dribble,ball_recovery,interception,block,substitution,miscontrol,bad_behaviour,pass,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,related_events,interception_outcome_id,interception_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,related_events_3,duel_outcome_id,duel_outcome_name,pass_cross
9279e72b-e24c-4889-9701-e0466c8797b8,3398,2,00:46:19.518,91,19,30,Pass,237,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,5.606287,,,True,26222,José Eduardo Rosa Vale de Castro,3,Right Center Back,9.5,65.8,,,111.17145,-0.10996188,3.0,High Pass,120.0,53.6,40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,75.0,Out,,,,,,,,,,,,,,
44007a2e-6b1f-4f3d-a204-e4b3b1abfe2e,3424,2,00:47:11.004,92,11,30,Pass,239,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,4.161551,,feac14f0-4657-4603-8624-b731a07ce855,,26222,José Eduardo Rosa Vale de Castro,3,Right Center Back,46.3,65.6,,,64.91595,-0.61022115,3.0,High Pass,99.5,28.4,40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,
feac14f0-4657-4603-8624-b731a07ce855,3425,2,00:47:15.166,92,15,30,Pass,239,360,Rayo Vallecano,3,From Free Kick,207,Valencia,1.731759,,44007a2e-6b1f-4f3d-a204-e4b3b1abfe2e,,7005,João Pedro Cavaco Cancelo,2,Right Back,20.6,51.7,10802.0,André Filipe Tavares Gomes,30.399014,-0.26971424,3.0,High Pass,49.9,43.6,40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,51154f97-96c2-4240-b97c-98cacb5c17c4,cc775392-eebb-4446-996a-c43b579c10b7,,,9.0,Incomplete,,,,,,,,,,,,,,
cc775392-eebb-4446-996a-c43b579c10b7,3426,2,00:47:16.898,92,16,42,Ball Receipt*,239,360,Rayo Vallecano,3,From Free Kick,207,Valencia,,,feac14f0-4657-4603-8624-b731a07ce855,,10802,André Filipe Tavares Gomes,15,Left Center Midfield,36.4,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,
51154f97-96c2-4240-b97c-98cacb5c17c4,3427,2,00:47:16.898,92,16,30,Pass,239,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,3.233236,,23fa96ac-6fec-4460-98fa-80032c251730,,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,70.2,36.5,26607.0,José Raúl Baena Urdiales,11.627554,1.6396528,3.0,High Pass,69.4,48.1,38.0,Left Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,feac14f0-4657-4603-8624-b731a07ce855,,,,,,,,,,,,,,,,,,,
23fa96ac-6fec-4460-98fa-80032c251730,3428,2,00:47:20.131,92,20,42,Ball Receipt*,239,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,51154f97-96c2-4240-b97c-98cacb5c17c4,,26607,José Raúl Baena Urdiales,19,Center Attacking Midfield,69.4,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0996ac19-b5e9-449f-aa95-f006ed53d1da,3429,2,00:47:20.131,92,20,30,Pass,239,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.183911,,841d85dc-d971-45ed-86d9-7dd72a77ac91,,26607,José Raúl Baena Urdiales,19,Center Attacking Midfield,69.4,48.1,26690.0,Alberto Mateus Contreiras Gonçalves,13.790577,-0.5578307,2.0,Low Pass,81.1,40.8,37.0,Head,,,,,,,,,,,,,,,,,,,,,,e4cddf90-adbe-4dc2-a03c-8191250ba462,,,,9.0,Incomplete,,,,,,,,,,,,,,
841d85dc-d971-45ed-86d9-7dd72a77ac91,3430,2,00:47:21.315,92,21,42,Ball Receipt*,239,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,0996ac19-b5e9-449f-aa95-f006ed53d1da,,26690,Alberto Mateus Contreiras Gonçalves,23,Center Forward,81.3,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,
e4cddf90-adbe-4dc2-a03c-8191250ba462,3431,2,00:47:21.315,92,21,30,Pass,239,360,Rayo Vallecano,3,From Free Kick,207,Valencia,2.168886,,0996ac19-b5e9-449f-aa95-f006ed53d1da,,3638,Shkodran Mustafi,3,Right Center Back,39.0,39.3,7005.0,João Pedro Cavaco Cancelo,17.238619,1.3722631,2.0,Low Pass,42.4,56.2,40.0,Right Foot,64.0,Interception,,,,,,,,,,,,,,,,,,,,74a15e6b-d933-4940-98b9-8cf7428fceae,,,,,,,,,,,,,,,,,,,
74a15e6b-d933-4940-98b9-8cf7428fceae,3432,2,00:47:23.484,92,23,42,Ball Receipt*,239,360,Rayo Vallecano,3,From Free Kick,207,Valencia,,,e4cddf90-adbe-4dc2-a03c-8191250ba462,,7005,João Pedro Cavaco Cancelo,2,Right Back,42.4,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
