id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,ball_receipt,under_pressure,duel,out,clearance,carry,dribble,counterpress,foul_won,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,interception,shot,50_50,foul_committed,miscontrol,substitution,ball_recovery,related_events,goalkeeper,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_switch,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location_0,carry_end_location_1,related_events_2,pass_cross,pass_outcome_id,pass_outcome_name,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_aerial_won,related_events_3,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,foul_committed_advantage,foul_won_advantage,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,clearance_aerial_won,clearance_left_foot
ba92088d-6c7f-4591-af2f-a88beef070b7,3080,2,00:45:44.455,90,44,42,Ball Receipt*,204,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,53073fe4-99e0-499c-90c4-bae7d6c2807f,,10727,Răzvan Dincă Raț,6,Left Back,104.3,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f6db4044-0e18-45c6-b799-d324c750a1b8,3081,2,00:45:44.455,90,44,43,Carry,204,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.411987,,ba92088d-6c7f-4591-af2f-a88beef070b7,,10727,Răzvan Dincă Raț,6,Left Back,104.3,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,c8b329fd-7cfd-4604-bd9e-f32317358b35,,,,,,,,,,,,,,110.1,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c8b329fd-7cfd-4604-bd9e-f32317358b35,3082,2,00:45:45.867,90,45,30,Pass,204,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.456529,,ec46276d-c77b-4ee0-afc3-f8c9585896d7,,10727,Răzvan Dincă Raț,6,Left Back,110.1,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.931713,1.6804465,1.0,Ground Pass,107.7,44.4,,,,38.0,Left Foot,,,,True,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,
ec46276d-c77b-4ee0-afc3-f8c9585896d7,3083,2,00:45:47.324,90,47,9,Clearance,204,360,Rayo Vallecano,1,Regular Play,214,Espanyol,0.0,,c8b329fd-7cfd-4604-bd9e-f32317358b35,,4741,Juan Rafael Fuentes Hernández,6,Left Back,12.4,35.7,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,Left Foot,,,,,,,,,True
ddd1d286-ca3d-49ff-824d-cb7c7742eabe,3084,2,00:46:01.162,91,1,30,Pass,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,0.460138,,67d3964c-3635-4f67-917f-e760f61e1667,True,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,120.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6852.0,Jozabed Sánchez Ruiz,4.4407206,2.5161076,1.0,Ground Pass,116.4,2.7,,61.0,Corner,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d3964c-3635-4f67-917f-e760f61e1667,3085,2,00:46:01.622,91,1,42,Ball Receipt*,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,,,ddd1d286-ca3d-49ff-824d-cb7c7742eabe,,6852,Jozabed Sánchez Ruiz,19,Center Attacking Midfield,116.4,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a0b80731-6c04-4550-bc36-7efacae2fc9b,3086,2,00:46:02.649,91,2,30,Pass,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,0.389592,,e6e54da0-f608-4fae-9fd8-4b551b185558,True,6852,Jozabed Sánchez Ruiz,19,Center Attacking Midfield,115.9,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26848.0,Roberto Trashorras Gayoso,2.9832869,0.69044644,1.0,Ground Pass,118.2,4.5,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6e54da0-f608-4fae-9fd8-4b551b185558,3087,2,00:46:03.038,91,3,42,Ball Receipt*,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,,,a0b80731-6c04-4550-bc36-7efacae2fc9b,,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,118.2,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fd7a108c-ba7a-4b84-99da-806250dcf460,3088,2,00:46:04.616,91,4,30,Pass,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,2.429083,,074b90f9-51f1-4b1a-b754-bf8a86525fbc,,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,114.9,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10727.0,Răzvan Dincă Raț,31.141611,2.9933379,1.0,Ground Pass,84.1,11.1,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074b90f9-51f1-4b1a-b754-bf8a86525fbc,3089,2,00:46:07.045,91,7,42,Ball Receipt*,205,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,,,fd7a108c-ba7a-4b84-99da-806250dcf460,,10727,Răzvan Dincă Raț,6,Left Back,84.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
