id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry,out,under_pressure,ball_receipt,counterpress,ball_recovery,interception,duel,dribble,shot,goalkeeper,off_camera,miscontrol,block,clearance,foul_won,50_50,foul_committed,substitution,bad_behaviour,pass,related_events_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,carry_end_location_0,carry_end_location_1,related_events_2,related_events,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,duel_outcome_id,duel_outcome_name,related_events_3,pass_aerial_won,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,dribble_overrun,dribble_outcome_id,dribble_outcome_name,interception_outcome_id,interception_outcome_name
a347cab4-e75e-4945-ab2a-d1aeeafaed49,1436,1,00:38:20.575,38,20,2,Ball Recovery,84,360,Rayo Vallecano,1,Regular Play,220,Real Madrid,0.0,,6d52185c-3743-4e25-9f7c-1b2306996050,5597,Keylor Navas Gamboa,1,Goalkeeper,14.8,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25a04932-0913-4c8f-b40e-00d12386a10f,1437,1,00:38:20.575,38,20,43,Carry,84,360,Rayo Vallecano,1,Regular Play,220,Real Madrid,5.400674,,a347cab4-e75e-4945-ab2a-d1aeeafaed49,5597,Keylor Navas Gamboa,1,Goalkeeper,14.8,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e4010426-18fd-4eee-ab2c-5424213470f6,,,,,,,15.9,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4010426-18fd-4eee-ab2c-5424213470f6,1438,1,00:38:25.976,38,25,30,Pass,84,360,Rayo Vallecano,1,Regular Play,220,Real Madrid,2.060737,,759edb29-17d1-4158-8062-03fbcb2ed3c5,5597,Keylor Navas Gamboa,1,Goalkeeper,15.9,32.7,5552.0,Marcelo Vieira da Silva Júnior,30.74752,-0.94941264,2.0,Low Pass,33.8,7.7,,,69.0,Keeper Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759edb29-17d1-4158-8062-03fbcb2ed3c5,1439,1,00:38:28.036,38,28,42,Ball Receipt*,84,360,Rayo Vallecano,1,Regular Play,220,Real Madrid,,,e4010426-18fd-4eee-ab2c-5424213470f6,5552,Marcelo Vieira da Silva Júnior,6,Left Back,33.8,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fcf2e0f8-8b42-43bc-b9bf-87e48cb1f5ea,1440,1,00:38:28.036,38,28,43,Carry,84,360,Rayo Vallecano,1,Regular Play,220,Real Madrid,0.093473,,244e8e2c-206d-4a59-8ac5-37966f7800a3,5552,Marcelo Vieira da Silva Júnior,6,Left Back,33.8,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759edb29-17d1-4158-8062-03fbcb2ed3c5,,,,,,,33.4,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244e8e2c-206d-4a59-8ac5-37966f7800a3,1441,1,00:38:28.130,38,28,30,Pass,84,360,Rayo Vallecano,1,Regular Play,220,Real Madrid,2.185211,,b7375d6e-03e0-49da-9920-88b51dc20b96,5552,Marcelo Vieira da Silva Júnior,6,Left Back,33.4,8.7,5574.0,Toni Kroos,28.641928,1.0195988,3.0,High Pass,48.4,33.1,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,e08f7deb-3905-44ca-90a8-3e6bfc8367f5,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e08f7deb-3905-44ca-90a8-3e6bfc8367f5,1442,1,00:38:30.315,38,30,42,Ball Receipt*,84,360,Rayo Vallecano,1,Regular Play,220,Real Madrid,,,244e8e2c-206d-4a59-8ac5-37966f7800a3,5574,Toni Kroos,10,Center Defensive Midfield,45.2,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7375d6e-03e0-49da-9920-88b51dc20b96,1443,1,00:38:30.315,38,30,30,Pass,84,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.169806,,244e8e2c-206d-4a59-8ac5-37966f7800a3,6852,Jozabed Sánchez Ruiz,9,Right Defensive Midfield,71.7,47.0,26685.0,Nicolás Ladislao Fedor Flores,14.024621,0.27438197,2.0,Low Pass,85.2,50.8,66.0,Recovery,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,c46b5ac1-a16d-4eea-8ec6-f3c72e6a30e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c46b5ac1-a16d-4eea-8ec6-f3c72e6a30e3,1444,1,00:38:31.485,38,31,42,Ball Receipt*,84,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,b7375d6e-03e0-49da-9920-88b51dc20b96,26685,Nicolás Ladislao Fedor Flores,23,Center Forward,85.2,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcde3662-c3fc-4401-956b-deb0d04974d5,1445,1,00:38:31.485,38,31,43,Carry,84,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.040765,,5ac5847c-6f1a-428b-acfb-7d57c21ac877,26685,Nicolás Ladislao Fedor Flores,23,Center Forward,85.2,50.8,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,aec6af4a-51d5-4d0e-b1f1-9cfb08082c38,,,,,,,85.8,49.6,c46b5ac1-a16d-4eea-8ec6-f3c72e6a30e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
