id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,counterpress,dribble,duel,interception,out,miscontrol,foul_won,clearance,foul_committed,substitution,shot,goalkeeper,ball_recovery,block,pass,duel_type_id,duel_type_name,related_events_1,pass_aerial_won,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events_2,pass_body_part_id,pass_body_part_name,carry_end_location_0,carry_end_location_1,interception_outcome_id,interception_outcome_name,related_events,dribble_outcome_id,dribble_outcome_name,related_events_3,related_events_4,pass_cross,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,clearance_right_foot
2d06f4ab-bd0c-4ebb-a9f7-b409ab9a1dba,103,1,00:01:57.579,1,57,30,Pass,5,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.84057,,c9c2e836-bf7e-4f0d-8798-63313d8dfddf,,26222,José Eduardo Rosa Vale de Castro,5,Left Center Back,39.8,32.6,26848.0,Roberto Trashorras Gayoso,9.924717,-0.21320452,3.0,High Pass,49.5,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,
c9c2e836-bf7e-4f0d-8798-63313d8dfddf,104,1,00:01:58.419,1,58,42,Ball Receipt*,5,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,2d06f4ab-bd0c-4ebb-a9f7-b409ab9a1dba,,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,49.5,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cba8c5e4-cb64-46db-ae4a-566a3a98b740,105,1,00:01:58.459,1,58,30,Pass,5,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.899836,,ddd733a8-0b97-4abe-9c43-25390932dbe0,,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,49.5,30.5,9246.0,Patrick Ebert,14.92012,0.6475225,3.0,High Pass,61.4,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,Head,,,,,,,,,,,,,,,
ddd733a8-0b97-4abe-9c43-25390932dbe0,106,1,00:02:00.359,2,0,42,Ball Receipt*,5,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,cba8c5e4-cb64-46db-ae4a-566a3a98b740,,9246,Patrick Ebert,19,Center Attacking Midfield,61.4,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75226aef-116a-41ad-9ec5-96f619a52a88,107,1,00:02:00.359,2,0,30,Pass,5,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.725612,,93c2ee76-40fa-4907-a33c-4255831537bf,,9246,Patrick Ebert,19,Center Attacking Midfield,61.4,39.5,26690.0,Alberto Mateus Contreiras Gonçalves,13.542894,-0.6228246,2.0,Low Pass,72.4,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,Head,,,,,,,,,,,,,,,
93c2ee76-40fa-4907-a33c-4255831537bf,108,1,00:02:01.085,2,1,42,Ball Receipt*,5,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,75226aef-116a-41ad-9ec5-96f619a52a88,,26690,Alberto Mateus Contreiras Gonçalves,23,Center Forward,72.4,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5585f91f-fd44-44be-81a9-9c6f5da68423,109,1,00:02:01.085,2,1,43,Carry,5,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.927971,,93c2ee76-40fa-4907-a33c-4255831537bf,,26690,Alberto Mateus Contreiras Gonçalves,23,Center Forward,72.4,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cf7be83f-bbe6-4b3f-a4a8-55d35f57d13b,,,,,,,,,72.4,31.6,,,,,,,,,,,,,
cf7be83f-bbe6-4b3f-a4a8-55d35f57d13b,110,1,00:02:02.013,2,2,30,Pass,5,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.713912,,5b751574-87d4-4dad-875f-6434519cfa61,,26690,Alberto Mateus Contreiras Gonçalves,23,Center Forward,72.4,31.6,9246.0,Patrick Ebert,8.588365,2.0552742,1.0,Ground Pass,68.4,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,
dd970a20-f616-4f8a-9ff5-c8cebb57d213,111,1,00:02:02.529,2,2,17,Pressure,5,360,Rayo Vallecano,1,Regular Play,209,Celta Vigo,0.478381,,136635ac-17bb-4785-b13e-773e8cfe2c55,,19668,Augusto Matías Fernández,10,Center Defensive Midfield,50.0,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4b551e5c-2554-4a72-bce6-d1ada4fa5fa0,,,,,,5b751574-87d4-4dad-875f-6434519cfa61,,,,,,,,,,,,,,,,,
5b751574-87d4-4dad-875f-6434519cfa61,112,1,00:02:02.727,2,2,42,Ball Receipt*,5,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,cf7be83f-bbe6-4b3f-a4a8-55d35f57d13b,,9246,Patrick Ebert,19,Center Attacking Midfield,68.4,39.2,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,dd970a20-f616-4f8a-9ff5-c8cebb57d213,,,,,,,,,,,,,,,,,,,,,,,
