id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,off_camera,dribble,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,counterpress,duel,clearance,out,interception,ball_recovery,miscontrol,foul_committed,foul_won,block,substitution,injury_stoppage,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,carry_end_location_0,carry_end_location_1,related_events_2,related_events,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,related_events_3,goalkeeper_body_part_id,goalkeeper_body_part_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_switch
2ba0e62d-b249-4906-904e-55e724f3cbdb,753,1,00:16:20.310,16,20,30,Pass,63,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.767032,,9f25883b-9bf9-4309-9ce6-345fa22c5ffa,11542,Javier Guerra Rodríguez,22,Right Center Forward,49.4,62.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26848.0,Roberto Trashorras Gayoso,16.055218,-2.028873,1.0,Ground Pass,42.3,48.0,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,
9f25883b-9bf9-4309-9ce6-345fa22c5ffa,754,1,00:16:22.077,16,22,42,Ball Receipt*,63,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,2ba0e62d-b249-4906-904e-55e724f3cbdb,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,42.3,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edf32be3-04a5-45a0-85f2-e486e9584097,755,1,00:16:22.077,16,22,43,Carry,63,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.007754,,2ec76ec5-714c-454f-884c-7fbf5ba3105d,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,42.3,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9f25883b-9bf9-4309-9ce6-345fa22c5ffa,,,,,,,,,,,,,,42.3,48.0,,,,,,,,,,,,,,,,,,
2ec76ec5-714c-454f-884c-7fbf5ba3105d,756,1,00:16:23.085,16,23,30,Pass,63,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,2.06722,,23fc83f6-9731-4c51-874b-9571b4c4f798,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,42.3,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6914.0,Roberto Román Triguero,39.500507,-1.5758595,3.0,High Pass,42.1,8.5,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,
23fc83f6-9731-4c51-874b-9571b4c4f798,757,1,00:16:25.152,16,25,42,Ball Receipt*,63,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,2ec76ec5-714c-454f-884c-7fbf5ba3105d,6914,Roberto Román Triguero,6,Left Back,42.1,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c4b9eaa-01b0-4b2d-a3d0-e20fe61564ab,758,1,00:16:25.152,16,25,43,Carry,63,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.007512,,09fface7-0ff7-4e21-bdd2-f5fb0ebbdd75,6914,Roberto Román Triguero,6,Left Back,42.1,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,23fc83f6-9731-4c51-874b-9571b4c4f798,,,,,,,,,,,,,,42.1,8.5,,,,,,,,,,,,,,,,,,
09fface7-0ff7-4e21-bdd2-f5fb0ebbdd75,759,1,00:16:25.159,16,25,38,Miscontrol,63,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,,6914,Roberto Román Triguero,6,Left Back,42.1,8.5,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de2c6ef0-ec6c-4e28-9ec0-57593085ec64,802,1,00:17:10.698,17,10,2,Ball Recovery,66,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,155bec2b-caef-4bb0-93c5-d56acdeb8296,4711,Pablo Hernández Domínguez,12,Right Midfield,13.7,72.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,a9f88eec-9b89-469c-b2eb-573535cec301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b60001cb-b487-43c8-ad7c-d94ba7ffb1c8,803,1,00:17:10.698,17,10,43,Carry,66,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.441749,,7c82ccc8-48b4-4074-9042-4f02087e1188,4711,Pablo Hernández Domínguez,12,Right Midfield,13.7,72.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,a9f88eec-9b89-469c-b2eb-573535cec301,,,,,,,,,,,,,,15.8,71.4,de2c6ef0-ec6c-4e28-9ec0-57593085ec64,,,,,,,,,,,,,,,,,
7c82ccc8-48b4-4074-9042-4f02087e1188,804,1,00:17:11.140,17,11,30,Pass,66,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.50562,,669419eb-cc8c-4f70-9bed-76086f780a2a,4711,Pablo Hernández Domínguez,12,Right Midfield,15.8,71.4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,a9f88eec-9b89-469c-b2eb-573535cec301,26685.0,Nicolás Ladislao Fedor Flores,28.27331,-0.33517256,1.0,Ground Pass,42.5,62.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,
