id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry,under_pressure,ball_receipt,duel,off_camera,interception,out,clearance,shot,goalkeeper,counterpress,dribble,ball_recovery,foul_committed,foul_won,bad_behaviour,substitution,injury_stoppage,block,pass,related_events,pass_outcome_id,pass_outcome_name,related_events_1,carry_end_location_0,carry_end_location_1,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events_2,related_events_3,dribble_outcome_id,dribble_outcome_name,pass_deflected,ball_recovery_recovery_failure,interception_outcome_id,interception_outcome_name,pass_cross,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,player,position,location,pass_switch,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name
2f8f3ce7-6ff7-40af-a1d7-fe3e7370a4ef,1474,1,00:44:17.107,44,17,30,Pass,97,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.113823,,fcf14a1c-ca83-4fbd-b8d3-a5abd781985a,11542.0,Javier Guerra Rodríguez,23.0,Center Forward,63.0,64.9,26848.0,Roberto Trashorras Gayoso,16.096273,-2.430945,1.0,Ground Pass,50.8,54.4,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fcf14a1c-ca83-4fbd-b8d3-a5abd781985a,1475,1,00:44:18.221,44,18,42,Ball Receipt*,97,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,2f8f3ce7-6ff7-40af-a1d7-fe3e7370a4ef,26848.0,Roberto Trashorras Gayoso,11.0,Left Defensive Midfield,50.8,54.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6900d309-96ab-4213-9517-094de3887826,1476,1,00:44:18.221,44,18,43,Carry,97,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.007046,,310e0d0a-b831-4b6f-a979-e0dddc96160b,26848.0,Roberto Trashorras Gayoso,11.0,Left Defensive Midfield,50.8,54.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fcf14a1c-ca83-4fbd-b8d3-a5abd781985a,50.8,54.4,,,,,,,,,,,,,,,,,,,,,,,
310e0d0a-b831-4b6f-a979-e0dddc96160b,1477,1,00:44:18.228,44,18,30,Pass,97,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.748991,,538701e3-d194-4541-a802-fc59d10318c8,26848.0,Roberto Trashorras Gayoso,11.0,Left Defensive Midfield,50.8,54.4,6852.0,Jozabed Sánchez Ruiz,10.729865,1.6454239,1.0,Ground Pass,50.0,65.1,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538701e3-d194-4541-a802-fc59d10318c8,1478,1,00:44:18.977,44,18,42,Ball Receipt*,97,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,310e0d0a-b831-4b6f-a979-e0dddc96160b,6852.0,Jozabed Sánchez Ruiz,9.0,Right Defensive Midfield,50.0,65.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2f0d563d-cfcb-4ae2-8c4f-fd7b80e40f9d,1479,1,00:44:18.977,44,18,43,Carry,97,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.068149,,27a4a6ce-7b81-488e-a589-4541fadbd01d,6852.0,Jozabed Sánchez Ruiz,9.0,Right Defensive Midfield,50.0,65.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538701e3-d194-4541-a802-fc59d10318c8,51.2,65.3,,,,,,,,,,,,,,,,,,,,,,,
27a4a6ce-7b81-488e-a589-4541fadbd01d,1480,1,00:44:20.045,44,20,30,Pass,97,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.588281,,ddc88787-3743-4194-b3eb-a23ad5c6caac,6852.0,Jozabed Sánchez Ruiz,9.0,Right Defensive Midfield,51.2,65.3,26848.0,Roberto Trashorras Gayoso,17.50457,-1.5936495,1.0,Ground Pass,50.8,47.8,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ddc88787-3743-4194-b3eb-a23ad5c6caac,1481,1,00:44:20.633,44,20,42,Ball Receipt*,97,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,27a4a6ce-7b81-488e-a589-4541fadbd01d,26848.0,Roberto Trashorras Gayoso,11.0,Left Defensive Midfield,50.8,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d4a9f81-e94d-439d-b4bc-bee7a28be269,1482,1,00:44:20.633,44,20,43,Carry,97,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.667604,,9ce7d341-f7be-4249-9248-e83eb9396666,26848.0,Roberto Trashorras Gayoso,11.0,Left Defensive Midfield,50.8,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddc88787-3743-4194-b3eb-a23ad5c6caac,52.3,41.8,,,,,,,,,,,,,,,,,,,,,,,
9ce7d341-f7be-4249-9248-e83eb9396666,1483,1,00:44:22.301,44,22,30,Pass,97,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,2.219248,,f612ff3f-ab6e-4b8c-94d9-a5135b1992f5,26848.0,Roberto Trashorras Gayoso,11.0,Left Defensive Midfield,52.3,41.8,26222.0,José Eduardo Rosa Vale de Castro,24.070936,-2.2650027,1.0,Ground Pass,36.9,23.3,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
