id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry,under_pressure,ball_receipt,duel,off_camera,interception,out,clearance,shot,goalkeeper,counterpress,dribble,ball_recovery,foul_committed,foul_won,bad_behaviour,substitution,injury_stoppage,block,pass,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,related_events,pass_outcome_id,pass_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,related_events_3,pass_switch,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_won_defensive
3dc3bf2b-c4a9-461e-89d3-2036c91fd4b2,1033,1,00:32:36.865,32,36,42,Ball Receipt*,70,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,ca9793fc-0772-4a93-9da1-ca6cdbee99d4,11542,Javier Guerra Rodríguez,23,Center Forward,90.4,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e1384ee-d8af-4e47-9c63-bc412c4f042d,1034,1,00:32:36.865,32,36,30,Pass,70,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.724362,,a54ad2ee-eea8-48da-9e80-2a9d4aae9af4,11542,Javier Guerra Rodríguez,23,Center Forward,90.4,6.7,11298.0,José Ignacio Martínez García,4.6400433,-2.4937813,2.0,Low Pass,86.7,3.9,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a54ad2ee-eea8-48da-9e80-2a9d4aae9af4,1035,1,00:32:37.590,32,37,42,Ball Receipt*,70,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,5e1384ee-d8af-4e47-9c63-bc412c4f042d,11298,José Ignacio Martínez García,6,Left Back,86.7,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09869105-78ed-4674-ba53-f9617b32f8f4,1036,1,00:32:37.590,32,37,43,Carry,70,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.31832,,47a39530-a1dc-4988-84ee-5cb05ce147c8,11298,José Ignacio Martínez García,6,Left Back,86.7,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a54ad2ee-eea8-48da-9e80-2a9d4aae9af4,,86.7,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47a39530-a1dc-4988-84ee-5cb05ce147c8,1037,1,00:32:38.908,32,38,30,Pass,70,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.154036,,8359243a-59b2-4f62-9b4c-15aebbef0320,11298,José Ignacio Martínez García,6,Left Back,86.7,3.9,26848.0,Roberto Trashorras Gayoso,7.6,3.1415927,1.0,Ground Pass,79.1,3.9,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8359243a-59b2-4f62-9b4c-15aebbef0320,1038,1,00:32:40.062,32,40,42,Ball Receipt*,70,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,47a39530-a1dc-4988-84ee-5cb05ce147c8,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,79.1,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dceac216-bd51-42cd-9af2-5da4314ed366,1039,1,00:32:40.062,32,40,43,Carry,70,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.58584,,8359243a-59b2-4f62-9b4c-15aebbef0320,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,79.1,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,affd9288-d001-46c8-89f9-f7f5eec45435,,79.1,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affd9288-d001-46c8-89f9-f7f5eec45435,1040,1,00:32:40.648,32,40,30,Pass,70,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.73394,,98b0ec96-1e18-49e3-b32e-88514df1731b,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,79.1,3.9,11542.0,Javier Guerra Rodríguez,19.697716,1.152572,1.0,Ground Pass,87.1,21.9,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98b0ec96-1e18-49e3-b32e-88514df1731b,1041,1,00:32:41.382,32,41,42,Ball Receipt*,70,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,affd9288-d001-46c8-89f9-f7f5eec45435,11542,Javier Guerra Rodríguez,23,Center Forward,87.1,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a2203ca-81ea-414a-be80-f199e7d69381,1042,1,00:32:41.382,32,41,43,Carry,70,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.92725,,0444dcaa-95e2-4eec-a3b6-df31feb573fd,11542,Javier Guerra Rodríguez,23,Center Forward,87.1,21.9,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,8d5ebc97-251d-499a-89f6-1061d5d41faa,98b0ec96-1e18-49e3-b32e-88514df1731b,88.8,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d5ebc97-251d-499a-89f6-1061d5d41faa,1043,1,00:32:41.722,32,41,17,Pressure,70,360,Rayo Vallecano,4,From Throw In,220,Real Madrid,0.323214,,4a2203ca-81ea-414a-be80-f199e7d69381,5201,Sergio Ramos García,5,Left Center Back,28.5,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0444dcaa-95e2-4eec-a3b6-df31feb573fd,1044,1,00:32:42.309,32,42,14,Dribble,70,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.0,,e01bca15-d5b4-484e-92ce-2fbc040aefc6,11542,Javier Guerra Rodríguez,23,Center Forward,88.8,21.9,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,
e01bca15-d5b4-484e-92ce-2fbc040aefc6,1045,1,00:32:42.309,32,42,4,Duel,70,360,Rayo Vallecano,4,From Throw In,220,Real Madrid,0.0,,0444dcaa-95e2-4eec-a3b6-df31feb573fd,5201,Sergio Ramos García,5,Left Center Back,31.3,58.2,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Won,11.0,Tackle,,,,,,,,,,,,,,,,,
c5244d22-bd28-4b21-ae31-a4c9db0632ed,1046,1,00:32:42.309,32,42,43,Carry,70,360,Rayo Vallecano,4,From Throw In,220,Real Madrid,0.358124,,b696f374-a940-4a9c-b2d1-625a52c11689,5201,Sergio Ramos García,5,Left Center Back,31.3,58.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e01bca15-d5b4-484e-92ce-2fbc040aefc6,,33.4,58.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b696f374-a940-4a9c-b2d1-625a52c11689,1047,1,00:32:42.667,32,42,30,Pass,70,360,Rayo Vallecano,4,From Throw In,220,Real Madrid,1.096247,,0cf4c419-99b9-4ec1-9dc7-3869b54e87e3,5201,Sergio Ramos García,5,Left Center Back,33.4,58.4,5695.0,James David Rodríguez Rubio,4.9497476,-0.14189705,1.0,Ground Pass,38.3,57.7,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0cf4c419-99b9-4ec1-9dc7-3869b54e87e3,1048,1,00:32:43.763,32,43,42,Ball Receipt*,70,360,Rayo Vallecano,4,From Throw In,220,Real Madrid,,,b696f374-a940-4a9c-b2d1-625a52c11689,5695,James David Rodríguez Rubio,13,Right Center Midfield,38.3,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9a70299-735a-4b38-9abe-ce032010ba6f,1049,1,00:32:43.763,32,43,43,Carry,70,360,Rayo Vallecano,4,From Throw In,220,Real Madrid,0.654999,,0cf4c419-99b9-4ec1-9dc7-3869b54e87e3,5695,James David Rodríguez Rubio,13,Right Center Midfield,38.3,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fcf99383-1c5b-4ea1-bd4e-444560fe4104,,40.4,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fcf99383-1c5b-4ea1-bd4e-444560fe4104,1050,1,00:32:44.418,32,44,30,Pass,70,360,Rayo Vallecano,4,From Throw In,220,Real Madrid,3.846382,,65b6c528-c0ff-4e0d-b11a-3bd15f230c47,5695,James David Rodríguez Rubio,13,Right Center Midfield,40.4,56.8,19677.0,Karim Benzema,59.15953,-0.6691972,3.0,High Pass,86.8,20.1,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,986b823e-dd86-41a6-b7f7-5cdd627063f0,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,
d035b946-1f90-4ec0-be87-a179e611a3df,1051,1,00:32:47.700,32,47,17,Pressure,70,360,Rayo Vallecano,4,From Throw In,220,Real Madrid,4.017744,,65b6c528-c0ff-4e0d-b11a-3bd15f230c47,19677,Karim Benzema,23,Center Forward,83.6,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88015eb2-93fc-4de9-ade8-cd592cc0b48b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986b823e-dd86-41a6-b7f7-5cdd627063f0,1052,1,00:32:48.265,32,48,42,Ball Receipt*,70,360,Rayo Vallecano,4,From Throw In,220,Real Madrid,,,fcf99383-1c5b-4ea1-bd4e-444560fe4104,19677,Karim Benzema,23,Center Forward,84.6,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,
65b6c528-c0ff-4e0d-b11a-3bd15f230c47,1053,1,00:32:48.265,32,48,10,Interception,70,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.0,,d035b946-1f90-4ec0-be87-a179e611a3df,27144,Antonio Amaya Carazo,3,Right Center Back,33.3,60.0,,,,,,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,fcf99383-1c5b-4ea1-bd4e-444560fe4104,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,
88015eb2-93fc-4de9-ade8-cd592cc0b48b,1054,1,00:32:48.265,32,48,43,Carry,70,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,3.463807,,65b6c528-c0ff-4e0d-b11a-3bd15f230c47,27144,Antonio Amaya Carazo,3,Right Center Back,33.3,60.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,8633e02b-fa9d-44c4-9f83-4575add0fde1,d035b946-1f90-4ec0-be87-a179e611a3df,19.8,76.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8633e02b-fa9d-44c4-9f83-4575add0fde1,1055,1,00:32:51.729,32,51,30,Pass,70,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.395172,,84073c13-96d0-4f89-8c6b-16b58f7ea10c,27144,Antonio Amaya Carazo,3,Right Center Back,19.8,76.6,24138.0,Joaquín José Marín Ruiz,13.945967,-1.8993495,1.0,Ground Pass,15.3,63.4,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84073c13-96d0-4f89-8c6b-16b58f7ea10c,1056,1,00:32:53.124,32,53,42,Ball Receipt*,70,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,8633e02b-fa9d-44c4-9f83-4575add0fde1,24138,Joaquín José Marín Ruiz,2,Right Back,15.3,63.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff470872-94e6-4af4-8e8f-b98ad4ec94ec,1057,1,00:32:53.124,32,53,30,Pass,70,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.092166,,f69d98cc-ddfe-494c-a016-92a281973a45,24138,Joaquín José Marín Ruiz,2,Right Back,15.3,63.4,27144.0,Antonio Amaya Carazo,19.162724,0.7890882,1.0,Ground Pass,28.8,77.0,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f69d98cc-ddfe-494c-a016-92a281973a45,1058,1,00:32:54.216,32,54,42,Ball Receipt*,70,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,ff470872-94e6-4af4-8e8f-b98ad4ec94ec,27144,Antonio Amaya Carazo,3,Right Center Back,28.8,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
