id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,out,ball_receipt,off_camera,duel,clearance,counterpress,dribble,foul_committed,foul_won,interception,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,block,ball_recovery,substitution,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,carry_end_location_0,carry_end_location_1,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_head,related_events,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,pass_switch,pass_aerial_won,related_events_3,dribble_outcome_id,dribble_outcome_name,clearance_right_foot,foul_won_defensive,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,interception_outcome_id,interception_outcome_name
747d6929-01c9-48d9-8e43-749561c7939c,2121,2,00:11:14.755,56,14,23,Goal Keeper,124,360,Rayo Vallecano,1,Regular Play,217,Barcelona,0.0,,f3f5068b-b0c3-4170-a8e1-c9cdcba46896,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,0.1,42.0,,,,,,,,,,,,,,,46.0,Standing,42.0,Moving,26.0,Goal Conceded,55.0,No Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92550b29-dde1-4dde-9d07-ee53907852b5,2139,2,00:12:35.878,57,35,30,Pass,127,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.082703,,4991f1f2-9064-4eda-8304-232a7fa65aca,6914,Roberto Román Triguero,6,Left Back,52.5,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,c1a91976-ceaf-44e5-b530-66ab8d53ce3b,7900.0,Tiago Manuel Dias Correia,11.923087,-0.39608145,1.0,Ground Pass,63.5,35.6,40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4991f1f2-9064-4eda-8304-232a7fa65aca,2140,2,00:12:36.960,57,36,42,Ball Receipt*,127,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,92550b29-dde1-4dde-9d07-ee53907852b5,7900,Tiago Manuel Dias Correia,21,Left Wing,63.5,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30b1f3d1-bb24-4c67-8384-f439abe29aad,2141,2,00:12:36.960,57,36,43,Carry,127,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.336497,,4991f1f2-9064-4eda-8304-232a7fa65aca,7900,Tiago Manuel Dias Correia,21,Left Wing,63.5,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,882e7cc6-c87b-4913-b811-cda4b8a627ea,,,,,,,,,,,,,,64.3,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882e7cc6-c87b-4913-b811-cda4b8a627ea,2142,2,00:12:38.297,57,38,30,Pass,127,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.410123,,1bbe7058-c37c-4fff-914d-780aa2da2501,7900,Tiago Manuel Dias Correia,21,Left Wing,64.3,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,26848.0,Roberto Trashorras Gayoso,12.756175,0.8519663,3.0,High Pass,72.7,42.3,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1bbe7058-c37c-4fff-914d-780aa2da2501,2143,2,00:12:39.707,57,39,42,Ball Receipt*,127,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,882e7cc6-c87b-4913-b811-cda4b8a627ea,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,72.7,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46c2a7b6-dde0-41dc-bee8-9f8a7ef7326b,2144,2,00:12:39.707,57,39,43,Carry,127,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.854577,,1bbe7058-c37c-4fff-914d-780aa2da2501,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,72.7,42.3,,,True,,,,,,,,,,,,,,,,,,,,,,,85f97844-b503-47e4-978e-ad83b022c397,,,,,,,,,,,,,,68.3,41.3,d46881fe-70fe-4c1b-bfaf-7ba9d09e484c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d46881fe-70fe-4c1b-bfaf-7ba9d09e484c,2145,2,00:12:39.977,57,39,17,Pressure,127,360,Rayo Vallecano,1,Regular Play,217,Barcelona,1.7764,,46c2a7b6-dde0-41dc-bee8-9f8a7ef7326b,5216,Andrés Iniesta Luján,13,Right Center Midfield,47.4,35.9,,,,,,,,,True,,,,,,,,,,,,,,,,,85f97844-b503-47e4-978e-ad83b022c397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85f97844-b503-47e4-978e-ad83b022c397,2146,2,00:12:41.561,57,41,30,Pass,127,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.179341,,cd026a2a-b586-4ab5-81b5-8018905284e4,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,68.3,41.3,,,True,,,,,,,,,,,,,,,,,,,,,,,d46881fe-70fe-4c1b-bfaf-7ba9d09e484c,6914.0,Roberto Román Triguero,22.33786,-1.5125662,1.0,Ground Pass,69.6,19.0,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd026a2a-b586-4ab5-81b5-8018905284e4,2147,2,00:12:42.741,57,42,42,Ball Receipt*,127,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,85f97844-b503-47e4-978e-ad83b022c397,6914,Roberto Román Triguero,6,Left Back,69.6,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
