id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,duel,off_camera,interception,out,clearance,shot,goalkeeper,counterpress,dribble,ball_recovery,foul_committed,foul_won,bad_behaviour,substitution,injury_stoppage,block,pass,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,related_events_3,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,related_events,ball_recovery_recovery_failure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_aerial_won,block_deflection
862481a2-d088-43b5-8b87-189ff3120bae,3134,2,00:38:12.711,83,12,17,Pressure,187,360,Rayo Vallecano,3,From Free Kick,220,Real Madrid,0.294635,,94134089-2c38-45cd-9fb4-91bd395f9005,5207,Cristiano Ronaldo dos Santos Aveiro,21,Left Wing,71.8,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a9163326-1a49-4709-a791-76415c23af54,,,,,,,,,,,,,,,,,,,,,,,,
abe1b122-ee86-43f8-9f59-9abe7b520fd4,3135,2,00:38:12.821,83,12,42,Ball Receipt*,187,360,Rayo Vallecano,3,From Free Kick,220,Real Madrid,,,a119731f-653f-431c-ad85-76f16c56c7d7,5207,Cristiano Ronaldo dos Santos Aveiro,21,Left Wing,71.4,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,
a9163326-1a49-4709-a791-76415c23af54,3136,2,00:38:12.821,83,12,10,Interception,187,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.0,,862481a2-d088-43b5-8b87-189ff3120bae,27144,Antonio Amaya Carazo,5,Left Center Back,49.7,31.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,a119731f-653f-431c-ad85-76f16c56c7d7,,,,,,,,,,,,,,,,4.0,Won,,,,,,,
94134089-2c38-45cd-9fb4-91bd395f9005,3137,2,00:38:12.821,83,12,43,Carry,187,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.31877,,187ab9be-fb2d-45cc-a6cb-ae1243ab61de,27144,Antonio Amaya Carazo,5,Left Center Back,49.7,31.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,7e402768-d30a-480c-99c7-689cf418bca8,54.1,30.9,862481a2-d088-43b5-8b87-189ff3120bae,a9163326-1a49-4709-a791-76415c23af54,,,,,,,,,,,,,,,,,,,,
187ab9be-fb2d-45cc-a6cb-ae1243ab61de,3138,2,00:38:13.289,83,13,17,Pressure,187,360,Rayo Vallecano,3,From Free Kick,220,Real Madrid,0.650927,,94134089-2c38-45cd-9fb4-91bd395f9005,5200,Lucas Vázquez Iglesias,17,Right Wing,64.3,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e402768-d30a-480c-99c7-689cf418bca8,3139,2,00:38:14.140,83,14,14,Dribble,187,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.0,,389d6ad2-121f-4719-a5b9-d49923efba8d,27144,Antonio Amaya Carazo,5,Left Center Back,54.1,30.9,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,
d13ec13e-92b0-4044-aac6-4e800c721c9f,3212,2,00:39:57.771,84,57,30,Pass,190,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,3.313933,,5599da1e-a352-412f-8a65-8d7d74df3fb9,10612,Yoel Rodríguez Oterino,1,Goalkeeper,6.0,36.0,7900.0,Tiago Manuel Dias Correia,62.081882,0.6067672,3.0,High Pass,57.0,71.4,40.0,Right Foot,63.0,Goal Kick,,,,,,,,,,,,,,,,,,,,,fda5d91a-c5c9-4132-868a-fa95656128d3,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,
5599da1e-a352-412f-8a65-8d7d74df3fb9,3213,2,00:40:01.085,85,1,42,Ball Receipt*,190,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,,,d13ec13e-92b0-4044-aac6-4e800c721c9f,7900,Tiago Manuel Dias Correia,2,Right Back,55.8,70.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,
5257d7ce-c92a-4193-a9d7-c0ea0011f418,3214,2,00:40:01.085,85,1,4,Duel,190,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,0.0,,fda5d91a-c5c9-4132-868a-fa95656128d3,7900,Tiago Manuel Dias Correia,2,Right Back,57.0,71.4,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,
fda5d91a-c5c9-4132-868a-fa95656128d3,3215,2,00:40:01.085,85,1,9,Clearance,190,360,Rayo Vallecano,7,From Goal Kick,220,Real Madrid,0.0,,5257d7ce-c92a-4193-a9d7-c0ea0011f418,3063,Danilo Luiz da Silva,6,Left Back,63.1,8.7,,,,,,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,d13ec13e-92b0-4044-aac6-4e800c721c9f,,,,,,,,,,,,,,,,,,,,37.0,Head,True,True,
a915e19f-8b08-4565-bdc7-1419864bd6b1,3216,2,00:40:08.421,85,8,30,Pass,191,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.859134,,cb467316-90d9-4701-916e-53e7cc9bc7c0,7900,Tiago Manuel Dias Correia,2,Right Back,56.8,80.0,26848.0,Roberto Trashorras Gayoso,11.064357,-1.3982184,2.0,Low Pass,58.7,69.1,,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
