id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,duel,off_camera,interception,out,clearance,shot,goalkeeper,counterpress,dribble,ball_recovery,foul_committed,foul_won,bad_behaviour,substitution,injury_stoppage,block,pass,related_events_1,carry_end_location_0,carry_end_location_1,related_events,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events_3,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_head,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,foul_committed_advantage,foul_won_advantage,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_key_pass_id,shot_first_time,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,clearance_left_foot,ball_recovery_recovery_failure
aea03d62-21a2-4a64-a965-1f9e24fd8e24,2002,2,00:08:55.996,53,55,30,Pass,133,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.343018,,66d5f7b9-bd53-4e29-8128-c31c800c1aa0,11542,Javier Guerra Rodríguez,23,Center Forward,60.0,40.0,6852.0,Jozabed Sánchez Ruiz,2.6476405,-1.7607846,1.0,Ground Pass,59.5,37.4,40.0,Right Foot,65.0,Kick Off,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66d5f7b9-bd53-4e29-8128-c31c800c1aa0,2003,2,00:08:56.339,53,56,42,Ball Receipt*,133,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,aea03d62-21a2-4a64-a965-1f9e24fd8e24,6852,Jozabed Sánchez Ruiz,9,Right Defensive Midfield,59.5,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9ee0d14b-aa43-4cfb-a679-6cfe07fd1424,2004,2,00:08:58.975,53,58,30,Pass,133,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,2.357598,,f3993ce2-3ee6-433c-91eb-71c2182ad463,6852,Jozabed Sánchez Ruiz,9,Right Defensive Midfield,56.5,43.4,24138.0,Joaquín José Marín Ruiz,31.410189,1.5962685,1.0,Ground Pass,55.7,74.8,40.0,Right Foot,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3993ce2-3ee6-433c-91eb-71c2182ad463,2005,2,00:09:01.333,54,1,42,Ball Receipt*,133,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,9ee0d14b-aa43-4cfb-a679-6cfe07fd1424,24138,Joaquín José Marín Ruiz,2,Right Back,55.7,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e05b034c-3fbc-40f5-b2e6-09a939e4fbd3,2006,2,00:09:03.883,54,3,30,Pass,133,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.010656,,0fe6a9ff-8146-4b93-a94e-9ac84a2023c0,24138,Joaquín José Marín Ruiz,2,Right Back,41.8,68.2,6852.0,Jozabed Sánchez Ruiz,18.748066,-1.328405,1.0,Ground Pass,46.3,50.0,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0fe6a9ff-8146-4b93-a94e-9ac84a2023c0,2007,2,00:09:04.894,54,4,42,Ball Receipt*,133,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,e05b034c-3fbc-40f5-b2e6-09a939e4fbd3,6852,Jozabed Sánchez Ruiz,9,Right Defensive Midfield,46.3,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5258b8f-2dd0-4679-8c66-8f2ec73be9a3,2008,2,00:09:04.894,54,4,43,Carry,133,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.119999,,0fe6a9ff-8146-4b93-a94e-9ac84a2023c0,6852,Jozabed Sánchez Ruiz,9,Right Defensive Midfield,46.3,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91f16570-2d70-451d-903f-696f32083125,46.5,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91f16570-2d70-451d-903f-696f32083125,2009,2,00:09:05.014,54,5,30,Pass,133,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.086781,,c57db410-6dc8-40ad-adc9-c917b524d8e9,6852,Jozabed Sánchez Ruiz,9,Right Defensive Midfield,46.5,52.6,11542.0,Javier Guerra Rodríguez,15.147607,0.61180764,2.0,Low Pass,58.9,61.3,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c57db410-6dc8-40ad-adc9-c917b524d8e9,2010,2,00:09:06.100,54,6,42,Ball Receipt*,133,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,91f16570-2d70-451d-903f-696f32083125,11542,Javier Guerra Rodríguez,23,Center Forward,58.9,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4e5a24d-6019-48cb-b2d9-224c4d8b04bc,2011,2,00:09:06.100,54,6,30,Pass,133,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.251513,,42f8ab65-9c39-46a6-8949-9df29a323e6a,11542,Javier Guerra Rodríguez,23,Center Forward,58.9,61.3,27144.0,Antonio Amaya Carazo,10.373042,2.1641464,1.0,Ground Pass,53.1,69.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
