id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics_formation,tactics_lineup_0_player_id,tactics_lineup_0_player_name,tactics_lineup_0_position_id,tactics_lineup_0_position_name,tactics_lineup_0_jersey_number,tactics_lineup_1_player_id,tactics_lineup_1_player_name,tactics_lineup_1_position_id,tactics_lineup_1_position_name,tactics_lineup_1_jersey_number,tactics_lineup_2_player_id,tactics_lineup_2_player_name,tactics_lineup_2_position_id,tactics_lineup_2_position_name,tactics_lineup_2_jersey_number,tactics_lineup_3_player_id,tactics_lineup_3_player_name,tactics_lineup_3_position_id,tactics_lineup_3_position_name,tactics_lineup_3_jersey_number,tactics_lineup_4_player_id,tactics_lineup_4_player_name,tactics_lineup_4_position_id,tactics_lineup_4_position_name,tactics_lineup_4_jersey_number,tactics_lineup_5_player_id,tactics_lineup_5_player_name,tactics_lineup_5_position_id,tactics_lineup_5_position_name,tactics_lineup_5_jersey_number,tactics_lineup_6_player_id,tactics_lineup_6_player_name,tactics_lineup_6_position_id,tactics_lineup_6_position_name,tactics_lineup_6_jersey_number,tactics_lineup_7_player_id,tactics_lineup_7_player_name,tactics_lineup_7_position_id,tactics_lineup_7_position_name,tactics_lineup_7_jersey_number,tactics_lineup_8_player_id,tactics_lineup_8_player_name,tactics_lineup_8_position_id,tactics_lineup_8_position_name,tactics_lineup_8_jersey_number,tactics_lineup_9_player_id,tactics_lineup_9_player_name,tactics_lineup_9_position_id,tactics_lineup_9_position_name,tactics_lineup_9_jersey_number,tactics_lineup_10_player_id,tactics_lineup_10_player_name,tactics_lineup_10_position_id,tactics_lineup_10_position_name,tactics_lineup_10_jersey_number,related_events,off_camera,player,position,location,pass,carry,under_pressure,dribble,duel,ball_recovery,ball_receipt,clearance,out,foul_won,foul_committed,counterpress,interception,shot,goalkeeper,substitution,miscontrol,bad_behaviour,player_off,tactics,related_events_0,related_events_1,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location_0,carry_end_location_1,related_events_2,pass_switch,pass_cross,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_aerial_won,pass_aerial_won,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_defensive,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,related_events_3
5c4989eb-5fd3-4e5c-8afd-960c4b05849f,1,1,00:00:00.000,0,0,35,Starting XI,1,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,4231.0,24255.0,Juan Carlos Martín Corral,1.0,Goalkeeper,13.0,6914.0,Roberto Román Triguero,2.0,Right Back,2.0,26222.0,José Eduardo Rosa Vale de Castro,3.0,Right Center Back,18.0,6713.0,Diego Javier Llorente Ríos,5.0,Left Center Back,27.0,11298.0,José Ignacio Martínez García,6.0,Left Back,3.0,26607.0,José Raúl Baena Urdiales,9.0,Right Defensive Midfield,8.0,26848.0,Roberto Trashorras Gayoso,11.0,Left Defensive Midfield,10.0,4711.0,Pablo Hernández Domínguez,17.0,Right Wing,14.0,6852.0,Jozabed Sánchez Ruiz,19.0,Center Attacking Midfield,21.0,7900.0,Tiago Manuel Dias Correia,21.0,Left Wing,23.0,26685.0,Nicolás Ladislao Fedor Flores,23.0,Center Forward,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c77fb7cd-4a1c-40d9-8279-cbe108af2a63,2,1,00:00:00.000,0,0,35,Starting XI,1,360,Rayo Vallecano,1,Regular Play,213,Sevilla,0.0,4231.0,6823.0,Sergio Rico González,1.0,Goalkeeper,1.0,6672.0,Jorge Andújar Moreno,2.0,Right Back,23.0,3253.0,Adil Rami,3.0,Right Center Back,3.0,6349.0,Federico Julián Fazio,5.0,Left Center Back,16.0,27483.0,Benoît Trémoulinas,6.0,Left Back,2.0,7154.0,Sebastián Carlos Cristóforo Pepe,9.0,Right Defensive Midfield,14.0,5737.0,Steven N''Kemboanza Mike Christopher Nzonzi,11.0,Left Defensive Midfield,15.0,6841.0,Víctor Machín Pérez,17.0,Right Wing,20.0,3497.0,Vicente Iborra De La Fuente,19.0,Center Attacking Midfield,8.0,6356.0,Michael Krohn-Dehli,21.0,Left Wing,7.0,6401.0,Kevin Gameiro,23.0,Center Forward,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04daa8ab-04e4-4f9b-afba-ac2c6d1c40e8,3,1,00:00:00.000,0,0,18,Half Start,1,360,Rayo Vallecano,1,Regular Play,213,Sevilla,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825fced5-df45-4ab0-bb25-5aa8cd9170fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825fced5-df45-4ab0-bb25-5aa8cd9170fe,4,1,00:00:00.000,0,0,18,Half Start,1,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04daa8ab-04e4-4f9b-afba-ac2c6d1c40e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48468beb-f976-4bc1-b572-43facf8d37f3,43,1,00:00:29.782,0,29,30,Pass,3,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.724511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1a0bc393-c885-417c-8958-6c1afb3e2e6b,c4e2e631-e596-4782-9504-f69a4113974f,26607.0,José Raúl Baena Urdiales,9.0,Right Defensive Midfield,37.5,39.1,4711.0,Pablo Hernández Domínguez,14.272,1.286722,1.0,Ground Pass,41.5,52.8,40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,
1a0bc393-c885-417c-8958-6c1afb3e2e6b,44,1,00:00:30.506,0,30,42,Ball Receipt*,3,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48468beb-f976-4bc1-b572-43facf8d37f3,,4711.0,Pablo Hernández Domínguez,17.0,Right Wing,41.5,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337862c9-babb-468d-9cb1-05dcad067dd2,45,1,00:00:30.506,0,30,43,Carry,3,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1a0bc393-c885-417c-8958-6c1afb3e2e6b,63297a48-e74f-4498-9cdf-9f7b250f7893,4711.0,Pablo Hernández Domínguez,17.0,Right Wing,41.5,52.8,,,,,,,,,,,,,43.2,53.1,,,,,,,,,,,,,,,,,,,,,,,
63297a48-e74f-4498-9cdf-9f7b250f7893,46,1,00:00:30.586,0,30,30,Pass,3,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,2.192358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecfb635e-03b5-468b-975a-ec1c10106774,,4711.0,Pablo Hernández Domínguez,17.0,Right Wing,43.2,53.1,24255.0,Juan Carlos Martín Corral,35.418922,-2.8287704,3.0,High Pass,9.5,42.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecfb635e-03b5-468b-975a-ec1c10106774,47,1,00:00:32.779,0,32,42,Ball Receipt*,3,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63297a48-e74f-4498-9cdf-9f7b250f7893,,24255.0,Juan Carlos Martín Corral,1.0,Goalkeeper,9.5,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4e78b8ff-197a-4382-8a39-16b84e1c150c,48,1,00:00:32.779,0,32,43,Carry,3,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,2.008899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562a0ff6-90f2-442b-b134-c65089ef5c54,ecfb635e-03b5-468b-975a-ec1c10106774,24255.0,Juan Carlos Martín Corral,1.0,Goalkeeper,9.5,42.2,,,,,,,,,,,,,9.3,42.0,,,,,,,,,,,,,,,,,,,,,,,
