id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,counterpress,dribble,duel,interception,out,miscontrol,foul_won,clearance,foul_committed,substitution,shot,goalkeeper,ball_recovery,block,pass,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,dribble_outcome_id,dribble_outcome_name,related_events_3,pass_outcome_id,pass_outcome_name,interception_outcome_id,interception_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name
38d470fa-6222-4a97-8a02-14c420d80b0e,3720,2,00:43:41.981,88,41,30,Pass,193,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.329767,,627831f0-a169-43f5-a680-bbc88902d878,,9246,Patrick Ebert,21,Left Wing,60.0,40.0,26685.0,Nicolás Ladislao Fedor Flores,2.3706539,-2.0533097,1.0,Ground Pass,58.9,37.9,40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627831f0-a169-43f5-a680-bbc88902d878,3721,2,00:43:42.311,88,42,42,Ball Receipt*,193,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,38d470fa-6222-4a97-8a02-14c420d80b0e,,26685,Nicolás Ladislao Fedor Flores,23,Center Forward,58.9,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32d286d2-46a9-48fd-b0e4-ccd4d92de725,3722,2,00:43:42.311,88,42,30,Pass,193,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.974357,,83f908ee-c414-48c9-ac49-4ecc24d2f26b,,26685,Nicolás Ladislao Fedor Flores,23,Center Forward,59.3,37.3,26848.0,Roberto Trashorras Gayoso,10.296116,2.946102,1.0,Ground Pass,49.2,39.3,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83f908ee-c414-48c9-ac49-4ecc24d2f26b,3723,2,00:43:43.285,88,43,42,Ball Receipt*,193,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,32d286d2-46a9-48fd-b0e4-ccd4d92de725,,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,49.2,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584ac458-35df-4423-9a77-d04030df2cfb,3724,2,00:43:43.285,88,43,43,Carry,193,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.145204,,036dd82d-bdb6-4617-ab8f-51d61abe6662,,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,49.2,39.3,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,83f908ee-c414-48c9-ac49-4ecc24d2f26b,89fe97b9-c735-47e3-adf9-e049afaec158,48.2,33.3,,,,,,,,,,,,,
89fe97b9-c735-47e3-adf9-e049afaec158,3725,2,00:43:43.816,88,43,17,Pressure,193,360,Rayo Vallecano,9,From Kick Off,209,Celta Vigo,0.346726,,584ac458-35df-4423-9a77-d04030df2cfb,,6038,John Guidetti,23,Center Forward,70.0,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036dd82d-bdb6-4617-ab8f-51d61abe6662,3726,2,00:43:44.430,88,44,30,Pass,193,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,2.057266,,40352d04-2fe6-41a8-8c5f-b969c59bf4d5,,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,48.2,33.3,11298.0,José Ignacio Martínez García,26.716661,-1.2940391,2.0,Low Pass,55.5,7.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40352d04-2fe6-41a8-8c5f-b969c59bf4d5,3727,2,00:43:46.487,88,46,42,Ball Receipt*,193,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,036dd82d-bdb6-4617-ab8f-51d61abe6662,,11298,José Ignacio Martínez García,6,Left Back,55.5,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d128eef-1b24-4450-bd61-87b12855a7ad,3728,2,00:43:46.487,88,46,43,Carry,193,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.470288,,248d6182-44e6-4341-8087-6fb879251123,,11298,José Ignacio Martínez García,6,Left Back,55.5,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40352d04-2fe6-41a8-8c5f-b969c59bf4d5,,62.6,8.5,,,,,,,,,,,,,
248d6182-44e6-4341-8087-6fb879251123,3729,2,00:43:47.958,88,47,30,Pass,193,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.330722,,f1ef5d9f-19a5-4411-8260-d8d07b1303a0,,11298,José Ignacio Martínez García,6,Left Back,62.6,8.5,26848.0,Roberto Trashorras Gayoso,16.147137,0.95702624,1.0,Ground Pass,71.9,21.7,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
