index,period,minute,second,type_id,team_name,type_name,possession,play_pattern_name,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_name,pass_outcome_name
1858,2,54,16,30,Rayo Vallecano,Pass,105,From Kick Off,26685.0,Nicolás Ladislao Fedor Flores,23.0,Center Forward,61.0,40.1,6743.0,Manuel Rolando Iturra Urrutia,2.720294,1.0,Ground Pass,60.2,37.5,Right Foot,
1860,2,54,16,30,Rayo Vallecano,Pass,105,From Kick Off,6743.0,Manuel Rolando Iturra Urrutia,11.0,Left Defensive Midfield,59.8,38.1,26848.0,Roberto Trashorras Gayoso,4.9010205,1.0,Ground Pass,54.9,38.2,Right Foot,
1863,2,54,19,30,Rayo Vallecano,Pass,105,From Kick Off,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,54.9,38.2,6914.0,Roberto Román Triguero,26.716475,1.0,Ground Pass,50.8,11.8,Right Foot,
1866,2,54,23,30,Rayo Vallecano,Pass,105,From Kick Off,6914.0,Roberto Román Triguero,6.0,Left Back,54.1,18.3,18404.0,José Ángel Crespo Rincón,17.556765,1.0,Ground Pass,42.3,31.3,Right Foot,
1869,2,54,26,30,Rayo Vallecano,Pass,105,From Kick Off,18404.0,José Ángel Crespo Rincón,5.0,Left Center Back,42.3,32.9,26222.0,José Eduardo Rosa Vale de Castro,32.73912,1.0,Ground Pass,47.0,65.3,Right Foot,
1872,2,54,29,30,Rayo Vallecano,Pass,105,From Kick Off,26222.0,José Eduardo Rosa Vale de Castro,3.0,Right Center Back,46.4,63.3,18404.0,José Ángel Crespo Rincón,35.938835,1.0,Ground Pass,40.2,27.9,Right Foot,
1875,2,54,32,30,Rayo Vallecano,Pass,105,From Kick Off,18404.0,José Ángel Crespo Rincón,5.0,Left Center Back,40.5,26.7,26848.0,Roberto Trashorras Gayoso,10.429286,1.0,Ground Pass,46.4,18.1,Right Foot,
1879,2,54,34,30,Rayo Vallecano,Pass,105,From Kick Off,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,45.9,17.7,18404.0,José Ángel Crespo Rincón,11.371895,1.0,Ground Pass,35.5,22.3,Right Foot,
1882,2,54,36,30,Rayo Vallecano,Pass,105,From Kick Off,18404.0,José Ángel Crespo Rincón,5.0,Left Center Back,32.3,19.8,6914.0,Roberto Román Triguero,18.52188,1.0,Ground Pass,41.8,3.9,Left Foot,
1885,2,54,38,30,Rayo Vallecano,Pass,105,From Kick Off,6914.0,Roberto Román Triguero,6.0,Left Back,43.1,3.9,26848.0,Roberto Trashorras Gayoso,9.835141,1.0,Ground Pass,49.8,11.1,Right Foot,Unknown
1891,2,55,7,30,Rayo Vallecano,Pass,106,From Free Kick,6914.0,Roberto Román Triguero,6.0,Left Back,59.6,6.3,26848.0,Roberto Trashorras Gayoso,9.037699,1.0,Ground Pass,55.8,14.5,Right Foot,
1893,2,55,10,30,Rayo Vallecano,Pass,106,From Free Kick,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,62.4,10.5,6914.0,Roberto Román Triguero,10.682696,1.0,Ground Pass,70.8,3.9,Right Foot,
1896,2,55,13,30,Rayo Vallecano,Pass,106,From Free Kick,6914.0,Roberto Román Triguero,6.0,Left Back,70.2,6.0,26848.0,Roberto Trashorras Gayoso,13.075168,1.0,Ground Pass,57.2,7.4,Right Foot,
1899,2,55,17,30,Rayo Vallecano,Pass,106,From Free Kick,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,49.2,11.5,26222.0,José Eduardo Rosa Vale de Castro,49.962486,2.0,Low Pass,37.2,60.0,Right Foot,
