id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry,under_pressure,ball_receipt,out,clearance,counterpress,duel,off_camera,dribble,miscontrol,interception,shot,goalkeeper,block,foul_committed,substitution,foul_won,ball_recovery,pass,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,foul_won_advantage,pass_switch,dribble_outcome_id,dribble_outcome_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events,foul_committed_card_id,foul_committed_card_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,interception_outcome_id,interception_outcome_name,pass_miscommunication,pass_through_ball,pass_technique_id,pass_technique_name
9088f036-80be-4bd9-9ee5-e8e17752d2eb,3456,2,00:38:32.011,83,32,30,Pass,161,217,Barcelona,3,From Free Kick,217,Barcelona,1.939779,,ab1236df-0ad3-4be6-8ed0-384a2c2fcd82,4324,Daniel Alves da Silva,2,Right Back,31.5,75.9,7068.0,Marc Bartra Aregall,19.041271,-1.3105322,1.0,Ground Pass,36.4,57.5,62.0,Free Kick,40.0,Right Foot,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab1236df-0ad3-4be6-8ed0-384a2c2fcd82,3457,2,00:38:33.950,83,33,42,Ball Receipt*,161,217,Barcelona,3,From Free Kick,217,Barcelona,,,9088f036-80be-4bd9-9ee5-e8e17752d2eb,7068,Marc Bartra Aregall,3,Right Center Back,36.4,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e14d53a8-a104-4349-b106-8d5f63285715,3458,2,00:38:34.207,83,34,30,Pass,161,217,Barcelona,3,From Free Kick,217,Barcelona,1.581992,,a50419a0-a6f3-4de9-925b-3089cf4cc8ca,7068,Marc Bartra Aregall,3,Right Center Back,38.9,54.6,10609.0,Jérémy Mathieu,17.492855,-1.673878,1.0,Ground Pass,37.1,37.2,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a50419a0-a6f3-4de9-925b-3089cf4cc8ca,3459,2,00:38:35.789,83,35,42,Ball Receipt*,161,217,Barcelona,3,From Free Kick,217,Barcelona,,,e14d53a8-a104-4349-b106-8d5f63285715,10609,Jérémy Mathieu,5,Left Center Back,37.1,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f42de892-e1a4-4878-a877-a449fd4e0e47,3460,2,00:38:35.789,83,35,43,Carry,161,217,Barcelona,3,From Free Kick,217,Barcelona,1.188628,,4338adee-9050-4a5e-b2c2-c9a99e628408,10609,Jérémy Mathieu,5,Left Center Back,37.1,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a50419a0-a6f3-4de9-925b-3089cf4cc8ca,44.3,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4338adee-9050-4a5e-b2c2-c9a99e628408,3461,2,00:38:36.977,83,36,30,Pass,161,217,Barcelona,3,From Free Kick,217,Barcelona,1.925436,,d2172ef4-a7b5-494d-b5ae-adce0392f72d,10609,Jérémy Mathieu,5,Left Center Back,44.3,34.5,22102.0,Adriano Correia Claro,37.176876,-0.957426,2.0,Low Pass,65.7,4.1,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2172ef4-a7b5-494d-b5ae-adce0392f72d,3462,2,00:38:38.903,83,38,42,Ball Receipt*,161,217,Barcelona,3,From Free Kick,217,Barcelona,,,4338adee-9050-4a5e-b2c2-c9a99e628408,22102,Adriano Correia Claro,6,Left Back,65.7,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997903db-a03d-4549-83fe-39a4a1d51b6a,3463,2,00:38:38.903,83,38,43,Carry,161,217,Barcelona,3,From Free Kick,217,Barcelona,1.234043,,9019bf49-dfb3-4eb9-b435-b4174432c6ba,22102,Adriano Correia Claro,6,Left Back,65.7,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d2172ef4-a7b5-494d-b5ae-adce0392f72d,61.9,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9019bf49-dfb3-4eb9-b435-b4174432c6ba,3464,2,00:38:40.137,83,40,30,Pass,161,217,Barcelona,3,From Free Kick,217,Barcelona,0.797957,,da024d15-8982-450b-9649-e5e78bc8a356,22102,Adriano Correia Claro,6,Left Back,61.9,4.6,10609.0,Jérémy Mathieu,11.272977,2.70175,1.0,Ground Pass,51.7,9.4,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da024d15-8982-450b-9649-e5e78bc8a356,3465,2,00:38:40.935,83,40,42,Ball Receipt*,161,217,Barcelona,3,From Free Kick,217,Barcelona,,,9019bf49-dfb3-4eb9-b435-b4174432c6ba,10609,Jérémy Mathieu,5,Left Center Back,51.7,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
