id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,out,under_pressure,counterpress,shot,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,off_camera,dribble,clearance,duel,50_50,interception,foul_committed,foul_won,block,substitution,ball_recovery,injury_stoppage,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,pass_outcome_id,pass_outcome_name,related_events_1,carry_end_location_0,carry_end_location_1,related_events,interception_outcome_id,interception_outcome_name,related_events_2,player,position,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_deflected,pass_through_ball,pass_technique_id,pass_technique_name,block_deflection,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate
097ff8a0-61c1-42ed-aeb0-a4e8eae89b1f,1927,1,00:41:41.443,41,41,23,Goal Keeper,88,217,Barcelona,1,Regular Play,1042,Elche,0.0,,f0d43c5c-a8ec-4297-80e0-56656daab0a4,9082.0,Przemysław Tytoń,1.0,Goalkeeper,5.4,43.4,,,,,,,,44.0,Set,26.0,Goal Conceded,55.0,No Touch,46.0,Standing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322d621-4454-4e91-95e7-4447951d58b2,1945,1,00:45:13.012,45,13,30,Pass,91,217,Barcelona,7,From Goal Kick,217,Barcelona,1.015762,,6dbbd10d-e806-41d6-8d20-4f9befe1888b,5503.0,Lionel Andrés Messi Cuccittini,23.0,Center Forward,6.0,44.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,5470.0,Ivan Rakitić,59.740273,0.18689036,1.0,Ground Pass,64.7,55.1,40.0,Right Foot,63.0,Goal Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6dbbd10d-e806-41d6-8d20-4f9befe1888b,1946,1,00:45:14.028,45,14,42,Ball Receipt*,91,217,Barcelona,7,From Goal Kick,217,Barcelona,,,1322d621-4454-4e91-95e7-4447951d58b2,5470.0,Ivan Rakitić,13.0,Right Center Midfield,64.7,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964d8fab-2ddc-4690-be3f-a393f7bc849c,1947,1,00:45:14.507,45,14,30,Pass,91,217,Barcelona,7,From Goal Kick,217,Barcelona,4.71773,,2d850502-43f9-40e2-84aa-7f224938f2f6,5470.0,Ivan Rakitić,13.0,Right Center Midfield,65.2,57.4,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,43.558697,0.46159422,3.0,High Pass,104.2,76.8,40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d850502-43f9-40e2-84aa-7f224938f2f6,1948,1,00:45:19.225,45,19,2,Ball Recovery,91,217,Barcelona,7,From Goal Kick,1042,Elche,0.0,,964d8fab-2ddc-4690-be3f-a393f7bc849c,27245.0,José Eduardo Albácar Gallego,6.0,Left Back,16.8,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0641c2ed-9d9c-4d9f-8a1f-85ada086eb91,1949,1,00:45:24.961,45,24,30,Pass,91,217,Barcelona,7,From Goal Kick,1042,Elche,2.6585,,95a326f9-ebfe-4aa5-884e-fa694ae3f470,27245.0,José Eduardo Albácar Gallego,6.0,Left Back,37.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,26102.0,Ferrán Corominas Telechea,59.361435,0.4402909,3.0,High Pass,91.3,29.9,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95a326f9-ebfe-4aa5-884e-fa694ae3f470,1950,1,00:45:27.619,45,27,42,Ball Receipt*,91,217,Barcelona,7,From Goal Kick,1042,Elche,,,0641c2ed-9d9c-4d9f-8a1f-85ada086eb91,26102.0,Ferrán Corominas Telechea,12.0,Right Midfield,91.3,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2f4ccf8-4d6b-49a4-b790-e0e8fa7c0ce6,1951,1,00:45:27.619,45,27,43,Carry,91,217,Barcelona,7,From Goal Kick,1042,Elche,0.4484,,4b9c1472-550f-4c6e-a5dd-2c489c0ac3cd,26102.0,Ferrán Corominas Telechea,12.0,Right Midfield,91.3,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95a326f9-ebfe-4aa5-884e-fa694ae3f470,91.3,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4b9c1472-550f-4c6e-a5dd-2c489c0ac3cd,1952,1,00:45:28.068,45,28,38,Miscontrol,91,217,Barcelona,7,From Goal Kick,1042,Elche,0.0,,,26102.0,Ferrán Corominas Telechea,12.0,Right Midfield,91.3,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d9b5f2c-dca0-4e9e-96ec-addc464bdfc2,1953,1,00:45:28.655,45,28,10,Interception,91,217,Barcelona,7,From Goal Kick,217,Barcelona,0.0,,,5211.0,Jordi Alba Ramos,6.0,Left Back,21.2,51.1,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
