id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,clearance,goalkeeper,counterpress,duel,dribble,shot,interception,out,50_50,ball_recovery,foul_committed,foul_won,block,bad_behaviour,substitution,pass,pass_switch,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,pass_through_ball,pass_technique_id,pass_technique_name,pass_no_touch,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,related_events,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,related_events_3,related_events_4,foul_committed_card_id,foul_committed_card_name,related_events_5,related_events_6,shot_one_on_one,shot_open_goal,goalkeeper_end_location_0,goalkeeper_end_location_1,pass_goal_assist,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate
f7dd5111-cc81-4553-a051-3ea614067e48,2994,2,00:36:42.458,81,42,39,Dribbled Past,184,217,Barcelona,7,From Goal Kick,360,Rayo Vallecano,0.0,,83a631bb-4dd3-432f-a8de-a024b0e9454e,,27153,Javier Ignacio Aquino Carmona,16,Left Midfield,20.9,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d275524d-5f7c-4d6d-8d65-e83a00a70a63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83a631bb-4dd3-432f-a8de-a024b0e9454e,2995,2,00:36:42.458,81,42,14,Dribble,184,217,Barcelona,7,From Goal Kick,217,Barcelona,0.0,,f7dd5111-cc81-4553-a051-3ea614067e48,,5246,Luis Alberto Suárez Díaz,22,Right Center Forward,99.2,69.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d275524d-5f7c-4d6d-8d65-e83a00a70a63,2996,2,00:36:42.458,81,42,43,Carry,184,217,Barcelona,7,From Goal Kick,217,Barcelona,1.7394,,83a631bb-4dd3-432f-a8de-a024b0e9454e,,5246,Luis Alberto Suárez Díaz,22,Right Center Forward,99.2,69.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,84a43bcc-f6c7-47c0-bc00-554c0fb6bdad,f7dd5111-cc81-4553-a051-3ea614067e48,89.2,73.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69c86d5c-efd5-4085-b76d-7234bf252cd8,2997,2,00:36:44.198,81,44,39,Dribbled Past,184,217,Barcelona,7,From Goal Kick,360,Rayo Vallecano,0.0,,84a43bcc-f6c7-47c0-bc00-554c0fb6bdad,,12626,Emiliano Adrián Insúa Zapata,6,Left Back,30.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84a43bcc-f6c7-47c0-bc00-554c0fb6bdad,2998,2,00:36:44.198,81,44,14,Dribble,184,217,Barcelona,7,From Goal Kick,217,Barcelona,0.0,,69c86d5c-efd5-4085-b76d-7234bf252cd8,,5246,Luis Alberto Suárez Díaz,22,Right Center Forward,89.2,73.1,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a07512b5-d324-4233-a8d2-25e0314b7ea5,3030,2,00:37:17.193,82,17,2,Ball Recovery,186,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,cb8e9297-fac3-44cb-857c-2248c32e4ed9,,5470,Ivan Rakitić,10,Center Defensive Midfield,22.5,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d926972a-cb19-45eb-8f38-c61cab5992b1,3031,2,00:37:17.193,82,17,43,Carry,186,217,Barcelona,1,Regular Play,217,Barcelona,2.7541,,751c107d-4ae4-47ec-b434-c197a64024f4,,5470,Ivan Rakitić,10,Center Defensive Midfield,22.5,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a07512b5-d324-4233-a8d2-25e0314b7ea5,,35.3,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751c107d-4ae4-47ec-b434-c197a64024f4,3032,2,00:37:19.947,82,19,30,Pass,186,217,Barcelona,1,Regular Play,217,Barcelona,1.4716,,36fc122c-277e-43de-af62-d47b60343cc6,,5470,Ivan Rakitić,10,Center Defensive Midfield,35.3,30.0,20131.0,Xavier Hernández Creus,12.677934,1.004672,1.0,Ground Pass,42.1,40.7,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36fc122c-277e-43de-af62-d47b60343cc6,3033,2,00:37:21.419,82,21,42,Ball Receipt*,186,217,Barcelona,1,Regular Play,217,Barcelona,,,751c107d-4ae4-47ec-b434-c197a64024f4,,20131,Xavier Hernández Creus,7,Right Wing Back,42.1,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
db296d95-0a63-402f-b455-29f28664fc04,3034,2,00:37:21.419,82,21,43,Carry,186,217,Barcelona,1,Regular Play,217,Barcelona,0.52526,,36fc122c-277e-43de-af62-d47b60343cc6,,20131,Xavier Hernández Creus,7,Right Wing Back,42.1,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c036086b-c554-4228-86f2-9b1e926eab08,,43.5,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c036086b-c554-4228-86f2-9b1e926eab08,3035,2,00:37:21.944,82,21,30,Pass,186,217,Barcelona,1,Regular Play,217,Barcelona,1.28994,,10367dec-49ef-4782-ab86-47588484d977,,20131,Xavier Hernández Creus,7,Right Wing Back,43.5,42.7,5503.0,Lionel Andrés Messi Cuccittini,14.583552,0.7368925,1.0,Ground Pass,54.3,52.5,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10367dec-49ef-4782-ab86-47588484d977,3036,2,00:37:23.234,82,23,42,Ball Receipt*,186,217,Barcelona,1,Regular Play,217,Barcelona,,,c036086b-c554-4228-86f2-9b1e926eab08,,5503,Lionel Andrés Messi Cuccittini,24,Left Center Forward,54.3,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55f18679-34c7-45a8-8d21-5341549b848b,3037,2,00:37:23.234,82,23,43,Carry,186,217,Barcelona,1,Regular Play,217,Barcelona,2.4681,,10367dec-49ef-4782-ab86-47588484d977,,5503,Lionel Andrés Messi Cuccittini,24,Left Center Forward,54.3,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459b2168-36ba-4879-b345-c8874cf92db5,,68.6,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459b2168-36ba-4879-b345-c8874cf92db5,3038,2,00:37:25.702,82,25,30,Pass,186,217,Barcelona,1,Regular Play,217,Barcelona,0.9043,,000e072a-e39a-4ddc-b095-e56e52c5f3a6,,5503,Lionel Andrés Messi Cuccittini,24,Left Center Forward,68.6,54.1,5246.0,Luis Alberto Suárez Díaz,22.173182,-0.7247697,1.0,Ground Pass,85.2,39.4,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000e072a-e39a-4ddc-b095-e56e52c5f3a6,3039,2,00:37:26.607,82,26,42,Ball Receipt*,186,217,Barcelona,1,Regular Play,217,Barcelona,,,459b2168-36ba-4879-b345-c8874cf92db5,,5246,Luis Alberto Suárez Díaz,22,Right Center Forward,85.2,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
