id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,out,under_pressure,clearance,duel,counterpress,shot,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,dribble,foul_committed,foul_won,off_camera,interception,block,ball_recovery,substitution,50_50,miscontrol,goalkeeper,related_events_1,foul_committed_advantage,foul_won_advantage,related_events_2,carry_end_location_0,carry_end_location_1,dribble_outcome_id,dribble_outcome_name,related_events_3,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,player,position,location,pass_type_id,pass_type_name,related_events,foul_won_defensive,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,related_events_4,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,pass_assisted_shot_id,pass_goal_assist,dribble_nutmeg,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate
828e7670-2b99-4b4f-aace-f30b376bcd04,2251,2,00:02:58.449,47,58,17,Pressure,92,217,Barcelona,1,Regular Play,214,Espanyol,1.5248,,1ab9cfbe-31f6-45e5-9210-7176a9b11854,18407.0,José Alberto Cañas Ruiz Herrera,13.0,Right Center Midfield,60.6,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5384cd54-a311-44c6-9b49-d493e4f0f759,,,8acff606-b63c-4578-989e-aaa7edbc4d98,,,,,bcf10a54-9958-4f5e-a820-bac87f05f14b,,,,,,,,,,,,,,,,,,,,,,,,,,cc20306e-b540-4a63-bf31-15de836a9118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ab9cfbe-31f6-45e5-9210-7176a9b11854,2252,2,00:02:58.627,47,58,30,Pass,92,217,Barcelona,1,Regular Play,217,Barcelona,0.5679,,828e7670-2b99-4b4f-aace-f30b376bcd04,5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,62.1,32.3,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,8acff606-b63c-4578-989e-aaa7edbc4d98,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,3.9824615,0.6786625,1.0,Ground Pass,65.2,34.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8acff606-b63c-4578-989e-aaa7edbc4d98,2253,2,00:02:59.195,47,59,42,Ball Receipt*,92,217,Barcelona,1,Regular Play,217,Barcelona,,,1ab9cfbe-31f6-45e5-9210-7176a9b11854,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,65.2,34.8,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,828e7670-2b99-4b4f-aace-f30b376bcd04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcf10a54-9958-4f5e-a820-bac87f05f14b,2254,2,00:02:59.195,47,59,43,Carry,92,217,Barcelona,1,Regular Play,217,Barcelona,0.7727,,828e7670-2b99-4b4f-aace-f30b376bcd04,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,65.2,34.8,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,8acff606-b63c-4578-989e-aaa7edbc4d98,,,cc20306e-b540-4a63-bf31-15de836a9118,71.9,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cc20306e-b540-4a63-bf31-15de836a9118,2255,2,00:02:59.968,47,59,30,Pass,92,217,Barcelona,1,Regular Play,217,Barcelona,1.3097,,828e7670-2b99-4b4f-aace-f30b376bcd04,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,71.9,33.2,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,c8b62b53-769b-4048-b441-cdf4e2d1b03c,,,,,,,,,4320.0,Neymar da Silva Santos Junior,20.07212,-0.084796175,1.0,Ground Pass,91.9,31.5,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c8b62b53-769b-4048-b441-cdf4e2d1b03c,2256,2,00:03:01.277,48,1,42,Ball Receipt*,92,217,Barcelona,1,Regular Play,217,Barcelona,,,cc20306e-b540-4a63-bf31-15de836a9118,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,91.9,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8009f099-986d-4010-9947-e9329141801f,2257,2,00:03:01.277,48,1,43,Carry,92,217,Barcelona,1,Regular Play,217,Barcelona,1.5704,,4f90faa0-bb3d-4e27-9d1a-10d0ebe5b10e,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,91.9,31.5,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,c8b62b53-769b-4048-b441-cdf4e2d1b03c,,,f50b0b9a-1932-4668-8680-6e6fc5fe6763,105.3,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f90faa0-bb3d-4e27-9d1a-10d0ebe5b10e,2258,2,00:03:01.668,48,1,17,Pressure,92,217,Barcelona,1,Regular Play,214,Espanyol,0.794827,,8009f099-986d-4010-9947-e9329141801f,3324.0,Eric Bertrand Bailly,5.0,Left Center Back,30.2,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f50b0b9a-1932-4668-8680-6e6fc5fe6763,2259,2,00:03:02.848,48,2,3,Dispossessed,92,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,182d05f1-d315-4498-8b1e-34320edeb06a,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,105.3,33.2,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182d05f1-d315-4498-8b1e-34320edeb06a,2260,2,00:03:02.848,48,2,4,Duel,92,217,Barcelona,1,Regular Play,214,Espanyol,0.0,,f50b0b9a-1932-4668-8680-6e6fc5fe6763,3324.0,Eric Bertrand Bailly,5.0,Left Center Back,15.7,47.8,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,Tackle,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
