id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,duel,miscontrol,ball_receipt,out,dribble,clearance,counterpress,interception,shot,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,off_camera,foul_won,foul_committed,injury_stoppage,ball_recovery,block,bad_behaviour,substitution,50_50,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,pass_through_ball,pass_technique_id,pass_technique_name,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events_2,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,foul_committed_penalty,foul_won_penalty,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name
eb91b506-2c2f-4ad2-9a35-8447d58e810e,3378,2,00:34:14.465,79,14,23,Goal Keeper,141,217,Barcelona,1,Regular Play,373,Córdoba CF,0.0,,7f350464-2feb-4ecd-a3ae-5da21cb17cbb,24255,Juan Carlos Martín Corral,1,Goalkeeper,2.7,40.1,,,,,,,,,,,,,43.0,Prone,45.0,Diving,26.0,Goal Conceded,55.0,No Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d9f7640-fdb3-4545-8356-60dd125e8281,3416,2,00:36:08.078,81,8,30,Pass,143,217,Barcelona,7,From Goal Kick,217,Barcelona,1.635117,,97f6c140-99d1-480a-beb5-16cb0f5d2340,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,7.0,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3958.0,Pedro Eliezer Rodríguez Ledesma,47.46588,0.43726355,1.0,Ground Pass,50.0,64.2,63.0,Goal Kick,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97f6c140-99d1-480a-beb5-16cb0f5d2340,3417,2,00:36:09.714,81,9,42,Ball Receipt*,143,217,Barcelona,7,From Goal Kick,217,Barcelona,,,1d9f7640-fdb3-4545-8356-60dd125e8281,3958,Pedro Eliezer Rodríguez Ledesma,13,Right Center Midfield,50.0,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957a9c48-e273-4759-b2ec-08b181b8b8c3,3418,2,00:36:09.714,81,9,43,Carry,143,217,Barcelona,7,From Goal Kick,217,Barcelona,6.144014,,6b3b05f7-a49b-469f-8e27-beef761be308,3958,Pedro Eliezer Rodríguez Ledesma,13,Right Center Midfield,50.0,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97f6c140-99d1-480a-beb5-16cb0f5d2340,49.1,61.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6b3b05f7-a49b-469f-8e27-beef761be308,3419,2,00:36:15.858,81,15,30,Pass,143,217,Barcelona,7,From Goal Kick,217,Barcelona,1.39944,,c3cb35ec-c5b8-4f57-83d8-409282c08ae4,3958,Pedro Eliezer Rodríguez Ledesma,13,Right Center Midfield,49.1,61.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,15.231874,-1.4391124,1.0,Ground Pass,51.1,46.3,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3cb35ec-c5b8-4f57-83d8-409282c08ae4,3420,2,00:36:17.257,81,17,42,Ball Receipt*,143,217,Barcelona,7,From Goal Kick,217,Barcelona,,,6b3b05f7-a49b-469f-8e27-beef761be308,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,51.1,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876b21ee-43dc-4b13-b5ca-a83f757028c4,3421,2,00:36:17.257,81,17,43,Carry,143,217,Barcelona,7,From Goal Kick,217,Barcelona,1.458417,,70257f75-3a7b-41d6-8a84-4e86e48d8470,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,51.1,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c3cb35ec-c5b8-4f57-83d8-409282c08ae4,56.3,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70257f75-3a7b-41d6-8a84-4e86e48d8470,3422,2,00:36:18.715,81,18,30,Pass,143,217,Barcelona,7,From Goal Kick,217,Barcelona,4.005262,,0456880b-fd9d-4e94-9e02-911cf4939206,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,56.3,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,54.016663,-0.21264492,3.0,High Pass,109.1,26.6,,,38.0,Left Foot,,,,,True,108.0,Through Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
0456880b-fd9d-4e94-9e02-911cf4939206,3423,2,00:36:22.721,81,22,42,Ball Receipt*,143,217,Barcelona,7,From Goal Kick,217,Barcelona,,,70257f75-3a7b-41d6-8a84-4e86e48d8470,4320,Neymar da Silva Santos Junior,21,Left Wing,109.1,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25b4b1bb-3b61-4b8e-a955-9285aa168ae7,3424,2,00:36:22.721,81,22,43,Carry,143,217,Barcelona,7,From Goal Kick,217,Barcelona,0.70475,,0456880b-fd9d-4e94-9e02-911cf4939206,4320,Neymar da Silva Santos Junior,21,Left Wing,109.1,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6b681275-4d18-45f1-aa6c-ccef8dab224d,114.3,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
