id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,carry,ball_receipt,under_pressure,goalkeeper,counterpress,interception,duel,clearance,dribble,out,off_camera,foul_won,shot,miscontrol,foul_committed,ball_recovery,substitution,pass,related_events_1,carry_end_location_0,carry_end_location_1,pass_body_part_id,pass_body_part_name,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,pass_cross,interception_outcome_id,interception_outcome_name,duel_type_id,duel_type_name,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,related_events,dribble_overrun,dribble_outcome_id,dribble_outcome_name,pass_through_ball,pass_technique_id,pass_technique_name,dribble_nutmeg,related_events_3,foul_won_defensive,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_first_time,shot_technique_id,shot_technique_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,pass_outswinging,duel_outcome_id,duel_outcome_name,pass_goal_assist,shot_one_on_one
3294171c-ceae-4f5e-baf5-06e3ec9592f2,143,1,00:02:26.279,2,26,30,Pass,5,217,Barcelona,1,Regular Play,217,Barcelona,1.7468,,81f5c68b-1703-4d57-9eaa-f6e8340a4f97,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,69.1,21.7,5211.0,Jordi Alba Ramos,8.612201,-1.3483491,1.0,Ground Pass,71.0,13.3,,,,,,,,,,,,,,,,,,,,,b9c92352-0194-4504-8f17-d3b0b3f375d9,,,40.0,Right Foot,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9c92352-0194-4504-8f17-d3b0b3f375d9,144,1,00:02:28.026,2,28,42,Ball Receipt*,5,217,Barcelona,1,Regular Play,217,Barcelona,,,3294171c-ceae-4f5e-baf5-06e3ec9592f2,5211,Jordi Alba Ramos,6,Left Back,69.7,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81f5c68b-1703-4d57-9eaa-f6e8340a4f97,145,1,00:02:28.026,2,28,10,Interception,5,217,Barcelona,1,Regular Play,219,RC Deportivo La Coruña,0.0,,3294171c-ceae-4f5e-baf5-06e3ec9592f2,26776,Juan Isaac Cuenca López,17,Right Wing,49.1,66.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9ec18db4-ac76-400b-9786-24ce6b71efe8,146,1,00:02:28.026,2,28,43,Carry,5,217,Barcelona,1,Regular Play,219,RC Deportivo La Coruña,1.4005,,81f5c68b-1703-4d57-9eaa-f6e8340a4f97,26776,Juan Isaac Cuenca López,17,Right Wing,49.1,66.8,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,bb0e1f53-85b5-410f-a612-f4710fe8d864,55.3,64.9,,,ed6b5925-21c5-4344-8608-55022e5ff80f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb0e1f53-85b5-410f-a612-f4710fe8d864,147,1,00:02:28.694,2,28,17,Pressure,5,217,Barcelona,1,Regular Play,217,Barcelona,0.72957,,9ec18db4-ac76-400b-9786-24ce6b71efe8,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,66.9,15.6,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed6b5925-21c5-4344-8608-55022e5ff80f,148,1,00:02:29.426,2,29,30,Pass,5,217,Barcelona,1,Regular Play,219,RC Deportivo La Coruña,1.4147,,226523b6-3936-48a1-82bc-548717b21535,26776,Juan Isaac Cuenca López,17,Right Wing,55.3,64.9,12358.0,Haris Medunjanin,10.6775465,-0.79202056,1.0,Ground Pass,62.8,57.3,,,,,,,,,,,,,,,,,,,,,3677f9a6-2c61-4439-9f69-c667092f174a,,,40.0,Right Foot,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3677f9a6-2c61-4439-9f69-c667092f174a,149,1,00:02:30.841,2,30,42,Ball Receipt*,5,217,Barcelona,1,Regular Play,219,RC Deportivo La Coruña,,,ed6b5925-21c5-4344-8608-55022e5ff80f,12358,Haris Medunjanin,11,Left Defensive Midfield,62.8,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226523b6-3936-48a1-82bc-548717b21535,150,1,00:02:30.841,2,30,30,Pass,5,217,Barcelona,1,Regular Play,217,Barcelona,1.0298,,654db93a-76d5-46d9-99ae-31e686621195,4320,Neymar da Silva Santos Junior,21,Left Wing,57.3,22.8,5506.0,Javier Alejandro Mascherano,11.557249,2.976444,1.0,Ground Pass,45.9,24.7,64.0,Interception,,,,,True,,,,,,,,,,,,,,ed6b5925-21c5-4344-8608-55022e5ff80f,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654db93a-76d5-46d9-99ae-31e686621195,151,1,00:02:31.871,2,31,42,Ball Receipt*,5,217,Barcelona,1,Regular Play,217,Barcelona,,,226523b6-3936-48a1-82bc-548717b21535,5506,Javier Alejandro Mascherano,5,Left Center Back,45.9,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2db5110-d440-4efa-91a7-7d4d30127c8f,152,1,00:02:31.871,2,31,43,Carry,5,217,Barcelona,1,Regular Play,217,Barcelona,1.28,,05f447dd-b3c1-4db5-8265-6e73c637ed08,5506,Javier Alejandro Mascherano,5,Left Center Back,45.9,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654db93a-76d5-46d9-99ae-31e686621195,41.7,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05f447dd-b3c1-4db5-8265-6e73c637ed08,153,1,00:02:33.151,2,33,30,Pass,5,217,Barcelona,1,Regular Play,217,Barcelona,2.0561,,ed3b5bf5-ad8c-4f5f-8a92-9112109753da,5506,Javier Alejandro Mascherano,5,Left Center Back,41.7,26.1,4324.0,Daniel Alves da Silva,37.436344,1.4583693,1.0,Ground Pass,45.9,63.3,,,,,,,,,,,,,,,,,,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed3b5bf5-ad8c-4f5f-8a92-9112109753da,154,1,00:02:35.207,2,35,42,Ball Receipt*,5,217,Barcelona,1,Regular Play,217,Barcelona,,,05f447dd-b3c1-4db5-8265-6e73c637ed08,4324,Daniel Alves da Silva,2,Right Back,45.9,63.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
