id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,out,under_pressure,counterpress,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,off_camera,dribble,clearance,duel,50_50,interception,foul_committed,foul_won,block,substitution,ball_recovery,injury_stoppage,related_events,player,position,goalkeeper,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,related_events_2,carry_end_location_0,carry_end_location_1,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_outcome_id,pass_outcome_name,pass_through_ball,pass_technique_id,pass_technique_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,interception_outcome_id,interception_outcome_name,related_events_3,pass_cross,foul_committed_advantage,foul_won_advantage,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,goalkeeper_body_part_id,goalkeeper_body_part_name,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_head,clearance_body_part_id,clearance_body_part_name,related_events_4,dribble_nutmeg,pass_cut_back,pass_aerial_won,clearance_right_foot,pass_no_touch,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_first_time
1b333c35-e254-4cde-8da6-eb0a0cf53065,2909,2,00:22:18.885,67,18,3,Dispossessed,127,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,71daa352-5891-4287-97df-187aaaa12213,5503.0,Lionel Andrés Messi Cuccittini,22.0,Right Center Forward,60.2,57.1,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71daa352-5891-4287-97df-187aaaa12213,2910,2,00:22:18.885,67,18,4,Duel,127,217,Barcelona,1,Regular Play,1042,Elche,0.0,,1b333c35-e254-4cde-8da6-eb0a0cf53065,27206.0,Sergio Pelegrín López,5.0,Left Center Back,60.8,23.9,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,Tackle,13.0,Lost In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de649829-7842-4d10-8847-2c6d5b32013c,2911,2,00:22:19.652,67,19,2,Ball Recovery,127,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,,4324.0,Daniel Alves da Silva,2.0,Right Back,61.4,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84d09102-3d01-4777-b48d-39f4c30c9428,2912,2,00:22:19.652,67,19,43,Carry,127,217,Barcelona,1,Regular Play,217,Barcelona,2.8674,,2a978430-7142-441d-8123-db9512dbfc35,4324.0,Daniel Alves da Silva,2.0,Right Back,61.4,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,de649829-7842-4d10-8847-2c6d5b32013c,,,,,,,,,,,,,,71.3,65.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a978430-7142-441d-8123-db9512dbfc35,2913,2,00:22:22.520,67,22,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,0.826056,,e04bc1bc-5c80-4f3e-a15f-112b5e6d72d9,4324.0,Daniel Alves da Silva,2.0,Right Back,71.3,65.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,10.060318,0.65145326,1.0,Ground Pass,79.3,72.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e04bc1bc-5c80-4f3e-a15f-112b5e6d72d9,2914,2,00:22:23.346,67,23,42,Ball Receipt*,127,217,Barcelona,1,Regular Play,217,Barcelona,,,2a978430-7142-441d-8123-db9512dbfc35,5503.0,Lionel Andrés Messi Cuccittini,22.0,Right Center Forward,79.3,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3ceb178-c003-4a5a-98e2-4bc369469d8f,2915,2,00:22:23.346,67,23,43,Carry,127,217,Barcelona,1,Regular Play,217,Barcelona,1.073444,,608a8658-5477-4adb-85f4-61c0792e3327,5503.0,Lionel Andrés Messi Cuccittini,22.0,Right Center Forward,79.3,72.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,85d4ef4f-794f-4d65-9ead-f34c3a7439c1,,,,,,,,,,,,,e04bc1bc-5c80-4f3e-a15f-112b5e6d72d9,72.1,68.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85d4ef4f-794f-4d65-9ead-f34c3a7439c1,2916,2,00:22:23.598,67,23,17,Pressure,127,217,Barcelona,1,Regular Play,1042,Elche,1.068545,,608a8658-5477-4adb-85f4-61c0792e3327,27245.0,José Eduardo Albácar Gallego,6.0,Left Back,43.0,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d3ceb178-c003-4a5a-98e2-4bc369469d8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608a8658-5477-4adb-85f4-61c0792e3327,2917,2,00:22:24.419,67,24,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,0.606192,,515b6b91-2819-4dcf-b80b-211931f408d1,5503.0,Lionel Andrés Messi Cuccittini,22.0,Right Center Forward,72.1,68.9,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,85d4ef4f-794f-4d65-9ead-f34c3a7439c1,4324.0,Daniel Alves da Silva,8.612201,-1.3483491,1.0,Ground Pass,74.0,60.5,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515b6b91-2819-4dcf-b80b-211931f408d1,2918,2,00:22:25.025,67,25,42,Ball Receipt*,127,217,Barcelona,1,Regular Play,217,Barcelona,,,608a8658-5477-4adb-85f4-61c0792e3327,4324.0,Daniel Alves da Silva,2.0,Right Back,74.0,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
