id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,interception,counterpress,duel,off_camera,out,clearance,dribble,ball_recovery,shot,goalkeeper,foul_won,foul_committed,block,50_50,bad_behaviour,substitution,pass,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,related_events,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,50_50_outcome_id,50_50_outcome_name,pass_outcome_id,pass_outcome_name,foul_won_defensive,pass_switch,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,related_events_3,related_events_4,pass_cross,clearance_head,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_first_time,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,foul_committed_card_id,foul_committed_card_name,player,position,location,pass_through_ball,pass_technique_id,pass_technique_name,pass_inswinging,clearance_aerial_won,pass_outswinging,clearance_left_foot,ball_recovery_recovery_failure,pass_goal_assist
551b3142-baaa-42bb-99be-e600a0e90122,1331,1,00:32:00.736,32,0,43,Carry,64,217,Barcelona,9,From Kick Off,217,Barcelona,7.0135,,c601d45b-2b5b-4934-a4f6-9f574133fff0,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,37.2,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e8be99fd-1ee1-4122-adb8-a3b465b16818,49.7,58.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8be99fd-1ee1-4122-adb8-a3b465b16818,1332,1,00:32:07.750,32,7,30,Pass,64,217,Barcelona,9,From Kick Off,217,Barcelona,1.421864,,2fd52ec1-6243-4dab-97f7-b3b191841ba2,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,49.7,58.1,5506.0,Javier Alejandro Mascherano,24.880917,-0.9972855,1.0,Ground Pass,63.2,37.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd62edff-3b6b-4024-8e2f-30eb591d89a1,1333,1,00:32:08.967,32,8,17,Pressure,64,217,Barcelona,9,From Kick Off,220,Real Madrid,0.977281,,2fd52ec1-6243-4dab-97f7-b3b191841ba2,5574.0,Toni Kroos,10.0,Center Defensive Midfield,53.2,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c4577db4-8c05-4b44-9509-a2008e8253ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fd52ec1-6243-4dab-97f7-b3b191841ba2,1334,1,00:32:09.171,32,9,42,Ball Receipt*,64,217,Barcelona,9,From Kick Off,217,Barcelona,,,cd62edff-3b6b-4024-8e2f-30eb591d89a1,5506.0,Javier Alejandro Mascherano,10.0,Center Defensive Midfield,63.2,37.2,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,e8be99fd-1ee1-4122-adb8-a3b465b16818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4577db4-8c05-4b44-9509-a2008e8253ee,1335,1,00:32:09.171,32,9,43,Carry,64,217,Barcelona,9,From Kick Off,217,Barcelona,0.924436,,2fd52ec1-6243-4dab-97f7-b3b191841ba2,5506.0,Javier Alejandro Mascherano,10.0,Center Defensive Midfield,63.2,37.2,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,cd62edff-3b6b-4024-8e2f-30eb591d89a1,63.7,35.9,e417fcf8-d949-42a3-8375-71d652ec905a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e417fcf8-d949-42a3-8375-71d652ec905a,1336,1,00:32:10.096,32,10,30,Pass,64,217,Barcelona,9,From Kick Off,217,Barcelona,1.111942,,a2d596fd-d5d8-4402-9633-e281aca12883,5506.0,Javier Alejandro Mascherano,10.0,Center Defensive Midfield,63.7,35.9,5216.0,Andrés Iniesta Luján,13.228001,-1.2873046,1.0,Ground Pass,67.4,23.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2d596fd-d5d8-4402-9633-e281aca12883,1337,1,00:32:11.208,32,11,42,Ball Receipt*,64,217,Barcelona,9,From Kick Off,217,Barcelona,,,e417fcf8-d949-42a3-8375-71d652ec905a,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,67.4,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f10f3aa8-3dda-4323-8c23-8695c6be1eb9,1338,1,00:32:11.208,32,11,43,Carry,64,217,Barcelona,9,From Kick Off,217,Barcelona,3.668258,,a2d596fd-d5d8-4402-9633-e281aca12883,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,67.4,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a5bf5c58-5882-4b4f-8c75-b3a2de0f8306,65.6,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5bf5c58-5882-4b4f-8c75-b3a2de0f8306,1339,1,00:32:14.876,32,14,30,Pass,64,217,Barcelona,9,From Kick Off,217,Barcelona,0.736423,,fdde2820-d6d2-4cb7-9d2a-fb731df72c5d,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,65.6,36.7,5506.0,Javier Alejandro Mascherano,13.038404,-1.2102304,1.0,Ground Pass,70.2,24.5,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdde2820-d6d2-4cb7-9d2a-fb731df72c5d,1340,1,00:32:15.613,32,15,42,Ball Receipt*,64,217,Barcelona,9,From Kick Off,217,Barcelona,,,a5bf5c58-5882-4b4f-8c75-b3a2de0f8306,5506.0,Javier Alejandro Mascherano,10.0,Center Defensive Midfield,70.2,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
