id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,ball_recovery,under_pressure,counterpress,clearance,interception,dribble,duel,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,shot,off_camera,out,foul_committed,foul_won,injury_stoppage,substitution,miscontrol,block,bad_behaviour,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,pass_body_part_id,pass_body_part_name,related_events_2,pass_technique_id,pass_technique_name,pass_through_ball,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events_3,dribble_outcome_id,dribble_outcome_name,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,foul_won_defensive,related_events,location
be8fd094-564a-4a0b-ace1-2dca11337bad,2931,2,00:13:50.384,58,50,23,Goal Keeper,98,217,Barcelona,1,Regular Play,219,RC Deportivo La Coruña,0.0,,47017600-428b-4c6c-9926-d2a8f5afc1ce,10277,Fabricio Martín Agosto Ramírez,1,Goalkeeper,7.2,38.8,,,,,,,,,,,42.0,Moving,26.0,Goal Conceded,55.0,No Touch,45.0,Diving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e84d9c5b-e823-4696-afe2-713a5282debc,2940,2,00:15:19.213,60,19,30,Pass,100,217,Barcelona,4,From Throw In,217,Barcelona,1.079378,,9e3267fd-967d-4d6a-a6ff-a8eedd5914c1,22102,Adriano Correia Claro,2,Right Back,28.2,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6998.0,Rafael Alcântara do Nascimento,11.162885,-1.741836,2.0,Low Pass,26.3,69.0,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,
9e3267fd-967d-4d6a-a6ff-a8eedd5914c1,2941,2,00:15:20.292,60,20,42,Ball Receipt*,100,217,Barcelona,4,From Throw In,217,Barcelona,,,e84d9c5b-e823-4696-afe2-713a5282debc,6998,Rafael Alcântara do Nascimento,13,Right Center Midfield,26.3,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188274d6-80e0-4c77-9933-5dea33108ee7,2942,2,00:15:20.292,60,20,43,Carry,100,217,Barcelona,4,From Throw In,217,Barcelona,2.118349,,65c673a9-6e56-4bbf-b1e3-06bc493cd0d5,6998,Rafael Alcântara do Nascimento,13,Right Center Midfield,26.3,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9e3267fd-967d-4d6a-a6ff-a8eedd5914c1,26.7,57.5,,,,,,,,,,,,,,,,,,,,
65c673a9-6e56-4bbf-b1e3-06bc493cd0d5,2943,2,00:15:22.411,60,22,30,Pass,100,217,Barcelona,4,From Throw In,217,Barcelona,1.765879,,0b4e7133-1615-4fc3-bb19-24a5df3d1cd9,6998,Rafael Alcântara do Nascimento,13,Right Center Midfield,26.7,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6332.0,Thomas Vermaelen,22.027256,-1.9327551,2.0,Low Pass,18.9,36.9,,,,,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,
0b4e7133-1615-4fc3-bb19-24a5df3d1cd9,2944,2,00:15:24.177,60,24,42,Ball Receipt*,100,217,Barcelona,4,From Throw In,217,Barcelona,,,65c673a9-6e56-4bbf-b1e3-06bc493cd0d5,6332,Thomas Vermaelen,5,Left Center Back,18.9,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997433c8-76d5-4ec3-b0e3-431e70774034,2945,2,00:15:24.177,60,24,43,Carry,100,217,Barcelona,4,From Throw In,217,Barcelona,1.344694,,0b4e7133-1615-4fc3-bb19-24a5df3d1cd9,6332,Thomas Vermaelen,5,Left Center Back,18.9,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108939ab-6596-4c2c-9cf0-61b9fbf49981,20.8,29.3,,,,,,,,,,,,,,,,,,,,
108939ab-6596-4c2c-9cf0-61b9fbf49981,2946,2,00:15:25.521,60,25,30,Pass,100,217,Barcelona,4,From Throw In,217,Barcelona,2.648846,,def591cc-1a04-43e8-bfe6-aaeefa39fa45,6332,Thomas Vermaelen,5,Left Center Back,20.8,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,43.209373,-0.62267077,1.0,Ground Pass,55.9,4.1,,,,,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,
def591cc-1a04-43e8-bfe6-aaeefa39fa45,2947,2,00:15:28.170,60,28,42,Ball Receipt*,100,217,Barcelona,4,From Throw In,217,Barcelona,,,108939ab-6596-4c2c-9cf0-61b9fbf49981,4320,Neymar da Silva Santos Junior,21,Left Wing,55.9,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb2d6638-214d-405a-b8da-57d3ff85a9ae,2948,2,00:15:28.170,60,28,43,Carry,100,217,Barcelona,4,From Throw In,217,Barcelona,5.516854,,9116a047-4b69-4488-88a7-1fff2008fcde,4320,Neymar da Silva Santos Junior,21,Left Wing,55.9,4.1,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deae4ab7-95e3-4e31-8636-0a82367516f1,90.8,15.6,,,def591cc-1a04-43e8-bfe6-aaeefa39fa45,,,,,,,,,,,,,,,,,
