id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,counterpress,duel,interception,dribble,foul_committed,foul_won,off_camera,clearance,ball_recovery,out,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,block,miscontrol,50_50,substitution,bad_behaviour,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events,ball_recovery_recovery_failure,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name
8280bc32-a2d6-4d05-a68c-ee2aecf77b43,1693,2,00:02:59.596,47,59,23,Goal Keeper,92,217,Barcelona,4,From Throw In,1049,Granada,0.0,,1b2cb42b-8a8d-44f9-8b06-b7da4a184763,6692,Oier Olazábal Paredes,1,Goalkeeper,11.2,31.9,,,,,,,,,,,,,,,,46.0,Standing,44.0,Set,26.0,Goal Conceded,55.0,No Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048d35e5-6724-46a5-a6a8-49c20f16f181,1717,2,00:04:23.137,49,23,30,Pass,94,217,Barcelona,1,Regular Play,217,Barcelona,1.4253,,06fe016b-8c9d-4ba9-ade6-ff12207fdfa9,5211,Jordi Alba Ramos,6,Left Back,64.5,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763f0e1-432d-49f8-9df3-3230ba2f50b7,4320.0,Neymar da Silva Santos Junior,13.146102,0.08377294,1.0,Ground Pass,77.6,30.3,40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,
06fe016b-8c9d-4ba9-ade6-ff12207fdfa9,1718,2,00:04:24.562,49,24,42,Ball Receipt*,94,217,Barcelona,1,Regular Play,217,Barcelona,,,048d35e5-6724-46a5-a6a8-49c20f16f181,4320,Neymar da Silva Santos Junior,21,Left Wing,77.6,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38b25dd8-dd63-449a-9754-61e474dc86af,1719,2,00:04:24.562,49,24,43,Carry,94,217,Barcelona,1,Regular Play,217,Barcelona,0.3328,,06fe016b-8c9d-4ba9-ade6-ff12207fdfa9,4320,Neymar da Silva Santos Junior,21,Left Wing,77.6,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c2977735-fb25-4200-bf1a-699c0cabb4fc,,,,,,,,,,,,,,77.6,30.3,,,,,,,,,,
c2977735-fb25-4200-bf1a-699c0cabb4fc,1720,2,00:04:24.895,49,24,30,Pass,94,217,Barcelona,1,Regular Play,217,Barcelona,0.923028,,1e2f9cab-349b-4fd3-b994-e417aa8e1a66,4320,Neymar da Silva Santos Junior,21,Left Wing,77.6,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20131.0,Xavier Hernández Creus,10.733592,1.9426523,1.0,Ground Pass,73.7,40.3,40.0,Right Foot,,,,,,,,,,,,,,,
1e2f9cab-349b-4fd3-b994-e417aa8e1a66,1721,2,00:04:25.818,49,25,42,Ball Receipt*,94,217,Barcelona,1,Regular Play,217,Barcelona,,,c2977735-fb25-4200-bf1a-699c0cabb4fc,20131,Xavier Hernández Creus,15,Left Center Midfield,73.7,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7f309ed-b4f2-4dd5-ad85-b58ff74d7511,1722,2,00:04:25.818,49,25,43,Carry,94,217,Barcelona,1,Regular Play,217,Barcelona,0.568272,,1e2f9cab-349b-4fd3-b994-e417aa8e1a66,20131,Xavier Hernández Creus,15,Left Center Midfield,73.7,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2145bce3-1cb7-44d1-a244-908c93699084,,,,,,,,,,,,,,73.7,40.3,,,,,,,,,,
2145bce3-1cb7-44d1-a244-908c93699084,1723,2,00:04:26.386,49,26,30,Pass,94,217,Barcelona,1,Regular Play,217,Barcelona,0.837646,,04c3565d-8cf2-4b59-9cb4-d7063311374a,20131,Xavier Hernández Creus,15,Left Center Midfield,73.7,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,10.264989,0.61232215,1.0,Ground Pass,82.1,46.2,40.0,Right Foot,,,,,,,,,,,,,,,
04c3565d-8cf2-4b59-9cb4-d7063311374a,1724,2,00:04:27.224,49,27,42,Ball Receipt*,94,217,Barcelona,1,Regular Play,217,Barcelona,,,2145bce3-1cb7-44d1-a244-908c93699084,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,82.1,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a304433-a03a-4ea6-85fc-5ebb98c6552a,1725,2,00:04:27.224,49,27,43,Carry,94,217,Barcelona,1,Regular Play,217,Barcelona,0.039954,,04c3565d-8cf2-4b59-9cb4-d7063311374a,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,82.1,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2a06af4e-5c7e-4c39-9c4d-b92a9e8d3fe4,,,,,,,,,,,,,,82.1,46.2,,,,,,,,,,
2a06af4e-5c7e-4c39-9c4d-b92a9e8d3fe4,1726,2,00:04:27.264,49,27,30,Pass,94,217,Barcelona,1,Regular Play,217,Barcelona,0.687586,,d6f7472a-2a46-4389-bd1e-86d8228d27f3,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,82.1,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,8.5906925,2.9304993,1.0,Ground Pass,73.7,48.0,38.0,Left Foot,,,,,,,,,,,,,,,
d6f7472a-2a46-4389-bd1e-86d8228d27f3,1727,2,00:04:27.951,49,27,42,Ball Receipt*,94,217,Barcelona,1,Regular Play,217,Barcelona,,,2a06af4e-5c7e-4c39-9c4d-b92a9e8d3fe4,5470,Ivan Rakitić,13,Right Center Midfield,73.7,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebd508d0-e1bd-4653-a59f-d470e780b9c5,1728,2,00:04:27.951,49,27,30,Pass,94,217,Barcelona,1,Regular Play,217,Barcelona,3.2613,,34cf16e5-9d82-4208-86fd-057d491717f4,5470,Ivan Rakitić,13,Right Center Midfield,73.7,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e0b3bc6-f52d-4e1a-9977-445cc5b4d99c,5246.0,Luis Alberto Suárez Díaz,38.013813,-1.113031,3.0,High Pass,90.5,13.9,40.0,Right Foot,,,,,,9.0,Incomplete,,,,,,,,
34cf16e5-9d82-4208-86fd-057d491717f4,1729,2,00:04:31.212,49,31,42,Ball Receipt*,94,217,Barcelona,1,Regular Play,217,Barcelona,,,ebd508d0-e1bd-4653-a59f-d470e780b9c5,5246,Luis Alberto Suárez Díaz,23,Center Forward,90.7,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,
4e0b3bc6-f52d-4e1a-9977-445cc5b4d99c,1730,2,00:04:31.212,49,31,30,Pass,94,217,Barcelona,1,Regular Play,1049,Granada,1.4716,,c998e46f-d306-4ba1-b311-f58fb2e97c14,3991,Allan Romeo Nyom,2,Right Back,29.6,66.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ebd508d0-e1bd-4653-a59f-d470e780b9c5,18721.0,Robert Ibáñez Castro,14.862705,-0.32175055,3.0,High Pass,43.7,61.5,40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,
c998e46f-d306-4ba1-b311-f58fb2e97c14,1731,2,00:04:32.684,49,32,42,Ball Receipt*,94,217,Barcelona,1,Regular Play,1049,Granada,,,4e0b3bc6-f52d-4e1a-9977-445cc5b4d99c,18721,Robert Ibáñez Castro,12,Right Midfield,43.7,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77ca8456-6625-49dc-a946-f38256cafa52,1732,2,00:04:32.684,49,32,43,Carry,94,217,Barcelona,1,Regular Play,1049,Granada,0.0877,,5ba64df6-e71f-4c46-b391-664aa79dba79,18721,Robert Ibáñez Castro,12,Right Midfield,43.7,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c998e46f-d306-4ba1-b311-f58fb2e97c14,,,,,,,,,,,,,,43.7,61.5,,,,,,,,,,
5ba64df6-e71f-4c46-b391-664aa79dba79,1733,2,00:04:32.772,49,32,38,Miscontrol,94,217,Barcelona,1,Regular Play,1049,Granada,0.0,,,18721,Robert Ibáñez Castro,12,Right Midfield,43.7,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
