IdFiles,ScoringTeam,Score,NoInformation,passes,completePasses,incompletePasses,minutes
332_1,Barcelona,1_0,,183.0,158.0,25.0,22.0
332_2,Barcelona,2_0,,91.0,76.0,15.0,19.0
332_3,Barcelona,3_0,,62.0,50.0,12.0,11.0
332_4,Barcelona,4_0,,207.0,185.0,22.0,38.0
332_5,,NF,NF,6.0,4.0,2.0,1.0
339_1,Barcelona,1_0,,465.0,419.0,46.0,58.0
339_2,Valencia,1_1,,251.0,229.0,22.0,26.0
339_3,,NF,NF,27.0,21.0,6.0,7.0
346_1,Barcelona,1_0,,288.0,261.0,27.0,38.0
346_2,Barcelona,2_0,,207.0,188.0,19.0,23.0
346_3,RC Deportivo La Coruña,2_1,,110.0,98.0,12.0,13.0
346_4,Barcelona,3_1,,44.0,40.0,4.0,8.0
346_5,,NF,NF,68.0,58.0,10.0,8.0
364_1,Barcelona,1_0,,184.0,156.0,28.0,27.0
364_2,Real Betis,1_1,,24.0,24.0,0.0,3.0
364_3,Barcelona,2_1,,87.0,82.0,5.0,12.0
364_4,Barcelona,3_1,,231.0,201.0,30.0,36.0
364_5,,NF,NF,54.0,46.0,8.0,8.0
38_1,Barcelona,1_0,,180.0,154.0,26.0,21.0
38_2,Levante UD,1_1,,468.0,419.0,49.0,70.0
38_3,,NF,NF,,,,
45_1,Barcelona,1_0,,164.0,139.0,25.0,26.0
45_2,Celta Vigo,1_1,,53.0,44.0,9.0,9.0
45_3,Barcelona,2_1,,154.0,133.0,21.0,20.0
45_4,Barcelona,3_1,,109.0,93.0,16.0,16.0
45_5,Barcelona,4_1,,29.0,27.0,2.0,5.0
45_6,Barcelona,5_1,,12.0,11.0,1.0,2.0
45_7,Barcelona,6_1,,17.0,16.0,1.0,5.0
45_8,,NF,NF,13.0,13.0,0.0,2.0
48_1,Barcelona,1_0,,222.0,203.0,19.0,25.0
48_2,Sporting Gijón,1_1,,13.0,12.0,1.0,1.0
48_3,Barcelona,2_1,,31.0,29.0,2.0,4.0
48_4,Barcelona,3_1,,298.0,278.0,20.0,36.0
48_5,,NF,NF,220.0,204.0,16.0,26.0
51_1,Barcelona,1_0,,51.0,45.0,6.0,6.0
51_2,Las Palmas,1_1,,24.0,21.0,3.0,3.0
51_3,Barcelona,2_1,,192.0,170.0,22.0,29.0
51_4,,NF,NF,316.0,285.0,31.0,53.0
59_1,Sevilla,0_1,,143.0,126.0,17.0,19.0
59_2,Barcelona,1_1,,92.0,84.0,8.0,10.0
59_3,Barcelona,2_1,,155.0,136.0,19.0,17.0
59_4,,NF,NF,303.0,275.0,28.0,44.0
63_1,Barcelona,1_0,,120.0,103.0,17.0,22.0
63_2,Barcelona,2_0,,3.0,3.0,0.0,1.0
63_3,Barcelona,3_0,,164.0,138.0,26.0,28.0
63_4,Rayo Vallecano,3_1,,18.0,16.0,2.0,3.0
63_5,Barcelona,4_1,,88.0,79.0,9.0,14.0
63_6,Barcelona,5_1,,118.0,111.0,7.0,14.0
63_7,,NF,NF,17.0,12.0,5.0,4.0
66_1,Barcelona,1_0,,91.0,81.0,10.0,8.0
66_2,Barcelona,2_0,,300.0,269.0,31.0,33.0
66_3,Barcelona,3_0,,271.0,248.0,23.0,33.0
66_4,Barcelona,4_0,,34.0,32.0,2.0,8.0
