,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
5470,4.43,3.21,7,4.57,3.74,7,0.64,,1,0.08,,1,0.8,,1,0.33,,1,3.0,,1
5503,5.0,2.33,8,4.62,2.0,8,0.86,,1,0.01,,1,0.75,,1,0.33,,1,3.0,,1
5506,4.0,2.53,6,4.0,1.79,6,0.13,,1,0.32,,1,0.45,,1,0.35,,1,2.0,,1
5246,6.14,1.77,7,2.71,1.5,7,0.72,,1,0.02,,1,0.8,,1,0.32,,1,3.0,,1
5203,5.83,3.06,6,5.83,2.32,6,0.19,,1,0.18,,1,0.43,,1,0.38,,1,2.0,,1
5216,5.57,2.44,7,5.0,2.45,7,0.45,,1,0.05,,1,0.77,,1,0.45,,1,4.0,,1
4320,5.75,2.92,8,5.0,2.93,8,0.61,,1,0.09,,1,0.86,,1,0.35,,1,2.0,,1
5211,4.22,1.99,9,5.22,2.77,9,0.54,,1,0.15,,1,0.71,,1,0.26,,1,2.0,,1
4324,3.71,1.89,7,4.43,2.37,7,0.87,,1,0.02,,1,0.71,,1,0.3,,1,2.0,,1
7068,3.25,2.22,4,3.25,1.71,4,0.12,,1,0.06,,1,0.32,,1,0.25,,1,2.0,,1
4691,1.86,0.9,7,3.29,2.06,7,0.67,,1,0.0,,1,0.44,,1,0.03,,1,2.0,,1
11094,4.0,2.53,6,4.33,2.42,6,0.81,,1,0.03,,1,0.75,,1,0.33,,1,2.0,,1
5213,5.0,2.24,7,5.71,2.56,7,0.65,,1,0.06,,1,0.8,,1,0.3,,1,2.0,,1
20055,2.0,,1,2.0,,1,0.67,,1,0.01,,1,0.39,,1,0.08,,1,3.0,,1
6998,2.0,,1,1.0,,1,0.0,,1,0.02,,1,0.48,,1,0.14,,1,4.0,,1
10609,2.75,1.26,4,4.5,2.52,4,0.53,,1,0.1,,1,0.62,,1,0.26,,1,2.0,,1
6400,4.33,2.52,3,4.67,1.53,3,0.67,,1,0.0,,1,0.55,,1,0.08,,1,2.0,,1
6379,5.0,3.46,4,5.25,3.69,4,0.72,,1,0.04,,1,0.75,,1,0.32,,1,2.0,,1
22102,6.0,2.83,2,5.5,0.71,2,0.78,,1,0.01,,1,0.6,,1,0.15,,1,3.0,,1
6616,3.0,1.41,2,2.5,2.12,2,0.48,,1,0.04,,1,0.62,,1,0.29,,1,3.0,,1
6332,4.0,4.24,2,3.5,2.12,2,0.69,,1,0.03,,1,0.71,,1,0.23,,1,2.0,,1
