,inD,inD,inD,outD,outD,outD,clust,clust,clust,betw,betw,betw,clos,clos,clos,eigenv,eigenv,eigenv,ecce,ecce,ecce
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,2.0,0.0,1,7.0,0.0,1,7.0,0.0,1,0.61,0.0,1,0.05,0.0,1,0.77,0.0,1,0.29,0.0,1
0_2,2.0,0.0,1,7.0,0.0,1,7.0,0.0,1,0.61,0.0,1,0.05,0.0,1,0.29,0.0,1,2.0,0.0,1
1_2,2.0,0.0,1,7.0,0.0,1,7.0,0.0,1,0.61,0.0,1,0.05,0.0,1,0.77,0.0,1,0.29,0.0,1
1_0,5.5,2.69,4,5.5,2.96,4,0.78,0.0,1,0.01,0.0,1,0.77,0.0,1,0.32,0.0,1,2.0,0.0,1
2_0,5.0,2.0,2,5.5,2.5,2,0.72,0.0,1,0.03,0.0,1,0.77,0.0,1,0.28,0.0,1,2.0,0.0,1
3_0,3.0,0.0,1,2.0,0.0,1,0.38,0.0,1,0.05,0.0,1,0.5,0.0,1,0.33,0.0,1,4.0,0.0,1
4_0,5.67,1.7,3,5.33,0.47,3,0.78,0.0,1,0.01,0.0,1,0.6,0.0,1,0.15,0.0,1,3.0,0.0,1
5_0,5.67,1.7,3,5.33,0.47,3,0.78,0.0,1,0.01,0.0,1,0.6,0.0,1,0.28,0.0,1,2.0,0.0,1
6_0,3.0,0.0,1,4.0,0.0,1,0.53,0.0,1,0.08,0.0,1,0.58,0.0,1,0.21,0.0,1,3.0,0.0,1
7_0,4.0,0.0,1,4.0,0.0,1,0.3,0.0,1,0.22,0.0,1,0.59,0.0,1,0.59,0.0,1,0.59,0.0,1
8_0,1.0,0.0,1,2.0,0.0,1,0.0,0.0,1,0.19,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
1_1,4.0,3.0,2,4.0,3.0,2,0.0,0.0,1,0.0,0.0,1,0.39,0.0,1,0.3,0.0,1,2.0,0.0,1
2_1,4.33,1.25,3,6.33,2.49,3,0.17,0.0,1,0.1,0.0,1,0.47,0.0,1,0.23,0.0,1,2.0,0.0,1
3_1,6.0,3.0,2,5.0,3.0,2,0.67,0.0,1,0.08,0.0,1,0.91,0.0,1,0.35,0.0,1,2.0,0.0,1
4_1,7.0,0.0,1,7.0,0.0,1,0.61,0.0,1,0.05,0.0,1,0.77,0.0,1,0.29,0.0,1,2.0,0.0,1
0_3,7.0,0.0,1,7.0,0.0,1,0.61,0.0,1,0.05,0.0,1,0.77,0.0,1,0.29,0.0,1,2.0,0.0,1
1_3,7.0,0.0,1,7.0,0.0,1,0.61,0.0,1,0.05,0.0,1,0.77,0.0,1,0.29,0.0,1,2.0,0.0,1
1_4,7.0,0.0,1,7.0,0.0,1,0.61,0.0,1,0.05,0.0,1,0.77,0.0,1,0.77,0.0,1,0.77,0.0,1
5_1,7.0,0.0,1,7.0,0.0,1,0.61,0.0,1,0.05,0.0,1,0.77,0.0,1,0.29,0.0,1,2.0,0.0,1
5_2,7.0,0.0,1,7.0,0.0,1,0.61,0.0,1,0.05,0.0,1,0.77,0.0,1,0.77,0.0,1,0.77,0.0,1
2_2,7.0,0.0,1,7.0,0.0,1,0.61,0.0,1,0.05,0.0,1,0.77,0.0,1,0.77,0.0,1,0.77,0.0,1
6_1,7.0,0.0,1,7.0,0.0,1,0.61,0.0,1,0.05,0.0,1,0.77,0.0,1,0.77,0.0,1,0.77,0.0,1
