,inDegree_players,inDegree_players,inDegree_players,outDegree_players,outDegree_players,outDegree_players,clustering_coefficients,clustering_coefficients,clustering_coefficients,betweenness_centralities,betweenness_centralities,betweenness_centralities,closeness_centralities,closeness_centralities,closeness_centralities,eigenvector_centrality,eigenvector_centrality,eigenvector_centrality,eccentricity,eccentricity,eccentricity
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,4.4,2.33,5,5.2,2.32,5,0.3,0.0,1,0.3,0.0,1,0.71,0.0,1,0.43,0.0,1,2.0,0.0,1
0_2,2.0,0.0,1,2.0,0.0,1,0.2,0.0,1,0.6,0.0,1,0.5,0.0,1,0.56,0.0,1,3.0,0.0,1
1_2,6.5,1.5,2,6.5,0.5,2,0.61,0.0,1,0.07,0.0,1,0.79,0.0,1,0.38,0.0,1,2.0,0.0,1
1_0,6.22,2.46,18,7.39,1.53,18,0.82,0.0,1,0.02,0.0,1,0.91,0.0,1,0.33,0.0,1,2.0,0.0,1
2_0,6.29,2.66,14,5.86,1.88,14,0.78,0.0,1,0.02,0.0,1,0.91,0.0,1,0.37,0.0,1,2.0,0.0,1
3_0,5.6,2.54,10,5.8,2.32,10,0.75,0.0,1,0.02,0.0,1,0.83,0.0,1,0.29,0.0,1,2.0,0.0,1
4_0,4.38,2.39,8,5.12,2.76,8,0.87,0.0,1,0.02,0.0,1,0.71,0.0,1,0.3,0.0,1,2.0,0.0,1
5_0,4.33,0.94,3,5.33,0.47,3,0.51,0.0,1,0.06,0.0,1,0.69,0.0,1,0.33,0.0,1,2.0,0.0,1
6_0,3.5,2.5,2,3.5,2.5,2,0.0,0.0,1,0.29,0.0,1,0.23,0.0,1,0.34,0.0,1,3.0,0.0,1
7_0,3.0,0.0,1,3.0,0.0,1,0.18,0.0,1,0.11,0.0,1,0.45,0.0,1,0.45,0.0,1,0.45,0.0,1
8_0,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.22,0.0,1,0.18,0.0,1,0.18,0.0,1,0.18,0.0,1
1_1,3.43,2.19,7,3.86,2.03,7,0.69,0.0,1,0.01,0.0,1,0.6,0.0,1,0.28,0.0,1,3.0,0.0,1
2_1,4.71,2.76,7,4.86,2.42,7,0.0,0.0,1,0.0,0.0,1,0.44,0.0,1,0.05,0.0,1,4.0,0.0,1
3_1,7.0,1.41,3,5.33,0.94,3,0.63,0.0,1,0.03,0.0,1,0.79,0.0,1,0.36,0.0,1,2.0,0.0,1
4_1,9.0,0.0,1,7.0,0.0,1,0.64,0.0,1,0.07,0.0,1,0.91,0.0,1,0.39,0.0,1,2.0,0.0,1
0_3,7.0,0.0,1,6.0,0.0,1,0.62,0.0,1,0.04,0.0,1,0.77,0.0,1,0.34,0.0,1,2.0,0.0,1
1_3,6.0,0.0,1,7.0,0.0,1,0.55,0.0,1,0.07,0.0,1,0.69,0.0,1,0.28,0.0,1,2.0,0.0,1
1_4,6.0,0.0,1,7.0,0.0,1,0.55,0.0,1,0.07,0.0,1,0.69,0.0,1,0.69,0.0,1,0.69,0.0,1
5_1,2.0,0.0,1,3.0,0.0,1,0.0,0.0,1,0.25,0.0,1,0.25,0.0,1,0.28,0.0,1,2.0,0.0,1
5_2,2.0,0.0,1,3.0,0.0,1,0.0,0.0,1,0.25,0.0,1,0.25,0.0,1,0.25,0.0,1,0.25,0.0,1
2_2,2.0,1.0,2,2.0,2.0,2,0.05,0.0,1,0.34,0.0,1,0.36,0.0,1,0.36,0.0,1,0.36,0.0,1
6_1,2.0,1.0,2,2.0,2.0,2,0.05,0.0,1,0.34,0.0,1,0.36,0.0,1,0.36,0.0,1,0.36,0.0,1
