,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
5211,6.9,2.13,10,6.1,2.18,10,0.74,,1,0.04,,1,0.83,,1
4320,6.67,1.92,12,5.42,1.24,12,0.76,,1,0.02,,1,0.91,,1
5216,6.45,1.29,11,6.45,2.02,11,0.4,,1,0.19,,1,0.83,,1
4324,6.38,2.39,8,6.5,2.14,8,0.75,,1,0.02,,1,0.83,,1
5470,6.36,2.16,11,6.64,2.38,11,0.79,,1,0.04,,1,0.71,,1
5503,6.18,1.94,11,6.45,1.81,11,0.75,,1,0.03,,1,0.83,,1
7068,4.75,2.06,4,5.25,1.5,4,0.15,,1,0.02,,1,0.46,,1
4691,2.6,0.84,10,4.6,2.12,10,0.8,,1,0.0,,1,0.59,,1
5506,5.4,1.43,10,6.7,2.06,10,0.72,,1,0.06,,1,0.71,,1
5203,6.0,1.91,12,6.67,1.97,12,0.76,,1,0.04,,1,0.83,,1
5246,5.92,2.14,13,3.92,1.8,13,0.79,,1,0.02,,1,0.83,,1
5213,5.17,2.69,12,5.75,2.34,12,0.69,,1,0.07,,1,0.83,,1
20055,3.0,2.0,3,4.67,2.08,3,0.6,,1,0.01,,1,0.5,,1
10609,4.14,1.57,7,3.71,1.25,7,0.32,,1,0.19,,1,0.67,,1
11094,5.17,2.93,6,5.17,2.79,6,0.71,,1,0.04,,1,0.91,,1
6400,6.25,0.96,4,6.0,1.41,4,0.86,,1,0.01,,1,0.71,,1
6332,5.0,2.83,2,3.5,0.71,2,0.86,,1,0.0,,1,0.77,,1
22102,5.0,1.41,2,8.0,1.41,2,0.58,,1,0.05,,1,0.61,,1
6616,5.6,1.95,5,3.6,1.52,5,0.57,,1,0.02,,1,0.62,,1
6379,6.5,1.64,6,6.5,1.38,6,0.72,,1,0.05,,1,0.91,,1
3508,3.0,,1,1.0,,1,0.83,,1,0.0,,1,0.58,,1
