,inD,inD,inD,outD,outD,outD,clust,clust,clust,betw,betw,betw,clos,clos,clos,eigenv,eigenv,eigenv,ecce,ecce,ecce
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,4.0,1.0,2,3.5,1.5,2,0.67,0.0,1,0.03,0.0,1,0.67,0.0,1,0.0,0.0,1,0.36,0.0,1
0_2,4.0,1.0,2,3.5,1.5,2,0.67,0.0,1,0.03,0.0,1,0.67,0.0,1,0.13,0.0,1,3.0,0.0,1
1_2,5.0,0.0,1,4.0,0.0,1,0.82,0.0,1,0.01,0.0,1,0.65,0.0,1,0.27,0.0,1,3.0,0.0,1
1_0,4.0,2.0,6,3.67,2.21,6,0.52,0.0,1,0.04,0.0,1,0.67,0.0,1,0.34,0.0,1,3.0,0.0,1
2_0,5.5,0.87,4,6.0,2.12,4,0.21,0.0,1,0.45,0.0,1,0.67,0.0,1,0.47,0.0,1,4.0,0.0,1
3_0,5.0,2.9,5,5.2,2.79,5,0.71,0.0,1,0.04,0.0,1,0.91,0.0,1,0.35,0.0,1,2.0,0.0,1
4_0,4.0,2.31,6,4.33,2.21,6,0.81,0.0,1,0.03,0.0,1,0.75,0.0,1,0.33,0.0,1,2.0,0.0,1
5_0,4.75,1.48,4,3.75,0.83,4,0.67,0.0,1,0.03,0.0,1,0.56,0.0,1,0.34,0.0,1,3.0,0.0,1
6_0,2.67,1.25,3,2.67,1.89,3,0.42,0.0,1,0.2,0.0,1,0.6,0.0,1,0.44,0.0,1,3.0,0.0,1
7_0,2.67,1.25,3,2.67,1.89,3,0.42,0.0,1,0.2,0.0,1,0.6,0.0,1,0.6,0.0,1,0.6,0.0,1
8_0,2.67,1.25,3,2.67,1.89,3,0.42,0.0,1,0.2,0.0,1,0.6,0.0,1,0.6,0.0,1,0.6,0.0,1
1_1,4.0,2.12,4,3.5,2.06,4,0.73,0.0,1,0.02,0.0,1,0.67,0.0,1,0.31,0.0,1,2.0,0.0,1
2_1,5.6,1.85,5,5.4,2.06,5,0.74,0.0,1,0.03,0.0,1,0.63,0.0,1,0.31,0.0,1,3.0,0.0,1
3_1,9.0,0.0,1,8.0,0.0,1,0.73,0.0,1,0.04,0.0,1,0.91,0.0,1,0.35,0.0,1,2.0,0.0,1
4_1,2.0,0.0,2,1.0,0.0,2,0.5,0.0,1,0.0,0.0,1,0.5,0.0,1,0.13,0.0,1,3.0,0.0,1
0_3,2.0,0.0,2,1.0,0.0,2,0.5,0.0,1,0.0,0.0,1,0.5,0.0,1,0.13,0.0,1,3.0,0.0,1
1_3,2.0,0.0,2,1.0,0.0,2,0.5,0.0,1,0.0,0.0,1,0.5,0.0,1,0.13,0.0,1,3.0,0.0,1
1_4,2.0,0.0,2,1.0,0.0,2,0.5,0.0,1,0.0,0.0,1,0.5,0.0,1,0.5,0.0,1,0.5,0.0,1
5_1,4.5,3.5,2,4.5,2.5,2,0.55,0.0,1,0.1,0.0,1,0.79,0.0,1,0.36,0.0,1,2.0,0.0,1
5_2,4.5,3.5,2,4.5,2.5,2,0.55,0.0,1,0.1,0.0,1,0.79,0.0,1,0.79,0.0,1,0.79,0.0,1
2_2,4.5,3.5,2,4.5,2.5,2,0.55,0.0,1,0.1,0.0,1,0.79,0.0,1,0.79,0.0,1,0.79,0.0,1
6_1,0.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
