,inD,inD,inD,outD,outD,outD,clust,clust,clust,betw,betw,betw,clos,clos,clos,eigenv,eigenv,eigenv,ecce,ecce,ecce
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,5.0,0.0,1,4.0,0.0,1,0.29,0.0,1,0.13,0.0,1,0.62,0.0,1,0.29,0.0,1,2.0,0.0,1
0_2,5.0,0.0,1,4.0,0.0,1,0.29,0.0,1,0.13,0.0,1,0.62,0.0,1,0.34,0.0,1,2.0,0.0,1
1_2,5.0,0.0,1,4.0,0.0,1,0.29,0.0,1,0.13,0.0,1,0.62,0.0,1,0.29,0.0,1,2.0,0.0,1
1_0,7.0,1.41,3,6.33,1.7,3,0.6,0.0,1,0.08,0.0,1,0.79,0.0,1,0.38,0.0,1,2.0,0.0,1
2_0,3.33,2.62,3,3.67,2.49,3,0.79,0.0,1,0.03,0.0,1,0.77,0.0,1,0.28,0.0,1,2.0,0.0,1
3_0,4.25,1.92,4,4.25,1.09,4,0.15,0.0,1,0.02,0.0,1,0.46,0.0,1,0.08,0.0,1,2.0,0.0,1
4_0,3.6,1.85,5,3.8,1.72,5,0.12,0.0,1,0.06,0.0,1,0.32,0.0,1,0.19,0.0,1,2.0,0.0,1
5_0,2.5,0.5,2,2.0,1.0,2,0.5,0.0,1,0.01,0.0,1,0.53,0.0,1,0.15,0.0,1,3.0,0.0,1
6_0,4.0,2.83,3,3.67,1.89,3,0.37,0.0,1,0.19,0.0,1,0.71,0.0,1,0.38,0.0,1,2.0,0.0,1
7_0,2.0,0.0,1,2.0,0.0,1,0.5,0.0,1,0.04,0.0,1,0.43,0.0,1,0.43,0.0,1,0.43,0.0,1
8_0,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.21,0.0,1,0.17,0.0,1,0.17,0.0,1,0.17,0.0,1
1_1,6.0,0.0,1,5.0,0.0,1,0.46,0.0,1,0.1,0.0,1,0.71,0.0,1,0.33,0.0,1,2.0,0.0,1
2_1,5.0,0.0,2,7.0,0.0,2,0.77,0.0,1,0.02,0.0,1,0.67,0.0,1,0.23,0.0,1,2.0,0.0,1
3_1,2.5,0.5,2,3.0,1.0,2,0.7,0.0,1,0.02,0.0,1,0.52,0.0,1,0.09,0.0,1,3.0,0.0,1
4_1,8.0,0.0,1,9.0,0.0,1,0.6,0.0,1,0.14,0.0,1,0.83,0.0,1,0.34,0.0,1,2.0,0.0,1
0_3,8.0,0.0,1,9.0,0.0,1,0.6,0.0,1,0.14,0.0,1,0.83,0.0,1,0.34,0.0,1,2.0,0.0,1
1_3,8.0,0.0,1,9.0,0.0,1,0.6,0.0,1,0.14,0.0,1,0.83,0.0,1,0.34,0.0,1,2.0,0.0,1
1_4,8.0,0.0,1,9.0,0.0,1,0.6,0.0,1,0.14,0.0,1,0.83,0.0,1,0.83,0.0,1,0.83,0.0,1
5_1,8.0,0.0,1,9.0,0.0,1,0.6,0.0,1,0.14,0.0,1,0.83,0.0,1,0.34,0.0,1,2.0,0.0,1
5_2,8.0,0.0,1,9.0,0.0,1,0.6,0.0,1,0.14,0.0,1,0.83,0.0,1,0.83,0.0,1,0.83,0.0,1
2_2,8.0,0.0,1,9.0,0.0,1,0.6,0.0,1,0.14,0.0,1,0.83,0.0,1,0.83,0.0,1,0.83,0.0,1
6_1,8.0,0.0,1,9.0,0.0,1,0.6,0.0,1,0.14,0.0,1,0.83,0.0,1,0.83,0.0,1,0.83,0.0,1
