,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
5246,4.09,2.7,11,2.55,2.21,11,0.6,,1,0.01,,1,0.6,,1
5216,5.14,3.39,7,6.0,3.79,7,0.58,,1,0.04,,1,0.56,,1
5506,4.1,1.85,10,4.9,2.18,10,0.43,,1,0.14,,1,0.64,,1
6379,3.71,3.15,7,4.57,3.21,7,0.69,,1,0.01,,1,0.59,,1
10609,2.5,1.76,6,2.83,1.94,6,0.7,,1,0.04,,1,0.67,,1
5211,4.3,2.45,10,4.7,2.5,10,0.61,,1,0.01,,1,0.53,,1
4320,4.46,2.54,13,3.46,2.57,13,0.58,,1,0.04,,1,0.64,,1
6998,2.0,,1,2.0,,1,0.25,,1,0.33,,1,0.44,,1
5470,3.7,2.06,10,3.3,2.58,10,0.5,,1,0.08,,1,0.69,,1
22102,2.0,1.41,2,2.0,1.41,2,0.0,,1,0.0,,1,0.39,,1
4324,3.7,2.75,10,4.1,2.33,10,0.69,,1,0.01,,1,0.6,,1
7068,4.0,2.83,2,4.0,1.41,2,0.46,,1,0.1,,1,0.71,,1
5503,5.56,2.55,9,4.56,1.88,9,0.3,,1,0.27,,1,0.75,,1
5203,5.09,2.55,11,5.09,2.51,11,0.44,,1,0.1,,1,0.69,,1
6616,2.0,,1,2.0,,1,0.4,,1,0.01,,1,0.4,,1
4691,2.29,1.6,7,3.86,2.41,7,0.92,,1,0.0,,1,0.59,,1
5213,4.67,1.8,9,5.11,2.03,9,0.4,,1,0.05,,1,0.6,,1
3508,4.0,0.0,2,2.0,0.0,2,0.54,,1,0.01,,1,0.59,,1
6332,2.0,,1,3.0,,1,0.28,,1,0.15,,1,0.4,,1
6400,4.0,3.0,3,4.67,2.31,3,0.51,,1,0.06,,1,0.62,,1
11094,3.0,1.73,3,2.67,2.08,3,0.73,,1,0.02,,1,0.67,,1
