,inD,inD,inD,outD,outD,outD,clust,clust,clust,betw,betw,betw,clos,clos,clos,eigenv,eigenv,eigenv,ecce,ecce,ecce
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,2.71,1.75,7,3.86,1.96,7,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.21,0.0,1,3.0,0.0,1
0_2,1.0,1.0,2,2.0,0.0,2,0.33,0.0,1,0.02,0.0,1,0.34,0.0,1,0.18,0.0,1,3.0,0.0,1
1_2,1.33,0.94,3,3.0,0.82,3,0.67,0.0,1,0.0,0.0,1,0.48,0.0,1,0.09,0.0,1,2.0,0.0,1
1_0,2.7,1.3,23,4.3,2.01,23,0.3,0.0,1,0.03,0.0,1,0.45,0.0,1,0.13,0.0,1,2.0,0.0,1
2_0,1.93,1.1,14,3.5,1.95,14,0.0,0.0,1,0.11,0.0,1,0.29,0.0,1,0.05,0.0,1,4.0,0.0,1
3_0,2.5,0.81,10,4.3,2.15,10,0.8,0.0,1,0.0,0.0,1,0.59,0.0,1,0.12,0.0,1,2.0,0.0,1
4_0,2.25,1.3,8,4.0,2.6,8,0.67,0.0,1,0.0,0.0,1,0.44,0.0,1,0.03,0.0,1,2.0,0.0,1
5_0,1.0,0.82,3,2.67,0.47,3,0.67,0.0,1,0.01,0.0,1,0.4,0.0,1,0.08,0.0,1,3.0,0.0,1
6_0,1.0,0.0,3,2.0,0.82,3,1.0,0.0,1,0.0,0.0,1,0.43,0.0,1,0.08,0.0,1,3.0,0.0,1
7_0,0.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
8_0,0.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
1_1,2.43,1.68,7,3.57,1.76,7,0.92,0.0,1,0.0,0.0,1,0.59,0.0,1,0.21,0.0,1,3.0,0.0,1
2_1,2.33,0.94,9,4.0,1.33,9,0.52,0.0,1,0.17,0.0,1,0.55,0.0,1,0.16,0.0,1,2.0,0.0,1
3_1,2.4,1.36,5,5.4,2.73,5,1.0,0.0,1,0.0,0.0,1,0.15,0.0,1,0.09,0.0,1,2.0,0.0,1
4_1,2.5,0.5,2,3.0,1.0,2,0.45,0.0,1,0.03,0.0,1,0.52,0.0,1,0.18,0.0,1,3.0,0.0,1
0_3,2.5,0.5,2,3.0,1.0,2,0.45,0.0,1,0.03,0.0,1,0.52,0.0,1,0.18,0.0,1,3.0,0.0,1
1_3,2.5,0.5,2,3.0,1.0,2,0.45,0.0,1,0.03,0.0,1,0.52,0.0,1,0.18,0.0,1,3.0,0.0,1
1_4,2.5,0.5,2,3.0,1.0,2,0.45,0.0,1,0.03,0.0,1,0.52,0.0,1,0.52,0.0,1,0.52,0.0,1
5_1,1.33,0.47,3,2.0,0.82,3,0.88,0.0,1,0.0,0.0,1,0.48,0.0,1,0.1,0.0,1,3.0,0.0,1
5_2,0.0,0.0,1,3.0,0.0,1,0.17,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2_2,1.0,1.0,2,2.5,0.5,2,0.5,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
6_1,0.0,0.0,1,2.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
