,inD,inD,inD,outD,outD,outD,clust,clust,clust,betw,betw,betw,clos,clos,clos,eigenv,eigenv,eigenv,ecce,ecce,ecce
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,6.11,2.02,9,5.78,1.75,9,0.55,0.0,1,0.11,0.0,1,0.77,0.0,1,0.2,0.0,1,2.0,0.0,1
0_2,3.0,1.41,3,3.0,2.16,3,0.25,0.0,1,0.2,0.0,1,0.62,0.0,1,0.21,0.0,1,5.0,0.0,1
1_2,6.33,1.25,3,5.67,2.05,3,0.62,0.0,1,0.01,0.0,1,0.65,0.0,1,0.23,0.0,1,3.0,0.0,1
1_0,6.79,2.06,24,6.0,2.04,24,0.53,0.0,1,0.04,0.0,1,0.67,0.0,1,0.33,0.0,1,3.0,0.0,1
2_0,5.44,2.22,18,5.0,2.47,18,0.39,0.0,1,0.13,0.0,1,0.5,0.0,1,0.39,0.0,1,4.0,0.0,1
3_0,6.15,2.21,13,5.23,1.31,13,0.76,0.0,1,0.02,0.0,1,0.91,0.0,1,0.35,0.0,1,2.0,0.0,1
4_0,6.22,2.9,9,5.22,2.66,9,0.61,0.0,1,0.09,0.0,1,0.86,0.0,1,0.35,0.0,1,2.0,0.0,1
5_0,4.4,0.8,5,3.8,0.75,5,0.46,0.0,1,0.07,0.0,1,0.67,0.0,1,0.41,0.0,1,3.0,0.0,1
6_0,3.33,1.25,3,3.67,0.47,3,0.33,0.0,1,0.17,0.0,1,0.47,0.0,1,0.27,0.0,1,3.0,0.0,1
7_0,4.0,0.0,1,2.0,0.0,1,0.27,0.0,1,0.21,0.0,1,0.59,0.0,1,0.59,0.0,1,0.59,0.0,1
8_0,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.2,0.0,1,0.2,0.0,1,0.2,0.0,1
1_1,4.2,2.23,10,3.4,1.91,10,0.58,0.0,1,0.04,0.0,1,0.64,0.0,1,0.28,0.0,1,2.0,0.0,1
2_1,5.7,2.28,10,4.7,2.61,10,0.7,0.0,1,0.03,0.0,1,0.57,0.0,1,0.26,0.0,1,3.0,0.0,1
3_1,5.33,2.81,6,3.83,2.27,6,0.5,0.0,1,0.11,0.0,1,0.47,0.0,1,0.31,0.0,1,2.0,0.0,1
4_1,4.0,2.12,4,2.75,2.17,4,0.44,0.0,1,0.02,0.0,1,0.55,0.0,1,0.28,0.0,1,3.0,0.0,1
0_3,4.0,0.0,1,6.0,0.0,1,0.7,0.0,1,0.02,0.0,1,0.62,0.0,1,0.21,0.0,1,2.0,0.0,1
1_3,8.0,0.0,1,5.0,0.0,1,0.5,0.0,1,0.08,0.0,1,0.79,0.0,1,0.37,0.0,1,2.0,0.0,1
1_4,8.0,0.0,1,5.0,0.0,1,0.5,0.0,1,0.08,0.0,1,0.79,0.0,1,0.79,0.0,1,0.79,0.0,1
5_1,3.0,1.41,3,2.67,2.36,3,0.64,0.0,1,0.03,0.0,1,0.65,0.0,1,0.24,0.0,1,2.0,0.0,1
5_2,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.11,0.0,1,0.11,0.0,1,0.11,0.0,1
2_2,4.0,0.0,1,2.0,0.0,1,0.32,0.0,1,0.08,0.0,1,0.54,0.0,1,0.54,0.0,1,0.54,0.0,1
6_1,2.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.4,0.0,1,0.4,0.0,1,0.4,0.0,1
