,inDegree_players,inDegree_players,inDegree_players,outDegree_players,outDegree_players,outDegree_players,clustering_coefficients,clustering_coefficients,clustering_coefficients,betweenness_centralities,betweenness_centralities,betweenness_centralities,closeness_centralities,closeness_centralities,closeness_centralities,eigenvector_centrality,eigenvector_centrality,eigenvector_centrality,eccentricity,eccentricity,eccentricity
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,6.5,3.2,4,6.0,2.24,4,0.67,0.0,1,0.02,0.0,1,0.45,0.0,1,0.15,0.0,1,3.0,0.0,1
0_2,5.0,0.0,1,7.0,0.0,1,0.6,0.0,1,0.05,0.0,1,0.67,0.0,1,0.3,0.0,1,3.0,0.0,1
1_2,6.5,0.5,2,8.5,0.5,2,0.57,0.0,1,0.08,0.0,1,0.73,0.0,1,0.33,0.0,1,2.0,0.0,1
1_0,6.32,2.25,19,6.11,2.45,19,0.81,0.0,1,0.02,0.0,1,0.83,0.0,1,0.31,0.0,1,2.0,0.0,1
2_0,7.17,2.19,12,7.33,2.56,12,0.49,0.0,1,0.09,0.0,1,0.71,0.0,1,0.41,0.0,1,2.0,0.0,1
3_0,6.5,1.28,10,6.3,1.95,10,0.4,0.0,1,0.19,0.0,1,0.83,0.0,1,0.48,0.0,1,2.0,0.0,1
4_0,5.57,2.26,7,5.0,2.27,7,0.45,0.0,1,0.05,0.0,1,0.77,0.0,1,0.45,0.0,1,4.0,0.0,1
5_0,3.75,1.3,4,4.25,1.48,4,0.39,0.0,1,0.14,0.0,1,0.5,0.0,1,0.25,0.0,1,3.0,0.0,1
6_0,3.5,0.5,2,4.5,0.5,2,0.32,0.0,1,0.31,0.0,1,0.6,0.0,1,0.38,0.0,1,2.0,0.0,1
7_0,3.5,0.5,2,4.5,0.5,2,0.32,0.0,1,0.31,0.0,1,0.6,0.0,1,0.6,0.0,1,0.6,0.0,1
8_0,3.5,0.5,2,4.5,0.5,2,0.32,0.0,1,0.31,0.0,1,0.6,0.0,1,0.6,0.0,1,0.6,0.0,1
1_1,4.57,2.26,7,5.29,2.6,7,0.58,0.0,1,0.04,0.0,1,0.56,0.0,1,0.22,0.0,1,2.0,0.0,1
2_1,6.0,2.16,6,6.67,2.05,6,0.7,0.0,1,0.04,0.0,1,0.77,0.0,1,0.33,0.0,1,2.0,0.0,1
3_1,4.0,1.0,2,3.5,1.5,2,0.11,0.0,1,0.21,0.0,1,0.56,0.0,1,0.29,0.0,1,2.0,0.0,1
4_1,4.0,0.0,1,4.0,0.0,1,0.37,0.0,1,0.08,0.0,1,0.61,0.0,1,0.3,0.0,1,3.0,0.0,1
0_3,8.0,0.0,1,7.0,0.0,1,0.59,0.0,1,0.07,0.0,1,0.83,0.0,1,0.4,0.0,1,2.0,0.0,1
1_3,7.0,0.0,1,9.0,0.0,1,0.51,0.0,1,0.09,0.0,1,0.73,0.0,1,0.33,0.0,1,2.0,0.0,1
1_4,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.25,0.0,1,0.25,0.0,1,0.25,0.0,1,0.25,0.0,1
5_1,8.0,0.0,1,9.0,0.0,1,0.55,0.0,1,0.11,0.0,1,0.79,0.0,1,0.37,0.0,1,2.0,0.0,1
5_2,8.0,0.0,1,9.0,0.0,1,0.55,0.0,1,0.11,0.0,1,0.79,0.0,1,0.79,0.0,1,0.79,0.0,1
2_2,5.0,0.0,1,3.0,0.0,1,0.5,0.0,1,0.06,0.0,1,0.58,0.0,1,0.58,0.0,1,0.58,0.0,1
6_1,5.0,0.0,1,3.0,0.0,1,0.5,0.0,1,0.06,0.0,1,0.58,0.0,1,0.58,0.0,1,0.58,0.0,1
