,inDegree_players,inDegree_players,inDegree_players,outDegree_players,outDegree_players,outDegree_players,clustering_coefficients,clustering_coefficients,clustering_coefficients,betweenness_centralities,betweenness_centralities,betweenness_centralities,closeness_centralities,closeness_centralities,closeness_centralities,eigenvector_centrality,eigenvector_centrality,eigenvector_centrality,eccentricity,eccentricity,eccentricity
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,4.5,3.5,2,4.0,1.0,2,0.81,0.0,1,0.01,0.0,1,0.83,0.0,1,0.35,0.0,1,3.0,0.0,1
0_2,1.0,0.0,1,1.0,0.0,1,0.5,0.0,1,0.01,0.0,1,0.42,0.0,1,0.33,0.0,1,2.0,0.0,1
1_2,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.31,0.0,1,0.35,0.0,1,3.0,0.0,1
1_0,5.83,2.79,6,5.33,2.62,6,0.8,0.0,1,0.0,0.0,1,0.48,0.0,1,0.19,0.0,1,3.0,0.0,1
2_0,3.83,2.11,6,3.33,1.7,6,1.0,0.0,1,0.0,0.0,1,0.53,0.0,1,0.18,0.0,1,3.0,0.0,1
3_0,5.25,2.49,4,3.25,1.3,4,0.57,0.0,1,0.02,0.0,1,0.62,0.0,1,0.34,0.0,1,3.0,0.0,1
4_0,3.0,1.0,2,2.5,1.5,2,0.48,0.0,1,0.04,0.0,1,0.62,0.0,1,0.29,0.0,1,3.0,0.0,1
5_0,3.0,0.0,1,1.0,0.0,1,0.5,0.0,1,0.01,0.0,1,0.56,0.0,1,0.27,0.0,1,4.0,0.0,1
6_0,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.38,0.0,1,0.08,0.0,1,4.0,0.0,1
7_0,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.38,0.0,1,0.38,0.0,1,0.38,0.0,1
8_0,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.38,0.0,1,0.38,0.0,1,0.38,0.0,1
1_1,3.0,0.0,1,4.0,0.0,1,0.72,0.0,1,0.01,0.0,1,0.59,0.0,1,0.15,0.0,1,2.0,0.0,1
2_1,3.33,1.7,3,2.67,1.7,3,0.0,0.0,1,0.0,0.0,1,0.42,0.0,1,0.07,0.0,1,3.0,0.0,1
3_1,5.0,2.45,3,3.67,1.7,3,0.57,0.0,1,0.05,0.0,1,0.79,0.0,1,0.36,0.0,1,2.0,0.0,1
4_1,7.0,0.0,1,6.0,0.0,1,0.77,0.0,1,0.01,0.0,1,0.77,0.0,1,0.33,0.0,1,2.0,0.0,1
0_3,7.0,0.0,1,6.0,0.0,1,0.77,0.0,1,0.01,0.0,1,0.77,0.0,1,0.33,0.0,1,2.0,0.0,1
1_3,5.0,0.0,1,4.0,0.0,1,0.68,0.0,1,0.01,0.0,1,0.65,0.0,1,0.26,0.0,1,3.0,0.0,1
1_4,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.4,0.0,1,0.4,0.0,1,0.4,0.0,1
5_1,2.0,0.0,1,1.0,0.0,1,0.33,0.0,1,0.06,0.0,1,0.42,0.0,1,0.26,0.0,1,3.0,0.0,1
5_2,2.0,0.0,1,1.0,0.0,1,0.5,0.0,1,0.01,0.0,1,0.31,0.0,1,0.31,0.0,1,0.31,0.0,1
2_2,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.34,0.0,1,0.34,0.0,1,0.34,0.0,1
6_1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.34,0.0,1,0.34,0.0,1,0.34,0.0,1
