,inD,inD,inD,outD,outD,outD,clust,clust,clust,betw,betw,betw,clos,clos,clos,eigenv,eigenv,eigenv,ecce,ecce,ecce
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
0_2,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
1_2,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
1_0,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
2_0,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
3_0,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
4_0,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
5_0,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
6_0,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
7_0,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
8_0,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
1_1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
2_1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
3_1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
4_1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
0_3,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
1_3,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
1_4,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
5_1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
5_2,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
2_2,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
6_1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
