,inD,inD,inD,outD,outD,outD,clust,clust,clust,betw,betw,betw,clos,clos,clos,eigenv,eigenv,eigenv,ecce,ecce,ecce
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,7.0,0.0,1,7.0,0.0,1,0.64,0.0,1,0.05,0.0,1,0.77,0.0,1,0.45,0.0,1,0.23,0.0,1
0_2,7.0,0.0,1,7.0,0.0,1,0.64,0.0,1,0.05,0.0,1,0.77,0.0,1,0.25,0.0,1,2.0,0.0,1
1_2,7.0,0.0,1,7.0,0.0,1,0.64,0.0,1,0.05,0.0,1,0.77,0.0,1,0.45,0.0,1,0.23,0.0,1
1_0,3.6,1.85,5,3.8,1.94,5,0.5,0.0,1,0.08,0.0,1,0.62,0.0,1,0.28,0.0,1,2.0,0.0,1
2_0,4.75,1.92,4,4.25,2.05,4,0.17,0.0,1,0.02,0.0,1,0.4,0.0,1,0.21,0.0,1,6.0,0.0,1
3_0,6.0,0.82,3,5.67,1.25,3,0.86,0.0,1,0.01,0.0,1,0.71,0.0,1,0.26,0.0,1,2.0,0.0,1
4_0,4.33,2.05,3,4.67,1.25,3,0.67,0.0,1,0.0,0.0,1,0.55,0.0,1,0.08,0.0,1,2.0,0.0,1
5_0,4.0,0.0,2,4.5,0.5,2,0.36,0.0,1,0.18,0.0,1,0.59,0.0,1,0.3,0.0,1,3.0,0.0,1
6_0,4.0,1.0,2,3.5,1.5,2,0.88,0.0,1,0.0,0.0,1,0.5,0.0,1,0.35,0.0,1,4.0,0.0,1
7_0,4.0,1.0,2,3.5,1.5,2,0.88,0.0,1,0.0,0.0,1,0.5,0.0,1,0.5,0.0,1,0.5,0.0,1
8_0,4.0,1.0,2,3.5,1.5,2,0.88,0.0,1,0.0,0.0,1,0.5,0.0,1,0.5,0.0,1,0.5,0.0,1
1_1,3.67,2.05,3,4.67,1.89,3,0.51,0.0,1,0.06,0.0,1,0.62,0.0,1,0.22,0.0,1,2.0,0.0,1
2_1,5.0,2.16,3,5.33,2.36,3,0.79,0.0,1,0.02,0.0,1,0.71,0.0,1,0.27,0.0,1,2.0,0.0,1
3_1,6.5,0.5,2,6.0,1.0,2,0.78,0.0,1,0.02,0.0,1,0.71,0.0,1,0.25,0.0,1,2.0,0.0,1
4_1,0.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.25,0.0,1,2.0,0.0,1
0_3,0.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.25,0.0,1,2.0,0.0,1
1_3,0.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.25,0.0,1,2.0,0.0,1
1_4,0.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
5_1,4.0,0.0,1,3.0,0.0,1,0.72,0.0,1,0.01,0.0,1,0.58,0.0,1,0.23,0.0,1,3.0,0.0,1
5_2,4.0,0.0,1,3.0,0.0,1,0.72,0.0,1,0.01,0.0,1,0.58,0.0,1,0.58,0.0,1,0.58,0.0,1
2_2,4.0,0.0,1,3.0,0.0,1,0.72,0.0,1,0.01,0.0,1,0.58,0.0,1,0.58,0.0,1,0.58,0.0,1
6_1,2.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.45,0.0,1,0.45,0.0,1,0.45,0.0,1
