,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,5.0,2.19,5,4.8,2.48,5,0.62,0.0,1,0.05,0.0,1,0.71,0.0,1,0.2,0.0,1,3.0,0.0,1
0_2,9.0,0.0,1,5.0,0.0,1,0.58,0.0,1,0.08,0.0,1,0.91,0.0,1,0.45,0.0,1,2.0,0.0,1
1_2,7.0,0.0,2,8.0,1.0,2,0.51,0.0,1,0.13,0.0,1,0.73,0.0,1,0.31,0.0,1,2.0,0.0,1
1_0,6.5,1.87,24,6.17,1.84,24,0.44,0.0,1,0.13,0.0,1,0.77,0.0,1,0.44,0.0,1,3.0,0.0,1
2_0,6.0,2.4,16,6.12,2.55,16,0.2,0.0,1,0.18,0.0,1,0.5,0.0,1,0.44,0.0,1,6.0,0.0,1
3_0,5.5,2.06,12,5.83,2.23,12,0.75,0.0,1,0.03,0.0,1,0.83,0.0,1,0.32,0.0,1,2.0,0.0,1
4_0,5.56,2.59,9,5.0,2.05,9,0.86,0.0,1,0.01,0.0,1,0.75,0.0,1,0.33,0.0,1,3.0,0.0,1
5_0,5.0,0.71,4,5.75,0.83,4,0.45,0.0,1,0.16,0.0,1,0.59,0.0,1,0.31,0.0,1,2.0,0.0,1
6_0,3.0,2.16,3,3.0,1.41,3,1.0,0.0,1,0.0,0.0,1,0.43,0.0,1,0.2,0.0,1,3.0,0.0,1
7_0,1.0,0.0,1,2.0,0.0,1,0.33,0.0,1,0.04,0.0,1,0.34,0.0,1,0.34,0.0,1,0.34,0.0,1
8_0,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.17,0.0,1,0.19,0.0,1,0.19,0.0,1,0.19,0.0,1
1_1,6.0,1.69,7,4.86,1.55,7,0.3,0.0,1,0.27,0.0,1,0.75,0.0,1,0.43,0.0,1,2.0,0.0,1
2_1,5.67,2.16,9,5.33,1.83,9,0.62,0.0,1,0.04,0.0,1,0.63,0.0,1,0.29,0.0,1,3.0,0.0,1
3_1,3.75,2.17,4,4.0,1.87,4,0.17,0.0,1,0.08,0.0,1,0.5,0.0,1,0.3,0.0,1,2.0,0.0,1
4_1,6.0,1.41,3,5.0,2.83,3,0.4,0.0,1,0.17,0.0,1,0.73,0.0,1,0.45,0.0,1,2.0,0.0,1
0_3,7.0,0.0,1,7.0,0.0,1,0.62,0.0,1,0.06,0.0,1,0.77,0.0,1,0.36,0.0,1,3.0,0.0,1
1_3,7.0,0.0,1,4.0,0.0,1,0.65,0.0,1,0.03,0.0,1,0.73,0.0,1,0.38,0.0,1,3.0,0.0,1
1_4,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.25,0.0,1,0.38,0.0,1,0.38,0.0,1,0.38,0.0,1
5_1,3.5,2.5,2,3.0,2.0,2,0.53,0.0,1,0.06,0.0,1,0.69,0.0,1,0.26,0.0,1,2.0,0.0,1
5_2,3.5,2.5,2,3.0,2.0,2,0.53,0.0,1,0.06,0.0,1,0.69,0.0,1,0.69,0.0,1,0.69,0.0,1
2_2,2.0,0.0,2,3.5,1.5,2,0.17,0.0,1,0.14,0.0,1,0.29,0.0,1,0.29,0.0,1,0.29,0.0,1
6_1,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.1,0.0,1,0.1,0.0,1,0.1,0.0,1
