,inD,inD,inD,outD,outD,outD,clust,clust,clust,betw,betw,betw,clos,clos,clos,eigenv,eigenv,eigenv,ecce,ecce,ecce
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,7.0,1.0,2,3.5,0.5,2,0.45,0.0,1,0.07,0.0,1,0.71,0.0,1,0.42,0.0,1,3.0,0.0,1
0_2,7.0,1.0,2,3.5,0.5,2,0.45,0.0,1,0.07,0.0,1,0.71,0.0,1,0.29,0.0,1,3.0,0.0,1
1_2,5.0,0.0,1,3.0,0.0,1,0.42,0.0,1,0.04,0.0,1,0.52,0.0,1,0.42,0.0,1,3.0,0.0,1
1_0,7.0,0.0,2,6.5,0.5,2,0.85,0.0,1,0.01,0.0,1,0.77,0.0,1,0.32,0.0,1,2.0,0.0,1
2_0,4.0,0.0,1,2.0,0.0,1,0.93,0.0,1,0.0,0.0,1,0.62,0.0,1,0.23,0.0,1,3.0,0.0,1
3_0,2.0,0.0,1,1.0,0.0,1,0.17,0.0,1,0.09,0.0,1,0.5,0.0,1,0.24,0.0,1,5.0,0.0,1
4_0,2.0,0.0,1,1.0,0.0,1,0.17,0.0,1,0.09,0.0,1,0.5,0.0,1,0.24,0.0,1,5.0,0.0,1
5_0,2.0,0.0,1,1.0,0.0,1,0.17,0.0,1,0.09,0.0,1,0.5,0.0,1,0.23,0.0,1,3.0,0.0,1
6_0,2.0,0.0,1,1.0,0.0,1,0.17,0.0,1,0.09,0.0,1,0.5,0.0,1,0.24,0.0,1,5.0,0.0,1
7_0,2.0,0.0,1,1.0,0.0,1,0.17,0.0,1,0.09,0.0,1,0.5,0.0,1,0.5,0.0,1,0.5,0.0,1
8_0,2.0,0.0,1,1.0,0.0,1,0.17,0.0,1,0.09,0.0,1,0.5,0.0,1,0.5,0.0,1,0.5,0.0,1
1_1,4.0,0.0,2,2.0,0.0,2,0.54,0.0,1,0.01,0.0,1,0.59,0.0,1,0.27,0.0,1,3.0,0.0,1
2_1,3.25,1.09,4,1.75,0.83,4,0.8,0.0,1,0.0,0.0,1,0.46,0.0,1,0.17,0.0,1,3.0,0.0,1
3_1,4.0,0.0,1,2.0,0.0,1,0.61,0.0,1,0.0,0.0,1,0.61,0.0,1,0.2,0.0,1,2.0,0.0,1
4_1,6.0,0.0,1,3.0,0.0,1,0.78,0.0,1,0.01,0.0,1,0.71,0.0,1,0.29,0.0,1,3.0,0.0,1
0_3,6.0,0.0,1,3.0,0.0,1,0.78,0.0,1,0.01,0.0,1,0.71,0.0,1,0.29,0.0,1,3.0,0.0,1
1_3,6.0,0.0,1,3.0,0.0,1,0.78,0.0,1,0.01,0.0,1,0.71,0.0,1,0.29,0.0,1,3.0,0.0,1
1_4,6.0,0.0,1,3.0,0.0,1,0.78,0.0,1,0.01,0.0,1,0.71,0.0,1,0.71,0.0,1,0.71,0.0,1
5_1,6.0,0.0,1,3.0,0.0,1,0.78,0.0,1,0.01,0.0,1,0.71,0.0,1,0.29,0.0,1,3.0,0.0,1
5_2,6.0,0.0,1,3.0,0.0,1,0.78,0.0,1,0.01,0.0,1,0.71,0.0,1,0.71,0.0,1,0.71,0.0,1
2_2,6.0,0.0,1,3.0,0.0,1,0.78,0.0,1,0.01,0.0,1,0.71,0.0,1,0.71,0.0,1,0.71,0.0,1
6_1,6.0,0.0,1,3.0,0.0,1,0.78,0.0,1,0.01,0.0,1,0.71,0.0,1,0.71,0.0,1,0.71,0.0,1
