,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
5211,4.0,2.65,3,5.33,2.08,3,0.83,,1,0.0,,1,0.45,,1
5203,5.71,2.43,7,6.14,2.34,7,0.0,,1,0.06,,1,0.11,,1
5213,5.33,2.66,6,5.67,2.66,6,0.5,,1,0.01,,1,0.22,,1
4691,2.71,1.6,7,5.57,3.05,7,1.0,,1,0.0,,1,0.15,,1
5246,6.67,1.21,6,4.67,1.63,6,0.78,,1,0.02,,1,0.71,,1
5470,6.0,3.29,6,6.83,2.93,6,0.0,,1,0.0,,1,0.0,,1
6379,4.0,4.24,4,4.25,2.75,4,0.0,,1,0.0,,1,0.0,,1
4320,6.67,3.08,6,4.67,2.58,6,0.5,,1,0.11,,1,0.47,,1
10609,5.17,2.4,6,5.33,2.88,6,0.5,,1,0.03,,1,0.35,,1
4324,6.5,3.7,4,5.5,4.12,4,0.59,,1,0.06,,1,0.8,,1
3508,4.0,,1,2.0,,1,0.61,,1,0.0,,1,0.61,,1
6616,4.67,3.51,3,3.0,3.0,3,0.0,,1,0.0,,1,0.34,,1
5506,5.0,3.87,5,5.4,3.29,5,0.4,,1,0.11,,1,0.22,,1
7068,3.5,2.12,2,4.0,2.83,2,0.7,,1,0.01,,1,0.63,,1
5503,5.2,3.27,5,5.2,2.39,5,0.17,,1,0.08,,1,0.5,,1
5216,4.33,1.15,3,3.33,1.53,3,0.11,,1,0.21,,1,0.56,,1
6332,7.0,,1,9.0,,1,0.45,,1,0.07,,1,0.71,,1
22102,7.0,2.83,2,6.5,2.12,2,0.67,,1,0.08,,1,0.91,,1
6400,6.5,0.71,2,6.0,1.41,2,0.78,,1,0.02,,1,0.71,,1
11094,9.0,,1,8.0,,1,0.73,,1,0.04,,1,0.91,,1
