,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,5.5,1.94,8,6.12,2.52,8,0.64,0.0,1,0.06,0.0,1,0.77,0.0,1,0.5,0.0,1,3.0,0.0,1
0_2,3.33,0.94,3,2.67,1.25,3,0.39,0.0,1,0.08,0.0,1,0.56,0.0,1,0.44,0.0,1,4.0,0.0,1
1_2,6.0,0.82,3,6.67,2.05,3,0.49,0.0,1,0.13,0.0,1,0.73,0.0,1,0.31,0.0,1,2.0,0.0,1
1_0,5.67,2.1,21,6.95,2.15,21,0.28,0.0,1,0.07,0.0,1,0.53,0.0,1,0.18,0.0,1,3.0,0.0,1
2_0,6.0,1.94,16,6.69,2.11,16,0.0,0.0,1,0.21,0.0,1,0.34,0.0,1,0.12,0.0,1,4.0,0.0,1
3_0,5.18,2.69,11,5.73,2.34,11,0.69,0.0,1,0.07,0.0,1,0.83,0.0,1,0.3,0.0,1,2.0,0.0,1
4_0,5.0,2.07,7,5.71,2.37,7,0.65,0.0,1,0.06,0.0,1,0.8,0.0,1,0.3,0.0,1,2.0,0.0,1
5_0,4.67,1.25,3,4.33,1.7,3,0.5,0.0,1,0.02,0.0,1,0.48,0.0,1,0.19,0.0,1,3.0,0.0,1
6_0,4.5,0.5,2,4.5,0.5,2,0.36,0.0,1,0.18,0.0,1,0.6,0.0,1,0.36,0.0,1,4.0,0.0,1
7_0,4.5,0.5,2,4.5,0.5,2,0.36,0.0,1,0.18,0.0,1,0.6,0.0,1,0.6,0.0,1,0.6,0.0,1
8_0,4.5,0.5,2,4.5,0.5,2,0.36,0.0,1,0.18,0.0,1,0.6,0.0,1,0.6,0.0,1,0.6,0.0,1
1_1,4.25,1.3,8,4.75,1.71,8,0.4,0.0,1,0.05,0.0,1,0.6,0.0,1,0.32,0.0,1,3.0,0.0,1
2_1,4.78,1.93,9,5.44,1.77,9,0.74,0.0,1,0.04,0.0,1,0.6,0.0,1,0.26,0.0,1,2.0,0.0,1
3_1,6.0,2.1,5,6.2,2.32,5,0.5,0.0,1,0.01,0.0,1,0.22,0.0,1,0.32,0.0,1,2.0,0.0,1
4_1,3.5,0.5,2,5.0,1.0,2,0.48,0.0,1,0.04,0.0,1,0.5,0.0,1,0.16,0.0,1,2.0,0.0,1
0_3,6.0,0.0,1,6.0,0.0,1,0.55,0.0,1,0.07,0.0,1,0.71,0.0,1,0.26,0.0,1,2.0,0.0,1
1_3,7.0,0.0,1,7.0,0.0,1,0.48,0.0,1,0.15,0.0,1,0.73,0.0,1,0.28,0.0,1,2.0,0.0,1
1_4,7.0,0.0,1,7.0,0.0,1,0.48,0.0,1,0.15,0.0,1,0.73,0.0,1,0.73,0.0,1,0.73,0.0,1
5_1,8.0,0.0,1,9.0,0.0,1,0.52,0.0,1,0.14,0.0,1,0.79,0.0,1,0.37,0.0,1,2.0,0.0,1
5_2,3.0,0.0,1,2.0,0.0,1,0.17,0.0,1,0.1,0.0,1,0.4,0.0,1,0.4,0.0,1,0.4,0.0,1
2_2,2.0,0.0,1,3.0,0.0,1,0.22,0.0,1,0.12,0.0,1,0.46,0.0,1,0.46,0.0,1,0.46,0.0,1
6_1,2.0,0.0,1,2.0,0.0,1,0.0,0.0,1,0.09,0.0,1,0.23,0.0,1,0.23,0.0,1,0.23,0.0,1
