,inDegree_players,inDegree_players,inDegree_players,outDegree_players,outDegree_players,outDegree_players,clustering_coefficients,clustering_coefficients,clustering_coefficients,betweenness_centralities,betweenness_centralities,betweenness_centralities,closeness_centralities,closeness_centralities,closeness_centralities,eigenvector_centrality,eigenvector_centrality,eigenvector_centrality,eccentricity,eccentricity,eccentricity
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,2.0,0.0,1,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.15,0.0,1,0.15,0.0,1
0_2,2.0,0.0,1,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.15,0.0,1,0.15,0.0,1
1_2,2.0,0.0,1,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.15,0.0,1,0.15,0.0,1
1_0,2.0,0.0,1,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.15,0.0,1,0.15,0.0,1
2_0,2.0,0.0,1,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.15,0.0,1,0.15,0.0,1
3_0,2.0,0.0,1,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.15,0.0,1,0.15,0.0,1
4_0,2.0,0.0,1,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.15,0.0,1,0.15,0.0,1
5_0,2.0,0.0,1,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.15,0.0,1,0.15,0.0,1
6_0,2.0,0.0,1,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.15,0.0,1,0.15,0.0,1
7_0,2.0,0.0,1,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.03,0.0,1,0.03,0.0,1
8_0,2.0,0.0,1,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.03,0.0,1,0.03,0.0,1
1_1,2.0,0.0,1,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.15,0.0,1,0.15,0.0,1
2_1,2.0,0.0,1,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.15,0.0,1,0.15,0.0,1
3_1,2.0,0.0,1,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.15,0.0,1,0.15,0.0,1
4_1,2.0,0.0,1,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.15,0.0,1,0.15,0.0,1
0_3,2.0,0.0,1,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.15,0.0,1,0.15,0.0,1
1_3,2.0,0.0,1,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.15,0.0,1,0.15,0.0,1
1_4,2.0,0.0,1,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.03,0.0,1,0.03,0.0,1
5_1,2.0,0.0,1,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.15,0.0,1,0.15,0.0,1
5_2,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
2_2,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
6_1,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
